Chapter,Shloka,Sanskrit Word,Hindi Meaning,Transliterated Word,English Meaning
1,9,अन्ये,अन्य सब,anye,all others
1,9,च,भी,ca,Too
1,9,बहवः,अनेक,bahavaḥ,many
1,9,शूराः,महायोद्धा,śūrāḥ,great warrior
1,9,मत्,अर्थे मेरे लिए,mat,meaning for me
1,9,त्यक्त,जीविता:,tyakta,Jeevita:
1,9,नाना,शस्त्र,nānā,weapons
1,9,सर्वे,सभी,sarve,All
1,9,युद्ध विशारदा:,युद्ध कौशल में निपुण।।,yuddha viśāradā:,Adept in war skills.
1,10,अपर्याप्तम्,असीमित,aparyāptam,unlimited
1,10,तत्,वह,tat,He
1,10,अस्माकम्,हमारी,asmākam,Our
1,10,बलम्,शक्ति,balam,Power
1,10,भीष्म,भीष्म पितामह के नेतृत्व में अभिरक्षितम्,bhīṣma,Abhirakshitam under the leadership of Bhishma Pitamah
1,10,पर्याप्तम्,सीमित,paryāptam,Limited
1,10,तु,"लेकिन, इदम्",tu,"But, idem"
1,10,एतेषाम्,उनकी,eteṣām,their
1,10,बलम्,शक्ति,balam,Power
1,10,भीम,भीम की देख रेख में,bhīma,under the care of Bhima
1,10,अभिरक्षितम्,पूर्णतया सुरक्षित।,abhirakṣitam,Completely safe.
1,11,अयनेषु,निश्चित स्थान पर,ayaneṣu,at a certain place
1,11,च,भी,ca,Too
1,11,सर्वेषु,सर्वत्र,sarveṣu,everywhere
1,11,यथा,भागम्,yathā,run away
1,11,अवस्थिता:,स्थित,avasthitā:,Located
1,11,भीष्मम्,भीष्म पितामह की,bhīṣmam,Bhishma Pitamah's
1,11,एव,निश्चय ही,eva,tentu Saja
1,11,अभिरक्षन्तु,सुरक्षा करना,abhirakṣantu,to safeguard
1,11,भवन्त:,आप,bhavanta:,You
1,11,सर्वे,सव के सव,sarve,all of all
1,11,एव हि,जब भी।,eva hi,whenever.
1,12,तस्य,उसका,tasya,His
1,12,सन्जनयन्,हेतु,sanjanayan,For
1,12,हर्षम्,हर्षः कुरू,harṣam,Harsha Kuru
1,12,पितामहः,पितामह (दादा) सिंह,pitāmahaḥ,Grandfather Singh
1,12,विनद्य,गर्जना,vinadya,thunder
1,12,उच्चैः,उच्च स्वर से,uccaiḥ,loudly
1,12,शङ्ख,शंख,śaṅkha,shell
1,12,दध्मौ,बजाया,dadhmau,played
1,12,प्रताप,वान्,pratāpa,Van
1,13,ततः,तत्पश्चात,tataḥ,thereafter
1,13,शङ्खा:,"शंख, च",śaṅkhā:,"conch, f"
1,13,भेर्य:,नगाड़े च,bherya:,drums f
1,13,पणव,आनक,paṇava,Anak
1,13,गोमुखाः,तुरही,gomukhāḥ,Trumpet
1,13,सहसा,अचानक,sahasā,Suddenly
1,13,एव,वास्तव में,eva,In fact
1,13,अभ्यहन्यन्त,एक साथ बजाये गये,abhyahanyanta,played together
1,13,सः,वह,saḥ,He
1,13,शब्दः,स्वर,śabdaḥ,Vocal
1,13,तुमुल:,कोलाहलपूर्ण,tumula:,boisterous
1,13,अभवत्,हो गया था।,abhavat,It was done.
1,14,ततः,तत्पश्चात,tataḥ,thereafter
1,14,श्वेत,श्वेत,śveta,white
1,14,हयैः,अश्व से,hayaiḥ,from horse
1,14,युक्ते,युक्त,yukte,containing
1,14,महति,भव्य,mahati,gorgeous
1,14,स्यन्दने,रथ में,syandane,in the chariot
1,14,स्थितौ,आसीन,sthitau,sedentary
1,14,माधव:,कृष्ण,mādhava:,Krishna
1,14,पाण्डवः,"पाण्डु पुत्र, अर्जुन ने",pāṇḍavaḥ,"Pandu's son, Arjun"
1,14,च,और,ca,And
1,14,एव,निश्चय ही,eva,tentu Saja
1,14,दिव्यौ,दिव्य,divyau,divine
1,14,शङ्खौ,शंख,śaṅkhau,shell
1,14,प्रदध्मतुः,बजाये।,pradadhmatuḥ,Instead.
1,15,पाञ्चजन्यं,पाञ्चजन्य नामक शंख,pāñcajanyaṃ,Panchjanya conch shell
1,15,ऋषीकेश:,"श्रीकृष्ण, जो मन और इन्द्रियों के स्वामी हैं",ṛṣīkeśa:,"Shri Krishna, who is the master of mind and senses"
1,15,देवदत्तम,देवदत्त नामक शंख,devadattama,Conch named Devdutt
1,15,धनम्,जयः,dhanam,Jayah
1,15,दध्मौ,बजाया,dadhmau,played
1,15,महा,शङ्ख,mahā,conch
1,15,भीम,कर्मा,bhīma,Karma
1,15,वृक,उदरः,vṛka,abdomen:
1,16,अनन्त,विजयम्,ananta,Vijayam
1,16,राजा,राजा,rājā,King
1,16,कुन्ति,पुत्रः,kunti,Son:
1,16,युधिष्ठिरः,युधिष्ठिर,yudhiṣṭhiraḥ,Yudhisthira
1,16,नकुलः,नकुलः सहदेवः,nakulaḥ,Nakul: Sahadeva:
1,16,च,तथा,ca,And
1,16,सुघोष,मणिपुष्पकौ,sughoṣa,Manipushpakau
1,16,काश्य:,काशी (वाराणसी) के राजा ने,kāśya:,The king of Kashi (Varanasi)
1,16,च,और,ca,And
1,16,परम,ईषु,parama,Ishu
1,16,शिखण्डी,शिखण्डी ने,śikhaṇḍī,Shikhandi has
1,16,च,भी,ca,Too
1,16,महा,रथ:,mahā,Chariot:
1,16,धृष्टद्युम्नो:,धृष्टद्युम्न ने,dhṛṣṭadyumno:,Dhrishtadyumna
1,16,विराट:,विराट,virāṭa:,Virat
1,16,च,और,ca,And
1,16,सात्यकिः,सात्यकि,sātyakiḥ,Satyaki
1,16,च,तथा,ca,And
1,16,अपराजित:,अजेय,aparājita:,invincible
1,16,द्रुपदः,"द्रुपद, द्रौपदेया:",drupadaḥ,"Drupada, Draupadeya:"
1,16,च,भी,ca,Too
1,16,सर्वश:,सभी,sarvaśa:,All
1,16,पृथिवी,पते हे पृथ्वी का राजा,pṛthivī,Oh king of the earth!
1,16,सौभद्रः,"सुभद्रा के पुत्र, अभिमन्यु ने",saubhadraḥ,"Subhadra's son, Abhimanyu"
1,16,च,भी,ca,Too
1,16,महा,बाहुः,mahā,Bahuh
1,16,शड्.खान्,शंख,śaḍ.khān,shell
1,16,दध्मुः,बजाए,dadhmuḥ,instead of
1,16,पृथक,पृथक,pṛthaka,Isolated
1,17,अनन्त,विजयम्,ananta,Vijayam
1,17,राजा,राजा,rājā,King
1,17,कुन्ति,पुत्रः,kunti,Son:
1,17,युधिष्ठिरः,युधिष्ठिर,yudhiṣṭhiraḥ,Yudhisthira
1,17,नकुलः,नकुलः सहदेवः,nakulaḥ,Nakul: Sahadeva:
1,17,च,तथा,ca,And
1,17,सुघोष,मणिपुष्पकौ,sughoṣa,Manipushpakau
1,17,काश्य:,काशी (वाराणसी) के राजा ने,kāśya:,The king of Kashi (Varanasi)
1,17,च,और,ca,And
1,17,परम,ईषु,parama,Ishu
1,17,शिखण्डी,शिखण्डी ने,śikhaṇḍī,Shikhandi has
1,17,च,भी,ca,Too
1,17,महा,रथ:,mahā,Chariot:
1,17,धृष्टद्युम्नो:,धृष्टद्युम्न ने,dhṛṣṭadyumno:,Dhrishtadyumna
1,17,विराट:,विराट,virāṭa:,Virat
1,17,च,और,ca,And
1,17,सात्यकिः,सात्यकि,sātyakiḥ,Satyaki
1,17,च,तथा,ca,And
1,17,अपराजित:,अजेय,aparājita:,invincible
1,17,द्रुपदः,"द्रुपद, द्रौपदेया:",drupadaḥ,"Drupada, Draupadeya:"
1,17,च,भी,ca,Too
1,17,सर्वश:,सभी,sarvaśa:,All
1,17,पृथिवी,पते हे पृथ्वी का राजा,pṛthivī,Oh king of the earth!
1,17,सौभद्रः,"सुभद्रा के पुत्र, अभिमन्यु ने",saubhadraḥ,"Subhadra's son, Abhimanyu"
1,17,च,भी,ca,Too
1,17,महा,बाहुः,mahā,Bahuh
1,17,शड्.खान्,शंख,śaḍ.khān,shell
1,17,दध्मुः,बजाए,dadhmuḥ,instead of
1,17,पृथक,पृथक,pṛthaka,Isolated
1,18,अनन्त,विजयम्,ananta,Vijayam
1,18,राजा,राजा,rājā,King
1,18,कुन्ति,पुत्रः,kunti,Son:
1,18,युधिष्ठिरः,युधिष्ठिर,yudhiṣṭhiraḥ,Yudhisthira
1,18,नकुलः,नकुलः सहदेवः,nakulaḥ,Nakul: Sahadeva:
1,18,च,तथा,ca,And
1,18,सुघोष,मणिपुष्पकौ,sughoṣa,Manipushpakau
1,18,काश्य:,काशी (वाराणसी) के राजा ने,kāśya:,The king of Kashi (Varanasi)
1,18,च,और,ca,And
1,18,परम,ईषु,parama,Ishu
1,18,शिखण्डी,शिखण्डी ने,śikhaṇḍī,Shikhandi has
1,18,च,भी,ca,Too
1,18,महा,रथ:,mahā,Chariot:
1,18,धृष्टद्युम्नो:,धृष्टद्युम्न ने,dhṛṣṭadyumno:,Dhrishtadyumna
1,18,विराट:,विराट,virāṭa:,Virat
1,18,च,और,ca,And
1,18,सात्यकिः,सात्यकि,sātyakiḥ,Satyaki
1,18,च,तथा,ca,And
1,18,अपराजित:,अजेय,aparājita:,invincible
1,18,द्रुपदः,"द्रुपद, द्रौपदेया:",drupadaḥ,"Drupada, Draupadeya:"
1,18,च,भी,ca,Too
1,18,सर्वश:,सभी,sarvaśa:,All
1,18,पृथिवी,पते हे पृथ्वी का राजा,pṛthivī,Oh king of the earth!
1,18,सौभद्रः,"सुभद्रा के पुत्र, अभिमन्यु ने",saubhadraḥ,"Subhadra's son, Abhimanyu"
1,18,च,भी,ca,Too
1,18,महा,बाहुः,mahā,Bahuh
1,18,शड्.खान्,शंख,śaḍ.khān,shell
1,18,दध्मुः,बजाए,dadhmuḥ,instead of
1,18,पृथक,पृथक,pṛthaka,Isolated
1,19,सः,उस,saḥ,That
1,19,घोषः,शब्द ध्वनि,ghoṣaḥ,word sound
1,19,धार्तराष्ट्राणाम्,धृतराष्ट्र के पुत्रों के,dhārtarāṣṭrāṇām,of Dhritarashtra's sons
1,19,हृदयानि,हृदयों को,hṛdayāni,to the hearts
1,19,व्यदारयत्,विदीर्ण कर दिया,vyadārayat,disintegrated
1,19,नभ:,आकाश,nabha:,Sky
1,19,च,भी,ca,Too
1,19,पृथिवीम्,पृथ्वी को,pṛthivīm,to the earth
1,19,च,भी,ca,Too
1,19,एव,निश्चय ही,eva,tentu Saja
1,19,तुमुल:,कोलाहलपूर्ण ध्वनि,tumula:,noisy sound
1,19,व्यनुनादयन्,गर्जना करना।,vyanunādayan,To roar.
1,20,अथ,तत्पश्चात,atha,thereafter
1,20,व्यवस्थितान्,सुव्यवस्थित,vyavasthitān,streamlined
1,20,दृष्टा,देखकर,dṛṣṭā,after seeing
1,20,धार्तराष्ट्रान्,धृतराष्ट्र के पुत्रों को,dhārtarāṣṭrān,Dhritarashtra's sons
1,20,कपिधवजः,वानर चित्र अंकित,kapidhavajaḥ,monkey picture imprinted
1,20,प्रवृत्ते,उद्यत,pravṛtte,eager
1,20,शस्त्र,सम्पाते,śastra,sumate
1,20,धनुः,ध नुष,dhanuḥ,Dh Nush
1,20,उद्यम्य,"ग्रहण करके, पाण्डवः",udyamya,"By accepting, Pandava:"
1,20,हृषीकेशम्,भगवान् कृष्ण से,hṛṣīkeśam,from Lord Krishna
1,20,तदा,उस समय,tadā,That time
1,20,वाक्यम्,वचन,vākyam,Promise
1,20,इदम्,ये,idam,These
1,20,आह,कहे,āha,saying
1,20,मही,पते,mahī,addresses
1,21,अर्जुनः उवाच,अर्जुन ने कहा,arjunaḥ uvāca,Arjun said
1,21,सेनयोः,सेनाएं,senayoḥ,armies
1,21,उभयोः,दोनों,ubhayoḥ,Both
1,21,मध्ये,बीच,madhye,between
1,21,रथम्,रथ,ratham,chariot
1,21,स्थापय,खड़ा करें,sthāpaya,stand up
1,21,मे,मेरे,me,My
1,21,अच्युत,"अमोधा, श्रीकृष्ण",acyuta,"Amodha, Shri Krishna"
1,21,यावत्,जब तक,yāvat,Until
1,21,एतान्,इन सब,etān,all of these
1,21,निरीक्षे,देखना,nirīkṣe,Look
1,21,अहम्,मैं,aham,I
1,21,योद्ध,कामान्,yoddha,desire
1,21,अवस्थितान्,व्यूह रचना में एकत्र,avasthitān,gather in array
1,21,के:,किन,ke:,which
1,21,मया,मुझे सह,mayā,cum me
1,21,योद्धव्यम्,युद्ध करना,yoddhavyam,make war
1,21,अस्मिन्,"इसमें, रण",asmin,"In this, Ran"
1,22,अर्जुनः उवाच,अर्जुन ने कहा,arjunaḥ uvāca,Arjun said
1,22,सेनयोः,सेनाएं,senayoḥ,armies
1,22,उभयोः,दोनों,ubhayoḥ,Both
1,22,मध्ये,बीच,madhye,between
1,22,रथम्,रथ,ratham,chariot
1,22,स्थापय,खड़ा करें,sthāpaya,stand up
1,22,मे,मेरे,me,My
1,22,अच्युत,"अमोधा, श्रीकृष्ण",acyuta,"Amodha, Shri Krishna"
1,22,यावत्,जब तक,yāvat,Until
1,22,एतान्,इन सब,etān,all of these
1,22,निरीक्षे,देखना,nirīkṣe,Look
1,22,अहम्,मैं,aham,I
1,22,योद्ध,कामान्,yoddha,desire
1,22,अवस्थितान्,व्यूह रचना में एकत्र,avasthitān,gather in array
1,22,के:,किन,ke:,which
1,22,मया,मुझे सह,mayā,cum me
1,22,योद्धव्यम्,युद्ध करना,yoddhavyam,make war
1,22,अस्मिन्,"इसमें, रण",asmin,"In this, Ran"
1,23,योत्स्यमानान्,युद्ध करने के लिए आए योद्धाओं को,yotsyamānān,warriors who came to fight
1,23,अवेक्षे,अहम्,avekṣe,ego
1,23,ये,जो,ye,Who
1,23,एते,वे,ete,They
1,23,अत्र,यहाँ,atra,Here
1,23,समागता:,एकत्र,samāgatā:,collected
1,23,धार्तराष्ट्रस्य,धृतराष्ट्र के पुत्र,dhārtarāṣṭrasya,son of dhitrashtra
1,23,दुर्बुद्धेः,हीन मानसिकता वाले,durbuddheḥ,inferior minded
1,23,युद्धे,युद्ध में,yuddhe,in war
1,23,प्रिय,चिकीर्षवः,priya,chikirshavah
1,24,संजयः उवाच,संजय ने कहा,saṃjayaḥ uvāca,Sanjay said
1,24,एवम्,इस प्रकार,evam,Thus
1,24,उक्त:,व्यक्त किए गये,ukta:,expressed
1,24,हृषीकेशः,"इन्द्रियों के स्वामी, श्रीकृष्ण ने",hṛṣīkeśaḥ,"Lord of the senses, Shri Krishna"
1,24,गुडाकेशेन,"निद्रा को वश में करने वाला, अर्जुन",guḍākeśena,"Arjuna, the conqueror of sleep"
1,24,भारत,भरत वंशी,bhārata,Bharatvanshi
1,24,सेनयोः,सेनाओं के,senayoḥ,of armies
1,24,उभयोः,दोनों,ubhayoḥ,Both
1,24,मध्ये,मध्य में,madhye,in the middle
1,24,स्थापयित्वा,स्थित करना,sthāpayitvā,To locate
1,24,रथ,उत्तमम् भव्य रथ को।,ratha,Uttamam to the grand chariot.
1,25,भीष्म,भीष्म पितामह,bhīṣma,Bhishma Pitamah
1,25,द्रोण,द्रोणाचार्य प्रमुखतः,droṇa,Dronacharya mainly
1,25,सर्वेषाम्,सब,sarveṣām,All
1,25,च,और,ca,And
1,25,मही,क्षिताम्,mahī,Kshitam
1,25,उवाच,कहा,uvāca,Said
1,25,पार्थ,"पृथा पुत्र, अर्जुनः पश्य देखो",pārtha,"Pritha's son, Arjun: Look at the past."
1,25,एतान्,इन सबों को,etān,to all these
1,25,समवेतान्,एकत्रित,samavetān,collected
1,25,कुरून्,कुरु वंशियों को,kurūn,to the Kuru descendants
1,25,इति,इस प्रकार।,iti,Thus.
1,26,तत्र,वहाँ,tatra,There
1,26,अपश्यत्,देखा,apaśyat,saw
1,26,स्थितान्,खड़े पार्थः,sthitān,Standing Partha
1,26,पितॄन्,पिता,pitṝn,Father
1,26,अथ,तत्पश्चात,atha,thereafter
1,26,पितामहान,पितामहों को,pitāmahāna,to the ancestors
1,26,आचार्यान्,शिक्षकों को,ācāryān,to the teachers
1,26,मातुलान्,मामाओं को,mātulān,to uncles
1,26,भ्रातृन्,भाइयों को,bhrātṛn,to the brothers
1,26,पुत्रान्,पुत्रों को,putrān,to sons
1,26,सखीन्,मित्रों को,sakhīn,to friends
1,26,तथा,और,tathā,And
1,26,श्वशुरान्,श्वसुरों को,śvaśurān,to father-in-laws
1,26,सुहृदः,शुभचिन्तकों को,suhṛdaḥ,to well wishers
1,26,च,भी,ca,Too
1,26,एव,निश्चय ही,eva,tentu Saja
1,26,सेनयोः,सेना के,senayoḥ,of the army
1,26,उभयोः,दोनो पक्षों की सेनाएं,ubhayoḥ,armies of both sides
1,26,अपि:,भी।,api:,Too.
1,27,तान्,उन्हीं,tān,those same
1,27,समीक्ष्य,देखकर,samīkṣya,after seeing
1,27,सः,वे,saḥ,They
1,27,कौन्तेयः,"कुन्तीपुत्र, अर्जुनः सर्वान्",kaunteyaḥ,"Kuntiputra, Arjun: All"
1,27,बंधु,बान्धव,baṃdhu,bonded
1,27,अवस्थितान्,उपस्थित,avasthitān,Present
1,27,कृपया,करुणा से,kṛpayā,with compassion
1,27,परया,अत्यधिक,parayā,Excessive
1,27,आविष्ट:,अभिभूत,āviṣṭa:,overwhelmed
1,27,विषीदन्,गहन शोक प्रकट करता हुआ,viṣīdan,deeply mournful
1,27,इदम्,इस प्रकार,idam,Thus
1,27,अब्रवीत्,बोला।,abravīt,spoke.
1,28,अर्जुन:,उवाच,arjuna:,Uvaach
1,28,दृष्ट्वा,देख कर,dṛṣṭvā,after seeing
1,28,इमम्,इन सबको,imam,to all these
1,28,स्वजनम्,वंशजों को,svajanam,to descendants
1,28,कृष्ण,कृष्ण,kṛṣṇa,Krishna
1,28,युयुत्सुम,युद्ध लड़ने की इच्छा रखने वाले,yuyutsuma,those who want to fight a war
1,28,समुपस्थितम्,उपस्थित,samupasthitam,Present
1,28,सीदन्ति,काँप रहे हैं,sīdanti,are shivering
1,28,मम,मेरे,mama,My
1,28,गात्रणि,होंठ,gātraṇi,lips
1,28,मुखम्,मुँह,mukham,mouth
1,28,च,भी,ca,Too
1,28,परिशुष्यति,सूख रहा है।,pariśuṣyati,Is drying up.
1,29,वेपथुः,कम्पन,vepathuḥ,vibration
1,29,च,भी,ca,Too
1,29,शरीरे,शरीर में,śarīre,in the body
1,29,मे,मेरे,me,My
1,29,रोम,हर्षः,roma,Harsh:
1,29,च,भी,ca,Too
