Chapter,Shloka,Sanskrit Word,Hindi Meaning
1,5,एक्,निश्चय ही
1,5,महारथाः,"महारथी, जो युद्ध में अकेले ही दस हजार साधारण योद्धाओं का सामना कर सके।"
1,6,अत्र,यहाँ
1,6,शूराः,शक्तिशाली योद्धा
1,6,महा,इषु
1,6,भीम,अर्जुन
1,6,युधि,युद्धकला के पराक्रमी योद्धा
1,6,युयुधान:,युयुधान
1,6,विराट:,विराटः च
1,6,द्रुपदः,द्रुपद
1,6,च,भी
1,6,महारथ:,"महान योद्धा, जो अकेले दस हजार साधारण सैनिकों का सामना करने की सामर्थ्य रखता हो"
1,6,धृष्टकेतुः,धृष्टकेतु
1,6,चेकितानः,चेकितान
1,6,काशिराज:,काशिराज
1,6,च,और
1,6,वीर्यवान्,महानयोद्धा
1,6,पुरुजित्,पुरुजित् कुन्तिभोज
1,6,च,तथा
1,6,शैब्य:,शैव्य
1,6,च,और
1,6,नरपुङ्गवः,उत्तम पुरूष
1,6,युधामन्युः,युधामन्यु
1,6,च,और
1,6,विक्रान्त:,निडर
1,6,उत्तमौजा:,उत्तमौजा
1,6,च,और
1,6,वीर्यवान्,महाशक्तिशाली
1,6,सौभद्र,सुभद्रा का पुत्र
1,6,द्रौपदेया:,द्रोपदी के पुत्र
1,6,च,और
1,6,सर्वे,सभी
1,6,एक्,निश्चय ही
1,6,महारथाः,"महारथी, जो युद्ध में अकेले ही दस हजार साधारण योद्धाओं का सामना कर सके।"
1,7,अस्माकम्,हमारे
1,7,तु,परन्तु
1,7,विशिष्टा,विशेष रूप से
1,7,ये,जो
1,7,तान्,उनको
1,7,"निबोध जानकारी देना, द्विज",उत्तम
1,7,सैन्यस्थ,सेना के
1,7,संज्ञा,अर्थम्
1,7,तान्,उन्हें
1,7,ब्रवीमि,वर्णन कर रहा हूँ
1,7,ते,आपको।
1,8,भवान्,आप: भीष्मः
1,8,कर्ण:,कर्णः च और
1,8,कपः,कृपाचार्य च
1,8,समितिन्जयः,युद्ध में सदा विजयी
1,8,"अश्वत्थामा अश्वत्थामा, विकर्ण:",विकर्ण
1,8,च,और
1,8,सौमदत्ति:,सोमदत्त का पुत्र भूरिश्रवा
1,8,तथा,और
1,8,एक,समान रूप से
1,8,च,भी।।
1,9,अन्ये,अन्य सब
1,9,च,भी
1,9,बहवः,अनेक
1,9,शूराः,महायोद्धा
1,9,मत्,अर्थे मेरे लिए
1,9,त्यक्त,जीविता:
1,9,नाना,शस्त्र
1,9,सर्वे,सभी
1,9,युद्ध विशारदा:,युद्ध कौशल में निपुण।।
1,10,अपर्याप्तम्,असीमित
1,10,तत्,वह
1,10,अस्माकम्,हमारी
1,10,बलम्,शक्ति
1,10,भीष्म,भीष्म पितामह के नेतृत्व में अभिरक्षितम्
1,10,पर्याप्तम्,सीमित
1,10,तु,"लेकिन, इदम्"
1,10,एतेषाम्,उनकी
1,10,बलम्,शक्ति
1,10,भीम,भीम की देख रेख में
1,10,अभिरक्षितम्,पूर्णतया सुरक्षित।
1,11,अयनेषु,निश्चित स्थान पर
1,11,च,भी
1,11,सर्वेषु,सर्वत्र
1,11,यथा,भागम्
1,11,अवस्थिता:,स्थित
1,11,भीष्मम्,भीष्म पितामह की
1,11,एव,निश्चय ही
1,11,अभिरक्षन्तु,सुरक्षा करना
1,11,भवन्त:,आप
1,11,सर्वे,सव के सव
1,11,एव हि,जब भी।
1,12,तस्य,उसका
1,12,सन्जनयन्,हेतु
1,12,हर्षम्,हर्षः कुरू
1,12,पितामहः,पितामह (दादा) सिंह
1,12,विनद्य,गर्जना
1,12,उच्चैः,उच्च स्वर से
1,12,शङ्ख,शंख
1,12,दध्मौ,बजाया
1,12,प्रताप,वान्
1,13,ततः,तत्पश्चात
1,13,शङ्खा:,"शंख, च"
1,13,भेर्य:,नगाड़े च
1,13,पणव,आनक
1,13,गोमुखाः,तुरही
1,13,सहसा,अचानक
1,13,एव,वास्तव में
1,13,अभ्यहन्यन्त,एक साथ बजाये गये
1,13,सः,वह
1,13,शब्दः,स्वर
1,13,तुमुल:,कोलाहलपूर्ण
1,13,अभवत्,हो गया था।
1,14,ततः,तत्पश्चात
1,14,श्वेत,श्वेत
1,14,हयैः,अश्व से
1,14,युक्ते,युक्त
1,14,महति,भव्य
1,14,स्यन्दने,रथ में
1,14,स्थितौ,आसीन
1,14,माधव:,कृष्ण
1,14,पाण्डवः,"पाण्डु पुत्र, अर्जुन ने"
1,14,च,और
1,14,एव,निश्चय ही
1,14,दिव्यौ,दिव्य
1,14,शङ्खौ,शंख
1,14,प्रदध्मतुः,बजाये।
1,15,पाञ्चजन्यं,पाञ्चजन्य नामक शंख
1,15,ऋषीकेश:,"श्रीकृष्ण, जो मन और इन्द्रियों के स्वामी हैं"
1,15,देवदत्तम,देवदत्त नामक शंख
1,15,धनम्,जयः
1,15,दध्मौ,बजाया
1,15,महा,शङ्ख
1,15,भीम,कर्मा
1,15,वृक,उदरः
1,16,अनन्त,विजयम्
1,16,राजा,राजा
1,16,कुन्ति,पुत्रः
1,16,युधिष्ठिरः,युधिष्ठिर
1,16,नकुलः,नकुलः सहदेवः
1,16,च,तथा
1,16,सुघोष,मणिपुष्पकौ
1,16,काश्य:,काशी (वाराणसी) के राजा ने
1,16,च,और
1,16,परम,ईषु
1,16,शिखण्डी,शिखण्डी ने
1,16,च,भी
1,16,महा,रथ:
1,16,धृष्टद्युम्नो:,धृष्टद्युम्न ने
1,16,विराट:,विराट
1,16,च,और
1,16,सात्यकिः,सात्यकि
1,16,च,तथा
1,16,अपराजित:,अजेय
1,16,द्रुपदः,"द्रुपद, द्रौपदेया:"
1,16,च,भी
1,16,सर्वश:,सभी
1,16,पृथिवी,पते हे पृथ्वी का राजा
1,16,सौभद्रः,"सुभद्रा के पुत्र, अभिमन्यु ने"
1,16,च,भी
1,16,महा,बाहुः
1,16,शड्.खान्,शंख
1,16,दध्मुः,बजाए
1,16,पृथक,पृथक
1,17,अनन्त,विजयम्
1,17,राजा,राजा
1,17,कुन्ति,पुत्रः
1,17,युधिष्ठिरः,युधिष्ठिर
1,17,नकुलः,नकुलः सहदेवः
1,17,च,तथा
1,17,सुघोष,मणिपुष्पकौ
1,17,काश्य:,काशी (वाराणसी) के राजा ने
1,17,च,और
1,17,परम,ईषु
1,17,शिखण्डी,शिखण्डी ने
1,17,च,भी
1,17,महा,रथ:
1,17,धृष्टद्युम्नो:,धृष्टद्युम्न ने
1,17,विराट:,विराट
1,17,च,और
1,17,सात्यकिः,सात्यकि
1,17,च,तथा
1,17,अपराजित:,अजेय
1,17,द्रुपदः,"द्रुपद, द्रौपदेया:"
1,17,च,भी
1,17,सर्वश:,सभी
1,17,पृथिवी,पते हे पृथ्वी का राजा
1,17,सौभद्रः,"सुभद्रा के पुत्र, अभिमन्यु ने"
1,17,च,भी
1,17,महा,बाहुः
1,17,शड्.खान्,शंख
1,17,दध्मुः,बजाए
1,17,पृथक,पृथक
1,18,अनन्त,विजयम्
1,18,राजा,राजा
1,18,कुन्ति,पुत्रः
1,18,युधिष्ठिरः,युधिष्ठिर
1,18,नकुलः,नकुलः सहदेवः
1,18,च,तथा
1,18,सुघोष,मणिपुष्पकौ
1,18,काश्य:,काशी (वाराणसी) के राजा ने
1,18,च,और
1,18,परम,ईषु
1,18,शिखण्डी,शिखण्डी ने
1,18,च,भी
1,18,महा,रथ:
1,18,धृष्टद्युम्नो:,धृष्टद्युम्न ने
1,18,विराट:,विराट
1,18,च,और
1,18,सात्यकिः,सात्यकि
1,18,च,तथा
1,18,अपराजित:,अजेय
1,18,द्रुपदः,"द्रुपद, द्रौपदेया:"
1,18,च,भी
1,18,सर्वश:,सभी
1,18,पृथिवी,पते हे पृथ्वी का राजा
1,18,सौभद्रः,"सुभद्रा के पुत्र, अभिमन्यु ने"
1,18,च,भी
1,18,महा,बाहुः
1,18,शड्.खान्,शंख
1,18,दध्मुः,बजाए
1,18,पृथक,पृथक
1,19,सः,उस
1,19,घोषः,शब्द ध्वनि
1,19,धार्तराष्ट्राणाम्,धृतराष्ट्र के पुत्रों के
1,19,हृदयानि,हृदयों को
1,19,व्यदारयत्,विदीर्ण कर दिया
1,19,नभ:,आकाश
1,19,च,भी
1,19,पृथिवीम्,पृथ्वी को
1,19,च,भी
1,19,एव,निश्चय ही
1,19,तुमुल:,कोलाहलपूर्ण ध्वनि
1,19,व्यनुनादयन्,गर्जना करना।
1,20,अथ,तत्पश्चात
1,20,व्यवस्थितान्,सुव्यवस्थित
1,20,दृष्टा,देखकर
1,20,धार्तराष्ट्रान्,धृतराष्ट्र के पुत्रों को
1,20,कपिधवजः,वानर चित्र अंकित
1,20,प्रवृत्ते,उद्यत
1,20,शस्त्र,सम्पाते
1,20,धनुः,ध नुष
1,20,उद्यम्य,"ग्रहण करके, पाण्डवः"
1,20,हृषीकेशम्,भगवान् कृष्ण से
1,20,तदा,उस समय
1,20,वाक्यम्,वचन
1,20,इदम्,ये
1,20,आह,कहे
1,20,मही,पते
1,21,अर्जुनः उवाच,अर्जुन ने कहा
1,21,सेनयोः,सेनाएं
1,21,उभयोः,दोनों
1,21,मध्ये,बीच
1,21,रथम्,रथ
1,21,स्थापय,खड़ा करें
1,21,मे,मेरे
1,21,अच्युत,"अमोधा, श्रीकृष्ण"
1,21,यावत्,जब तक
1,21,एतान्,इन सब
1,21,निरीक्षे,देखना
1,21,अहम्,मैं
1,21,योद्ध,कामान्
1,21,अवस्थितान्,व्यूह रचना में एकत्र
1,21,के:,किन
1,21,मया,मुझे सह
1,21,योद्धव्यम्,युद्ध करना
1,21,अस्मिन्,"इसमें, रण"
1,22,अर्जुनः उवाच,अर्जुन ने कहा
1,22,सेनयोः,सेनाएं
1,22,उभयोः,दोनों
1,22,मध्ये,बीच
1,22,रथम्,रथ
1,22,स्थापय,खड़ा करें
1,22,मे,मेरे
1,22,अच्युत,"अमोधा, श्रीकृष्ण"
1,22,यावत्,जब तक
1,22,एतान्,इन सब
1,22,निरीक्षे,देखना
1,22,अहम्,मैं
1,22,योद्ध,कामान्
1,22,अवस्थितान्,व्यूह रचना में एकत्र
1,22,के:,किन
1,22,मया,मुझे सह
1,22,योद्धव्यम्,युद्ध करना
1,22,अस्मिन्,"इसमें, रण"
1,23,योत्स्यमानान्,युद्ध करने के लिए आए योद्धाओं को
1,23,अवेक्षे,अहम्
1,23,ये,जो
1,23,एते,वे
1,23,अत्र,यहाँ
1,23,समागता:,एकत्र
1,23,धार्तराष्ट्रस्य,धृतराष्ट्र के पुत्र
1,23,दुर्बुद्धेः,हीन मानसिकता वाले
1,23,युद्धे,युद्ध में
1,23,प्रिय,चिकीर्षवः
1,24,संजयः उवाच,संजय ने कहा
1,24,एवम्,इस प्रकार
1,24,उक्त:,व्यक्त किए गये
1,24,हृषीकेशः,"इन्द्रियों के स्वामी, श्रीकृष्ण ने"
1,24,गुडाकेशेन,"निद्रा को वश में करने वाला, अर्जुन"
1,24,भारत,भरत वंशी
1,24,सेनयोः,सेनाओं के
1,24,उभयोः,दोनों
1,24,मध्ये,मध्य में
1,24,स्थापयित्वा,स्थित करना
1,24,रथ,उत्तमम् भव्य रथ को।
1,25,भीष्म,भीष्म पितामह
1,25,द्रोण,द्रोणाचार्य प्रमुखतः
1,25,सर्वेषाम्,सब
1,25,च,और
1,25,मही,क्षिताम्
1,25,उवाच,कहा
1,25,पार्थ,"पृथा पुत्र, अर्जुनः पश्य देखो"
1,25,एतान्,इन सबों को
1,25,समवेतान्,एकत्रित
1,25,कुरून्,कुरु वंशियों को
1,25,इति,इस प्रकार।
1,26,तत्र,वहाँ
1,26,अपश्यत्,देखा
1,26,स्थितान्,खड़े पार्थः
1,26,पितॄन्,पिता
1,26,अथ,तत्पश्चात
1,26,पितामहान,पितामहों को
1,26,आचार्यान्,शिक्षकों को
1,26,मातुलान्,मामाओं को
1,26,भ्रातृन्,भाइयों को
1,26,पुत्रान्,पुत्रों को
1,26,सखीन्,मित्रों को
1,26,तथा,और
1,26,श्वशुरान्,श्वसुरों को
1,26,सुहृदः,शुभचिन्तकों को
1,26,च,भी
1,26,एव,निश्चय ही
1,26,सेनयोः,सेना के
1,26,उभयोः,दोनो पक्षों की सेनाएं
1,26,अपि:,भी।
1,27,तान्,उन्हीं
1,27,समीक्ष्य,देखकर
1,27,सः,वे
1,27,कौन्तेयः,"कुन्तीपुत्र, अर्जुनः सर्वान्"
1,27,बंधु,बान्धव
1,27,अवस्थितान्,उपस्थित
1,27,कृपया,करुणा से
1,27,परया,अत्यधिक
1,27,आविष्ट:,अभिभूत
1,27,विषीदन्,गहन शोक प्रकट करता हुआ
1,27,इदम्,इस प्रकार
1,27,अब्रवीत्,बोला।
1,28,अर्जुन:,उवाच
1,28,दृष्ट्वा,देख कर
1,28,इमम्,इन सबको
1,28,स्वजनम्,वंशजों को
1,28,कृष्ण,कृष्ण
1,28,युयुत्सुम,युद्ध लड़ने की इच्छा रखने वाले
1,28,समुपस्थितम्,उपस्थित
1,28,सीदन्ति,काँप रहे हैं
1,28,मम,मेरे
1,28,गात्रणि,होंठ
1,28,मुखम्,मुँह
1,28,च,भी
1,28,परिशुष्यति,सूख रहा है।
1,29,वेपथुः,कम्पन
1,29,च,भी
1,29,शरीरे,शरीर में
1,29,मे,मेरे
1,29,रोम,हर्षः
1,29,च,भी
1,29,जायते,उत्पन्न हो रहा है
1,29,गाण्डीवम्,अर्जुन का धनुष
1,29,स्रंसते,सरक रहा है
1,29,हस्तात्,हाथ से
1,29,त्वक्,त्वचा
1,29,च,भी
1,29,एव,वास्तव में
1,29,परिदह्यते,सब ओर जल रही है। न
1,29,च,भी
1,29,शक्नोमि,समर्थ हूँ
1,29,अवस्थातुम्,स्थिर खड़े होने में
1,29,भ्रमतीव,झूलता हुआ
1,29,च,और
1,29,मे,मेरा
1,29,मनः,मन
1,29,निमित्तानि,अशुभ लक्षण
1,29,च,भी
1,29,पश्यामि,देखता हूँ
1,29,विपरीतानि,दुर्भाग्य
1,29,केशव,"हे केशी असुर को मारने वाले, श्रीकृष्ण"
1,29,न,न तो
1,29,च,भी
1,29,श्रेयः,कल्याण
1,29,अनुपश्यामि,पहले से देख रहा हूँ
1,29,हत्वा,वध करना
1,29,स्वजनम्,सगे संबंधी को
1,29,आहवे,यद्ध में।
1,30,वेपथुः,कम्पन
1,30,च,भी
1,30,शरीरे,शरीर में
1,30,मे,मेरे
1,30,रोम,हर्षः
1,30,च,भी
1,30,जायते,उत्पन्न हो रहा है
1,30,गाण्डीवम्,अर्जुन का धनुष
1,30,स्रंसते,सरक रहा है
1,30,हस्तात्,हाथ से
1,30,त्वक्,त्वचा
1,30,च,भी
1,30,एव,वास्तव में
1,30,परिदह्यते,सब ओर जल रही है। न
1,30,च,भी
1,30,शक्नोमि,समर्थ हूँ
1,30,अवस्थातुम्,स्थिर खड़े होने में
1,30,भ्रमतीव,झूलता हुआ
1,30,च,और
1,30,मे,मेरा
1,30,मनः,मन
1,30,निमित्तानि,अशुभ लक्षण
1,30,च,भी
1,30,पश्यामि,देखता हूँ
1,30,विपरीतानि,दुर्भाग्य
1,30,केशव,"हे केशी असुर को मारने वाले, श्रीकृष्ण"
1,30,न,न तो
1,30,च,भी
1,30,श्रेयः,कल्याण
1,30,अनुपश्यामि,पहले से देख रहा हूँ
1,30,हत्वा,वध करना
1,30,स्वजनम्,सगे संबंधी को
1,30,आहवे,यद्ध में।
1,31,वेपथुः,कम्पन
1,31,च,भी
1,31,शरीरे,शरीर में
1,31,मे,मेरे
1,31,रोम,हर्षः
1,31,च,भी
1,31,जायते,उत्पन्न हो रहा है
1,31,गाण्डीवम्,अर्जुन का धनुष
1,31,स्रंसते,सरक रहा है
1,31,हस्तात्,हाथ से
1,31,त्वक्,त्वचा
1,31,च,भी
1,31,एव,वास्तव में
1,31,परिदह्यते,सब ओर जल रही है। न
1,31,च,भी
1,31,शक्नोमि,समर्थ हूँ
1,31,अवस्थातुम्,स्थिर खड़े होने में
1,31,भ्रमतीव,झूलता हुआ
1,31,च,और
1,31,मे,मेरा
1,31,मनः,मन
1,31,निमित्तानि,अशुभ लक्षण
1,31,च,भी
1,31,पश्यामि,देखता हूँ
1,31,विपरीतानि,दुर्भाग्य
1,31,केशव,"हे केशी असुर को मारने वाले, श्रीकृष्ण"
1,31,न,न तो
1,31,च,भी
1,31,श्रेयः,कल्याण
1,31,अनुपश्यामि,पहले से देख रहा हूँ
1,31,हत्वा,वध करना
1,31,स्वजनम्,सगे संबंधी को
1,31,आहवे,यद्ध में।
1,32,न,न तो
1,32,काक्ष्ये,इच्छा करता हूँ
1,32,विजयं,विजय
1,32,कृष्ण,कृष्ण
1,32,न,न ही
1,32,च,उसी प्रकार से
1,32,राज्यम,राज्य
1,32,सुखानि,सुख
1,32,च,भी
1,32,किम्,क्या
1,32,राज्येन,राज्य द्वारा
1,32,गोविन्द,"श्रीकृष्ण, जो इन्द्रियों को सुख प्रदान करते हैं और जो गायों से प्रेम करते हैं"
1,32,भोगैः,सुख
1,32,जीवितेन,जीवन
1,32,वा,अथवा
1,32,येषाम्,जिनके
1,32,अर्थ,लिए
1,32,काडक्षितम्,इच्छित है
1,32,न:,हमारे द्वारा
1,32,राज्यम्,राज्य
1,32,भोगा:,सुख
1,32,,सुख
1,32,च,भी
1,32,ते,वे
1,32,इमे,ये
1,32,अवस्थिता:,स्थित
1,32,युद्धे,युद्धभूमि में
1,32,प्राणान्,जीवन को
1,32,त्यक्त्वा,त्याग कर
1,32,धनानि,धन
1,32,च,भी
1,33,न,न तो
1,33,काक्ष्ये,इच्छा करता हूँ
1,33,विजयं,विजय
1,33,कृष्ण,कृष्ण
1,33,न,न ही
1,33,च,उसी प्रकार से
1,33,राज्यम,राज्य
1,33,सुखानि,सुख
1,33,च,भी
1,33,किम्,क्या
1,33,राज्येन,राज्य द्वारा
1,33,गोविन्द,"श्रीकृष्ण, जो इन्द्रियों को सुख प्रदान करते हैं और जो गायों से प्रेम करते हैं"
1,33,भोगैः,सुख
1,33,जीवितेन,जीवन
1,33,वा,अथवा
1,33,येषाम्,जिनके
1,33,अर्थ,लिए
1,33,काडक्षितम्,इच्छित है
1,33,न:,हमारे द्वारा
1,33,राज्यम्,राज्य
1,33,भोगा:,सुख
1,33,,सुख
1,33,च,भी
1,33,ते,वे
1,33,इमे,ये
1,33,अवस्थिता:,स्थित
1,33,युद्धे,युद्धभूमि में
1,33,प्राणान्,जीवन को
1,33,त्यक्त्वा,त्याग कर
1,33,धनानि,धन
1,33,च,भी
1,34,आचार्याः,शिक्षक
1,34,पितरः,पितृगणः पुत्रा
1,34,तथा,उसी प्रकार
1,34,एव,वास्तव में
1,34,च,भी
1,34,पितामहाः,पितामह
1,34,मातुला:,मामा
1,34,श्वशुरा:,श्वसुर
1,34,पौत्रा:,पौत्र
1,34,श्याला:,साले
1,34,सम्बन्धिनः,वंशजी
1,34,तथा,उसी प्रकार से तथा
1,34,एतान्,ये सब
1,34,न,नहीं
1,34,हन्तुम्,वध करना
1,34,इच्छामि,मैं चाहता हूँ
1,34,घ्रतः,वध करने पर
1,34,अपि,भी
1,34,मधुसूदन," मधु नामक असुर का वध करने वाले, श्रीकृष्ण"
1,34,अपि,तो भी
1,34,त्रै,लोक्य
1,34,हेतो:,के लिए
1,34,किम नु,क्या कहा जाए
1,34,मही,कृते
1,35,आचार्याः,शिक्षक
1,35,पितरः,पितृगणः पुत्रा
1,35,तथा,उसी प्रकार
1,35,एव,वास्तव में
1,35,च,भी
1,35,पितामहाः,पितामह
1,35,मातुला:,मामा
1,35,श्वशुरा:,श्वसुर
1,35,पौत्रा:,पौत्र
1,35,श्याला:,साले
1,35,सम्बन्धिनः,वंशजी
1,35,तथा,उसी प्रकार से तथा
1,35,एतान्,ये सब
1,35,न,नहीं
1,35,हन्तुम्,वध करना
1,35,इच्छामि,मैं चाहता हूँ
1,35,घ्रतः,वध करने पर
1,35,अपि,भी
1,35,मधुसूदन," मधु नामक असुर का वध करने वाले, श्रीकृष्ण"
1,35,अपि,तो भी
1,35,त्रै,लोक्य
1,35,हेतो:,के लिए
1,35,किम नु,क्या कहा जाए
1,35,मही,कृते
1,36,निहत्य,मारकर
1,36,धार्तराष्ट्रान्,धृतराष्ट्र के पुत्रों को
1,36,नः,हमारी
1,36,का,क्या
1,36,प्रीतिः,सुख
1,36,स्यात्,होगी
1,36,"जनार्दन हे जीवों के पालक, श्रीकृष्ण। पापम्",पाप
1,36,एव,निश्चय ही
1,36,आश्रयेत्,लगेगा
1,36,अस्मान्,हमें
1,36,हत्वा,मारकर
1,36,एतान्,इन सबको
1,36,आततायिन:,आततायियों को
1,36,तस्मात्,अतः
1,36,न,कभी नहीं
1,36,अर्हाः,योग्य
1,36,वयम्,हम
1,36,हन्तुम्,मारने के लिए
1,36,धृतराष्ट्रान्,धृतराष्ट्र के पुत्रों को
1,36,स्व,बान्धवान् मित्रों सहित
1,36,सव,जनम्
1,36,हि,निश्चय ही
1,36,कथम्,कैसे
1,36,हत्वा,मारकर
1,36,सुखिनः,सुखी
1,36,स्याम,हम होंगे
1,36,माधाव,"योगमाया के स्वामी, श्रीकृष्ण।"
1,37,निहत्य,मारकर
1,37,धार्तराष्ट्रान्,धृतराष्ट्र के पुत्रों को
1,37,नः,हमारी
1,37,का,क्या
1,37,प्रीतिः,सुख
1,37,स्यात्,होगी
1,37,"जनार्दन हे जीवों के पालक, श्रीकृष्ण। पापम्",पाप
1,37,एव,निश्चय ही
1,37,आश्रयेत्,लगेगा
1,37,अस्मान्,हमें
1,37,हत्वा,मारकर
1,37,एतान्,इन सबको
1,37,आततायिन:,आततायियों को
1,37,तस्मात्,अतः
1,37,न,कभी नहीं
1,37,अर्हाः,योग्य
1,37,वयम्,हम
1,37,हन्तुम्,मारने के लिए
1,37,धृतराष्ट्रान्,धृतराष्ट्र के पुत्रों को
1,37,स्व,बान्धवान् मित्रों सहित
1,37,सव,जनम्
1,37,हि,निश्चय ही
1,37,कथम्,कैसे
1,37,हत्वा,मारकर
1,37,सुखिनः,सुखी
1,37,स्याम,हम होंगे
1,37,माधाव,"योगमाया के स्वामी, श्रीकृष्ण।"
1,38,यदि,अपि यद्यपि
1,38,एते,ये
1,38,न,नहीं
1,38,पश्यन्ति,देखते हैं
1,38,लोभ,लालच
1,38,उपहत,अभिभूत
1,38,चेतसः,विचार वाले
1,38,कुल,क्षय कृतम्
1,38,दोषम्,दोष को मित्र
1,38,च,भी
1,38,पातकम्,पाप
1,38,कथम्,क्यों
1,38,न,नहीं
1,38,ज्ञेयम्,जानना चाहिए। अस्माभिः
1,38,पापात्,पापों से
1,38,अस्मात्,इन
1,38,निवर्तितुम्,दूर रहना
1,38,कुल,क्षय
1,38,कृतम्,हो जाने पर
1,38,दोषम्,अपराध
1,38,प्रपश्यदिभः,जो देख सकता है
1,38,जनार्दन,"सभी जीवों के पालक, श्रीकृष्ण!"
1,39,यदि,अपि यद्यपि
1,39,एते,ये
1,39,न,नहीं
1,39,पश्यन्ति,देखते हैं
1,39,लोभ,लालच
1,39,उपहत,अभिभूत
1,39,चेतसः,विचार वाले
1,39,कुल,क्षय कृतम्
1,39,दोषम्,दोष को मित्र
1,39,च,भी
1,39,पातकम्,पाप
1,39,कथम्,क्यों
1,39,न,नहीं
1,39,ज्ञेयम्,जानना चाहिए। अस्माभिः
1,39,पापात्,पापों से
1,39,अस्मात्,इन
1,39,निवर्तितुम्,दूर रहना
1,39,कुल,क्षय
1,39,कृतम्,हो जाने पर
1,39,दोषम्,अपराध
1,39,प्रपश्यदिभः,जो देख सकता है
1,39,जनार्दन,"सभी जीवों के पालक, श्रीकृष्ण!"
1,40,कुल,क्षये
1,40,प्रणश्यन्ति,विनष्ट हो जाती हैं
1,40,कुल,धर्माः
1,40,सनातनाः,शाश्वत
1,40,धर्मे,नष्टे
1,40,कुलम्,परिवार को
1,40,कृत्स्नम्,सम्पूर्ण
1,40,अधर्म:,अधर्म
1,40,अभिभवति,अभिभूत
1,40,उत,वास्तव में।
1,41,अधर्म,अधर्म
1,41,अभिभवात्,प्रबलता होने से
1,41,कृष्ण,श्रीकृष्ण
