Chapter,Shloka,Sanskrit Word,English Meaning
1,6,vikrāntaḥ,courageous
1,6,uttamaujāḥ,Uttamauja
1,6,cha,and
1,6,vīrya,vān
1,6,saubhadraḥ,the son of Subhadra
1,6,draupadeyāḥ,the sons of Draupadi
1,6,cha,and
1,6,sarve,all
1,6,eva,indeed
1,6,mahā,rathāḥ
1,7,asmākam,ours
1,7,tu,but
1,7,viśhiṣhṭāḥ,special
1,7,ye,who
1,7,tān,them
1,7,nibodha,be informed
1,7,dwija,uttama
1,7,nāyakāḥ,principal generals
1,7,mama,our
1,7,sainyasya,of army
1,7,sanjñā,artham
1,7,tān,them
1,7,bravīmi,I recount
1,7,te,unto you
1,8,bhavān,yourself
1,8,bhīṣhmaḥ,Bheeshma
1,8,cha,and
1,8,karṇaḥ,Karna
1,8,cha,and
1,8,kṛipaḥ,Kripa
1,8,cha,and
1,8,samitim,jayaḥ
1,8,aśhvatthāmā,Ashvatthama
1,8,vikarṇaḥ,Vikarna
1,8,cha,and
1,8,saumadattiḥ,Bhurishrava
1,8,tathā,thus
1,8,eva,even
1,8,cha,also
1,9,anye,others
1,9,cha,also
1,9,bahavaḥ,many
1,9,śhūrāḥ,heroic warriors
1,9,mat,arthe
1,9,tyakta,jīvitāḥ
1,9,nānā,śhastra
1,9,sarve,all
1,9,yuddha,viśhāradāḥ
1,10,aparyāptam,unlimited
1,10,tat,that
1,10,asmākam,ours
1,10,balam,strength
1,10,bhīṣhma,by Grandsire Bheeshma
1,10,abhirakṣhitam,safely marshalled
1,10,paryāptam,limited
1,10,tu,but
1,10,idam,this
1,10,eteṣhām,their
1,10,balam,strength
1,10,bhīma,Bheem
1,10,abhirakṣhitam,carefully marshalled
1,11,ayaneṣhu,at the strategic points
1,11,cha,also
1,11,sarveṣhu,all
1,11,yathā,bhāgam
1,11,avasthitāḥ,situated
1,11,bhīṣhmam,to Grandsire Bheeshma
1,11,eva,only
1,11,abhirakṣhantu,defend
1,11,bhavantaḥ,you
1,11,sarve,all
1,11,eva hi,even as
1,12,tasya,his
1,12,sañjanayan,causing
1,12,harṣham,joy
1,12,kuru,vṛiddhaḥ
1,12,pitāmahaḥ,grandfather
1,12,sinha,nādam
1,12,vinadya,sounding
1,12,uchchaiḥ,very loudly
1,12,śhaṅkham,conch shell
1,12,dadhmau,blew
1,12,pratāpa,vān
1,13,tataḥ,thereafter
1,13,śhaṅkhāḥ,conches
1,13,cha,and
1,13,bheryaḥ,bugles
1,13,cha,and
1,13,paṇava,ānaka
1,13,go,mukhāḥ
1,13,sahasā,suddenly
1,13,eva,indeed
1,13,abhyahanyanta,blared forth
1,13,saḥ,that
1,13,śhabdaḥ,sound
1,13,tumulaḥ,overwhelming
1,13,abhavat,was
1,14,tataḥ,then
1,14,śhvetaiḥ,by white
1,14,hayaiḥ,horses
1,14,yukte,yoked
1,14,mahati,glorious
1,14,syandane,chariot
1,14,sthitau,seated
1,14,mādhavaḥ,"Shree Krishna, the husband of the goddess of fortune, Lakshmi"
1,14,pāṇḍavaḥ,Arjun
1,14,cha,and
1,14,eva,also
1,14,divyau,Divine
1,14,śhaṅkhau,conch shells
1,14,pradadhmatuḥ,blew
1,15,pāñchajanyam,the conch shell named Panchajanya
1,15,hṛiṣhīka,īśhaḥ
1,15,devadattam,the conch shell named Devadutta
1,15,dhanañ,jayaḥ
1,15,pauṇḍram,the conch named Paundra
1,15,dadhmau,blew
1,15,mahā,śhaṅkham
1,15,bhīma,karmā
1,15,vṛika,udaraḥ
1,16,ananta,vijayam
1,16,rājā,king
1,16,kuntī,putraḥ
1,16,yudhiṣhṭhiraḥ,Yudhishthir
1,16,nakulaḥ,Nakul
1,16,sahadevaḥ,Sahadev
1,16,cha,and
1,16,sughoṣha,maṇipuṣhpakau
1,16,kāśhyaḥ,King of Kashi
1,16,cha,and
1,16,parama,iṣhu
1,16,śhikhaṇḍī,Shikhandi
1,16,cha,also
1,16,mahā,rathaḥ
1,16,dhṛiṣhṭadyumnaḥ,Dhrishtadyumna
1,16,virāṭaḥ,Virat
1,16,cha,and
1,16,sātyakiḥ,Satyaki
1,16,cha,and
1,16,aparājitaḥ,invincible
1,16,drupadaḥ,Drupad
1,16,draupadeyāḥ,the five sons of Draupadi
1,16,cha,and
1,16,sarvaśhaḥ,all
1,16,pṛithivī,pate
1,16,saubhadraḥ,"Abhimanyu, the son of Subhadra"
1,16,cha,also
1,16,mahā,bāhuḥ
1,16,śhaṅkhān,conch shells
1,16,dadhmuḥ,blew
1,16,pṛithak pṛithak,individually
1,17,ananta,vijayam
1,17,rājā,king
1,17,kuntī,putraḥ
1,17,yudhiṣhṭhiraḥ,Yudhishthir
1,17,nakulaḥ,Nakul
1,17,sahadevaḥ,Sahadev
1,17,cha,and
1,17,sughoṣha,maṇipuṣhpakau
1,17,kāśhyaḥ,King of Kashi
1,17,cha,and
1,17,parama,iṣhu
1,17,śhikhaṇḍī,Shikhandi
1,17,cha,also
1,17,mahā,rathaḥ
1,17,dhṛiṣhṭadyumnaḥ,Dhrishtadyumna
1,17,virāṭaḥ,Virat
1,17,cha,and
1,17,sātyakiḥ,Satyaki
1,17,cha,and
1,17,aparājitaḥ,invincible
1,17,drupadaḥ,Drupad
1,17,draupadeyāḥ,the five sons of Draupadi
1,17,cha,and
1,17,sarvaśhaḥ,all
1,17,pṛithivī,pate
1,17,saubhadraḥ,"Abhimanyu, the son of Subhadra"
1,17,cha,also
1,17,mahā,bāhuḥ
1,17,śhaṅkhān,conch shells
1,17,dadhmuḥ,blew
1,17,pṛithak pṛithak,individually
1,18,ananta,vijayam
1,18,rājā,king
1,18,kuntī,putraḥ
1,18,yudhiṣhṭhiraḥ,Yudhishthir
1,18,nakulaḥ,Nakul
1,18,sahadevaḥ,Sahadev
1,18,cha,and
1,18,sughoṣha,maṇipuṣhpakau
1,18,kāśhyaḥ,King of Kashi
1,18,cha,and
1,18,parama,iṣhu
1,18,śhikhaṇḍī,Shikhandi
1,18,cha,also
1,18,mahā,rathaḥ
1,18,dhṛiṣhṭadyumnaḥ,Dhrishtadyumna
1,18,virāṭaḥ,Virat
1,18,cha,and
1,18,sātyakiḥ,Satyaki
1,18,cha,and
1,18,aparājitaḥ,invincible
1,18,drupadaḥ,Drupad
1,18,draupadeyāḥ,the five sons of Draupadi
1,18,cha,and
1,18,sarvaśhaḥ,all
1,18,pṛithivī,pate
1,18,saubhadraḥ,"Abhimanyu, the son of Subhadra"
1,18,cha,also
1,18,mahā,bāhuḥ
1,18,śhaṅkhān,conch shells
1,18,dadhmuḥ,blew
1,18,pṛithak pṛithak,individually
1,19,saḥ,that
1,19,ghoṣhaḥ,sound
1,19,dhārtarāṣhṭrāṇām,of Dhritarashtra’s sons
1,19,hṛidayāni,hearts
1,19,vyadārayat,shattered
1,19,nabhaḥ,the sky
1,19,cha,and
1,19,pṛithivīm,the earth
1,19,cha,and
1,19,eva,certainly
1,19,tumulaḥ,terrific sound
1,19,abhyanunādayan,thundering
1,20,atha,thereupon
1,20,vyavasthitān,arrayed
1,20,dṛiṣhṭvā,seeing
1,20,dhārtarāṣhṭrān,Dhritarashtra’s sons
1,20,kapi,dwajaḥ
1,20,pravṛitte,about to commence
1,20,śhastra,sampāte
1,20,dhanuḥ,bow
1,20,udyamya,taking up
1,20,pāṇḍavaḥ,"Arjun, the son of Pandu"
1,20,hṛiṣhīkeśham,to Shree Krishna
1,20,tadā,at that time
1,20,vākyam,words
1,20,idam,these
1,20,āha,said
1,20,mahī,pate
1,21,arjunaḥ uvācha,Arjun said
1,21,senayoḥ,armies
1,21,ubhayoḥ,both
1,21,madhye,in the middle
1,21,ratham,chariot
1,21,sthāpaya,place
1,21,me,my
1,21,achyuta,"Shree Krishna, the infallible One"
1,21,yāvat,as many as
1,21,etān,these
1,21,nirīkṣhe,look
1,21,aham,I
1,21,yoddhu,kāmān
1,21,avasthitān,arrayed
1,21,kaiḥ,with whom
1,21,mayā,by me
1,21,saha,together
1,21,yoddhavyam,must fight
1,21,asmin,in this
1,21,raṇa,samudyame
1,22,arjunaḥ uvācha,Arjun said
1,22,senayoḥ,armies
1,22,ubhayoḥ,both
1,22,madhye,in the middle
1,22,ratham,chariot
1,22,sthāpaya,place
1,22,me,my
1,22,achyuta,"Shree Krishna, the infallible One"
1,22,yāvat,as many as
1,22,etān,these
1,22,nirīkṣhe,look
1,22,aham,I
1,22,yoddhu,kāmān
1,22,avasthitān,arrayed
1,22,kaiḥ,with whom
1,22,mayā,by me
1,22,saha,together
1,22,yoddhavyam,must fight
1,22,asmin,in this
1,22,raṇa,samudyame
1,23,yotsyamānān,those who have come to fight
1,23,avekṣhe aham,I desire to see
1,23,ye,who
1,23,ete,those
1,23,atra,here
1,23,samāgatāḥ,assembled
1,23,dhārtarāṣhṭrasya,of Dhritarashtra’s son
1,23,durbuddheḥ,evil
1,23,yuddhe,in the fight
1,23,priya,chikīrṣhavaḥ
1,24,sañjayaḥ uvācha,Sanjay said
1,24,evam,thus
1,24,uktaḥ,addressed
1,24,hṛiṣhīkeśhaḥ,"Shree Krishna, the Lord of the senses"
1,24,guḍākeśhena,"by Arjun, the conqueror of sleep"
1,24,bhārata,descendant of Bharat
1,24,senayoḥ,armies
1,24,ubhayoḥ,the two
1,24,madhye,between
1,24,sthāpayitvā,having drawn
1,24,ratha,uttamam
1,25,bhīṣhma,Grandsire Bheeshma
1,25,droṇa,Dronacharya
1,25,pramukhataḥ,in the presence
1,25,sarveṣhām,all
1,25,cha,and
1,25,mahī,kṣhitām
1,25,uvācha,said
1,25,pārtha,"Arjun, the son of Pritha"
1,25,paśhya,behold
1,25,etān,these
1,25,samavetān,gathered
1,25,kurūn,descendants of Kuru
1,25,iti,thus
1,26,tatra,there
1,26,apaśhyat,saw
1,26,sthitān,stationed
1,26,pārthaḥ,Arjun
1,26,pitṝīn,fathers
1,26,atha,thereafter
1,26,pitāmahān,grandfathers
1,26,āchāryān,teachers
1,26,mātulān,maternal uncles
1,26,bhrātṝīn,brothers
1,26,putrān,sons
1,26,pautrān,grandsons
1,26,sakhīn,friends
1,26,tathā,also
1,26,śhvaśhurān,fathers
1,26,suhṛidaḥ,well
1,26,cha,and
1,26,eva,indeed
1,26,senayoḥ,armies
1,26,ubhayoḥ,in both armies
1,26,api,also
1,27,tān,these
1,27,samīkṣhya,on seeing
1,27,saḥ,they
1,27,kaunteyaḥ,"Arjun, the son of Kunti"
1,27,sarvān,all
1,27,bandhūn,relatives
1,27,avasthitān,present
1,27,kṛipayā,by compassion
1,27,parayā,great
1,27,āviṣhṭaḥ,overwhelmed
1,27,viṣhīdan,deep sorrow
1,27,idam,this
1,27,abravīt,spoke
1,28,arjunaḥ uvācha,Arjun said
1,28,dṛiṣhṭvā,on seeing
1,28,imam,these
1,28,sva,janam
1,28,kṛiṣhṇa,Krishna
1,28,yuyutsum,eager to fight
1,28,samupasthitam,present
1,28,sīdanti,quivering
1,28,mama,my
1,28,gātrāṇi,limbs
1,28,mukham,mouth
1,28,cha,and
1,28,pariśhuṣhyati,is drying up
1,29,vepathuḥ,shuddering
1,29,cha,and
1,29,śharīre,on the body
1,29,me,my
1,29,roma,harṣhaḥ
1,29,cha,also
1,29,jāyate,is happening
1,29,gāṇḍīvam,Arjun’s bow
1,29,sraṁsate,is slipping
1,29,hastāt,from (my) hand
1,29,tvak,skin
1,29,cha,and
1,29,eva,indeed
1,29,paridahyate,is burning all over
1,29,na,not
1,29,cha,and
1,29,śhaknomi,am able
1,29,avasthātum,remain steady
1,29,bhramati iva,whirling like
1,29,cha,and
1,29,me,my
1,29,manaḥ,mind
1,29,nimittāni,omens
1,29,cha,and
1,29,paśhyāmi,I see
1,29,viparītāni,misfortune
1,29,keśhava,"Shree Krishna, killer of the Keshi demon"
1,29,na,not
1,29,cha,also
1,29,śhreyaḥ,good
1,29,anupaśhyāmi,I foresee
1,29,hatvā,from killing
1,29,sva,janam
1,29,āhave,in battle
1,30,vepathuḥ,shuddering
1,30,cha,and
1,30,śharīre,on the body
1,30,me,my
1,30,roma,harṣhaḥ
1,30,cha,also
1,30,jāyate,is happening
1,30,gāṇḍīvam,Arjun’s bow
1,30,sraṁsate,is slipping
1,30,hastāt,from (my) hand
1,30,tvak,skin
1,30,cha,and
1,30,eva,indeed
1,30,paridahyate,is burning all over
1,30,na,not
1,30,cha,and
1,30,śhaknomi,am able
1,30,avasthātum,remain steady
1,30,bhramati iva,whirling like
1,30,cha,and
1,30,me,my
1,30,manaḥ,mind
1,30,nimittāni,omens
1,30,cha,and
1,30,paśhyāmi,I see
1,30,viparītāni,misfortune
1,30,keśhava,"Shree Krishna, killer of the Keshi demon"
1,30,na,not
1,30,cha,also
1,30,śhreyaḥ,good
1,30,anupaśhyāmi,I foresee
1,30,hatvā,from killing
1,30,sva,janam
1,30,āhave,in battle
1,31,vepathuḥ,shuddering
1,31,cha,and
1,31,śharīre,on the body
1,31,me,my
1,31,roma,harṣhaḥ
1,31,cha,also
1,31,jāyate,is happening
1,31,gāṇḍīvam,Arjun’s bow
1,31,sraṁsate,is slipping
1,31,hastāt,from (my) hand
1,31,tvak,skin
1,31,cha,and
1,31,eva,indeed
1,31,paridahyate,is burning all over
1,31,na,not
1,31,cha,and
1,31,śhaknomi,am able
1,31,avasthātum,remain steady
1,31,bhramati iva,whirling like
1,31,cha,and
1,31,me,my
1,31,manaḥ,mind
1,31,nimittāni,omens
1,31,cha,and
1,31,paśhyāmi,I see
1,31,viparītāni,misfortune
1,31,keśhava,"Shree Krishna, killer of the Keshi demon"
1,31,na,not
1,31,cha,also
1,31,śhreyaḥ,good
1,31,anupaśhyāmi,I foresee
1,31,hatvā,from killing
1,31,sva,janam
1,31,āhave,in battle
1,32,na,nor
1,32,kāṅkṣhe,do I desire
1,32,vijayam,victory
1,32,kṛiṣhṇa,Krishna
1,32,na,nor
1,32,cha,as well
1,32,rājyam,kingdom
1,32,sukhāni,happiness
1,32,cha,also
1,32,kim,what
1,32,naḥ,to us
1,32,rājyena,by kingdom
1,32,govinda,"Krishna, he who gives pleasure to the senses, he who is fond of cows"
1,32,kim,what?
1,32,bhogaiḥ,pleasures
1,32,jīvitena,life
1,32,vā,or
1,32,yeṣhām,for whose
1,32,arthe,sake
1,32,kāṅkṣhitam,coveted for
1,32,naḥ,by us
1,32,rājyam,kingdom
1,32,bhogāḥ,pleasures
1,32,sukhāni,happiness
1,32,cha,also
1,32,te,they
1,32,ime,these
1,32,avasthitāḥ,situated
1,32,yuddhe,for battle
1,32,prāṇān,lives
1,32,tyaktvā,giving up
1,32,dhanāni,wealth
1,32,cha,also
1,33,na,nor
1,33,kāṅkṣhe,do I desire
1,33,vijayam,victory
1,33,kṛiṣhṇa,Krishna
1,33,na,nor
1,33,cha,as well
1,33,rājyam,kingdom
1,33,sukhāni,happiness
1,33,cha,also
1,33,kim,what
1,33,naḥ,to us
1,33,rājyena,by kingdom
1,33,govinda,"Krishna, he who gives pleasure to the senses, he who is fond of cows"
1,33,kim,what?
1,33,bhogaiḥ,pleasures
1,33,jīvitena,life
1,33,vā,or
1,33,yeṣhām,for whose
1,33,arthe,sake
1,33,kāṅkṣhitam,coveted for
1,33,naḥ,by us
1,33,rājyam,kingdom
1,33,bhogāḥ,pleasures
1,33,sukhāni,happiness
1,33,cha,also
1,33,te,they
1,33,ime,these
1,33,avasthitāḥ,situated
1,33,yuddhe,for battle
1,33,prāṇān,lives
1,33,tyaktvā,giving up
1,33,dhanāni,wealth
1,33,cha,also
1,34,āchāryāḥ,teachers
1,34,pitaraḥ,fathers
1,34,putrāḥ,sons
1,34,tathā,as well
1,34,eva,indeed
1,34,cha,also
1,34,pitāmahāḥ,grandfathers
1,34,mātulāḥ,maternal uncles
1,34,śhvaśhurāḥ,fathers
1,34,pautrāḥ,grandsons
1,34,śhyālāḥ,brothers
1,34,sambandhinaḥ,kinsmen
1,34,tathā,as well
1,34,etān,these
1,34,na,not
1,34,hantum,to slay
1,34,ichchhāmi,I wish
1,34,ghnataḥ,killed
1,34,api,even though
1,34,madhusūdana,"Shree Krishna, killer of the demon Madhu"
1,34,api,even though
1,34,trai,lokya
1,34,hetoḥ,for the sake of
1,34,kim nu,what to speak of
1,34,mahī,kṛite
1,35,āchāryāḥ,teachers
1,35,pitaraḥ,fathers
1,35,putrāḥ,sons
1,35,tathā,as well
1,35,eva,indeed
1,35,cha,also
1,35,pitāmahāḥ,grandfathers
1,35,mātulāḥ,maternal uncles
1,35,śhvaśhurāḥ,fathers
1,35,pautrāḥ,grandsons
1,35,śhyālāḥ,brothers
1,35,sambandhinaḥ,kinsmen
1,35,tathā,as well
1,35,etān,these
1,35,na,not
1,35,hantum,to slay
1,35,ichchhāmi,I wish
1,35,ghnataḥ,killed
1,35,api,even though
1,35,madhusūdana,"Shree Krishna, killer of the demon Madhu"
1,35,api,even though
1,35,trai,lokya
1,35,hetoḥ,for the sake of
1,35,kim nu,what to speak of
1,35,mahī,kṛite
1,36,nihatya,by killing
1,36,dhārtarāṣhṭrān,the sons of Dhritarashtra
1,36,naḥ,our
1,36,kā,what
1,36,prītiḥ,pleasure
1,36,syāt,will there be
1,36,janārdana,"he who looks after the public, Shree Krishna"
1,36,pāpam,vices
1,36,eva,certainly
1,36,āśhrayet,must come upon
1,36,asmān,us
1,36,hatvā,by killing
1,36,etān,all these
1,36,ātatāyinaḥ,aggressors
1,36,tasmāt,hence
1,36,na,never
1,36,arhāḥ,behoove
1,36,vayam,we
1,36,hantum,to kill
1,36,dhārtarāṣhṭrān,the sons of Dhritarashtra
1,36,sva,bāndhavān
1,36,sva,janam
1,36,hi,certainly
1,36,katham,how
1,36,hatvā,by killing
1,36,sukhinaḥ,happy
1,36,syāma,will we become
1,36,mādhava,"Shree Krishna, the husband of Yogmaya"
1,37,nihatya,by killing
1,37,dhārtarāṣhṭrān,the sons of Dhritarashtra
1,37,naḥ,our
1,37,kā,what
1,37,prītiḥ,pleasure
1,37,syāt,will there be
1,37,janārdana,"he who looks after the public, Shree Krishna"
1,37,pāpam,vices
1,37,eva,certainly
1,37,āśhrayet,must come upon
1,37,asmān,us
1,37,hatvā,by killing
1,37,etān,all these
1,37,ātatāyinaḥ,aggressors
1,37,tasmāt,hence
1,37,na,never
1,37,arhāḥ,behoove
1,37,vayam,we
1,37,hantum,to kill
1,37,dhārtarāṣhṭrān,the sons of Dhritarashtra
1,37,sva,bāndhavān
1,37,sva,janam
1,37,hi,certainly
1,37,katham,how
1,37,hatvā,by killing
1,37,sukhinaḥ,happy
1,37,syāma,will we become
1,37,mādhava,"Shree Krishna, the husband of Yogmaya"
1,38,yadi api,even though
1,38,ete,they
1,38,na,not
1,38,paśhyanti,see
1,38,lobha,greed
1,38,upahata,overpowered
1,38,chetasaḥ,thoughts
1,38,kula,kṣhaya
1,38,doṣham,fault
1,38,mitra,drohe
1,38,cha,and
1,38,pātakam,sin
1,38,katham,why
1,38,na,not
1,38,jñeyam,should be known
1,38,asmābhiḥ,we
1,38,pāpāt,from sin
1,38,asmāt,these
1,38,nivartitum,to turn away
1,38,kula,kṣhaya
1,38,kṛitam,done
1,38,doṣham,crime
1,38,prapaśhyadbhiḥ,who can see
1,38,janārdana,"he who looks after the public, Shree Krishna"
1,39,yadi api,even though
1,39,ete,they
1,39,na,not
1,39,paśhyanti,see
1,39,lobha,greed
1,39,upahata,overpowered
1,39,chetasaḥ,thoughts
1,39,kula,kṣhaya
1,39,doṣham,fault
1,39,mitra,drohe
1,39,cha,and
1,39,pātakam,sin
1,39,katham,why
1,39,na,not
1,39,jñeyam,should be known
1,39,asmābhiḥ,we
1,39,pāpāt,from sin
1,39,asmāt,these
1,39,nivartitum,to turn away
1,39,kula,kṣhaya
1,39,kṛitam,done
1,39,doṣham,crime
1,39,prapaśhyadbhiḥ,who can see
1,39,janārdana,"he who looks after the public, Shree Krishna"
1,40,kula,kṣhaye
1,40,praṇaśhyanti,are vanquished
1,40,kula,dharmāḥ
1,40,sanātanāḥ,eternal
1,40,dharme,religion
1,40,naṣhṭe,is destroyed
1,40,kulam,family
1,40,kṛitsnam,the whole
1,40,adharmaḥ,irreligion
1,40,abhibhavati,overcome
1,40,uta,indeed
1,41,adharma,irreligion
1,41,abhibhavāt,preponderance
1,41,kṛiṣhṇa,Shree Krishna
1,41,praduṣhyanti,become immoral
1,41,kula,striyaḥ
1,41,strīṣhu,of women
1,41,duṣhṭāsu,immorality
1,41,vārṣhṇeya,descendant of Vrishni
1,41,jāyate,are born
1,41,varṇa,saṅkaraḥ
1,42,saṅkaraḥ,unwanted children
1,42,narakāya,hellish
1,42,eva,indeed
1,42,kula,ghnānām
1,42,kulasya,of the family
1,42,cha,also
1,42,patanti,fall
1,42,pitaraḥ,ancestors
1,42,hi,verily
1,42,eṣhām,their
1,42,lupta,deprived of
1,42,piṇḍodaka,kriyāḥ
1,43,doṣhaiḥ,through evil deeds
1,43,etaiḥ,these
1,43,kula,ghnānām
1,43,varṇa,saṅkara
1,43,kārakaiḥ,causing
1,43,utsādyante,are ruined
1,43,jāti,dharmāḥ
1,43,kula,dharmāḥ
1,43,cha,and
1,43,śhāśhvatāḥ,eternal
1,44,utsanna,destroyed
1,44,kula,dharmāṇām
1,44,manuṣhyāṇām,of such human beings
1,44,janārdana,"he who looks after the public, Shree Krishna"
1,44,narake,in hell
1,44,aniyatam,indefinite
1,44,vāsaḥ,dwell
1,44,bhavati,is
1,44,iti,thus
1,44,anuśhuśhruma,I have heard from the learned
1,45,aho,alas
1,45,bata,horrible results
1,45,mahat,great
1,45,pāpam,sins
1,45,kartum,to perform
1,45,vyavasitāḥ,have decided
1,45,vayam,we
1,45,yat,because
1,45,rājya,sukha
1,45,hantum,to kill
1,45,sva,janam
1,45,udyatāḥ,intending
1,45,yadi,if
1,45,mām,me
1,45,apratīkāram,unresisting
1,45,aśhastram,unarmed
1,45,śhastra,pāṇayaḥ
1,45,dhārtarāṣhṭrāḥ,the sons of Dhritarashtra
1,45,raṇe,on the battlefield
1,45,hanyuḥ,shall kill
1,45,tat,that
1,45,me,to me
1,45,kṣhema,taram
1,45,bhavet,would be
1,46,aho,alas
1,46,bata,horrible results
1,46,mahat,great
1,46,pāpam,sins
1,46,kartum,to perform
1,46,vyavasitāḥ,have decided
1,46,vayam,we
1,46,yat,because
1,46,rājya,sukha
1,46,hantum,to kill
1,46,sva,janam
1,46,udyatāḥ,intending
1,46,yadi,if
1,46,mām,me
1,46,apratīkāram,unresisting
1,46,aśhastram,unarmed
1,46,śhastra,pāṇayaḥ
1,46,dhārtarāṣhṭrāḥ,the sons of Dhritarashtra
1,46,raṇe,on the battlefield
1,46,hanyuḥ,shall kill
1,46,tat,that
1,46,me,to me
1,46,kṣhema,taram
1,46,bhavet,would be
1,47,sañjayaḥ uvācha,Sanjay said
1,47,evam uktvā,speaking thus
1,47,arjunaḥ,Arjun
1,47,saṅkhye,in the battlefield
1,47,ratha upasthe,on the chariot
1,47,upāviśhat,sat
1,47,visṛijya,casting aside
1,47,sa,śharam
1,47,chāpam,the bow
1,47,śhoka,with grief
1,47,saṁvigna,distressed
1,47,mānasaḥ,mind
2,1,sañjayaḥ uvācha,Sanjay said
2,1,tam,to him (Arjun)
2,1,tathā,thus
2,1,kṛipayā,with pity
2,1,āviṣhṭam,overwhelmed
2,1,aśhru,pūrṇa
2,1,ākula,distressed
2,1,īkṣhaṇam,eyes
2,1,viṣhīdantam,grief
2,1,idam,these
2,1,vākyam,words
2,1,uvācha,said
2,1,madhusūdanaḥ,"Shree Krishn, slayer of the Madhu demon"
2,2,śhrī,bhagavān uvācha
2,2,kutaḥ,wherefrom
2,2,tvā,to you
2,2,kaśhmalam,delusion
2,2,idam,this
2,2,viṣhame,in this hour of peril
2,2,samupasthitam,overcome
2,2,anārya,crude person
