chapter,verse,speaker,sanskrit,translation,question
1,11,सञ्जय,अयनेषु च सर्वेषु यथाभागमवस्थिताः| भीष्ममेवाभिरक्षन्तु भवन्तः सर्व एव हि  || 1.11 || ,"Therefore, do all of you, stationed in your respective positions in the several divisions of the army, protect Bhishma alone.",What did Duryodhana ask Drona to primarily do during the war?
1,12,सञ्जय,तस्य संजनयन्हर्षं कुरुवृद्धः पितामहः| सिंहनादं विनद्योच्चैः शङ्खं दध्मौ प्रतापवान्  || 1.12 || ,"His glorious grandsire, the oldest of the Kauravas, roared like a lion to cheer Duryodhana and blew his conch.",What did Bhishma do to cheer up Duryodhana during the Mahabharata war?
1,13,सञ्जय,ततः शङ्खाश्च भेर्यश्च पणवानकगोमुखाः| सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत्  || 1.13 || ,"Then, suddenly, conches, kettledrums, tabors, drums, and cow horns blared forth from the Kaurava side, and the sound was tremendous.",What happened after Bhishma blew his conch?
1,14,सञ्जय,ततः श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ| माधवः पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतुः  || 1.14 || ,"Then, Madhava (Krishna) and the son of Pandu (Arjuna), seated in the magnificent chariot yoked with white horses, blew divine conches.",Who was the first person from the Pandava side to blow the conch?
1,15,सञ्जय,पाञ्चजन्यं हृषीकेशो देवदत्तं धनंजयः| पौण्ड्रं दध्मौ महाशङ्खं भीमकर्मा वृकोदरः  || 1.15 || ,"Hrishikesha blew the Panchajanya, Arjuna blew the Devadatta, and Bhima, the wolf-bellied doer of terrible deeds, blew the great conch Paundra.","What were the names of the conches of Krishna, Arjuna and Bhima?"
1,16,सञ्जय,अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिरः| नकुलः सहदेवश्च सुघोषमणिपुष्पकौ  || 1.16 || ,"King Yudhishthira, the son of Kunti, blew the Anantavijaya; Nakula and Sahadeva blew the Sughosha and the Manipushpaka.","What were the names of the conches of Yudhisthira, Nakula and Sahadeva?"
1,17,सञ्जय,काश्यश्च परमेष्वासः शिखण्डी च महारथः| धृष्टद्युम्नो विराटश्च सात्यकिश्चापराजितः  || 1.17 || ,"The king of Kasi, an excellent archer, Sikhandi, the mighty car-warrior, Dhrishtadyumna, Virata, and Satyaki, the unconquered.",Who else fought from the Pandava side?
1,18,सञ्जय,द्रुपदो द्रौपदेयाश्च सर्वशः पृथिवीपते| सौभद्रश्च महाबाहुः शङ्खान्दध्मुः पृथक्पृथक्  || 1.18 || ,"Drupada and the sons of Draupadi, O Lord of the Earth, and the son of Subhadra, the mighty-armed, blew their conches each separately.",Who else from the Pandava side blow their conch?
1,19,सञ्जय,स घोषो धार्तराष्ट्राणां हृदयानि व्यदारयत्| नभश्च पृथिवीं चैव तुमुलो व्यनुनादयन्  || 1.19 || ,"The tumultuous sound rent the hearts of Dhritarashtra's party, reverberating through both heaven and earth.",What was the reaction of Kauravas after the Pandava side blew their conches?
1,20,सञ्जय,अथ व्यवस्थितान् दृष्ट्वा धार्तराष्ट्रान्कपिध्वजः| प्रवृत्ते शस्त्रसंपाते धनुरुद्यम्य पाण्डवः  || 1.20 || ,"Then, seeing the people of Dhritarashtra's party standing arrayed and the discharge of weapons about to begin, Arjuna, the son of Pandu whose ensign was a monkey, took up his bow and said the following to Krishna, O Lord of the Earth.",What was depicted on Arjuna's chariot flag?
1,21,अर्जुन,हृषीकेशं तदा वाक्यमिदमाह महीपते| सेनयोरुभयोर्मध्ये रथं स्थापय मेऽच्युत  || 1.21 || ,"Arjuna said, ""O Krishna, place my chariot in the middle between the two armies, so that I may behold those who stand here, desirous to fight, and know with whom I must fight when the battle is about to commence.""",What did Arjuna first ask Krishna to do in the Mahabharata war?
1,22,अर्जुन,यावदेतान्निरीक्षेऽहं योद्धुकामानवस्थितान्| कैर्मया सह योद्धव्यमस्मिन्रणसमुद्यमे  || 1.22 || ,"Arjuna said, ""O Krishna, place my chariot in the middle between the two armies, so that I may behold those who stand here, desirous to fight, and know with whom I must fight when the battle is about to commence.""",Why did Arjuna want Krishna to draw his chariot between the two armies?
1,23,अर्जुन,योत्स्यमानानवेक्षेऽहं य एतेऽत्र समागताः| धार्तराष्ट्रस्य दुर्बुद्धेर्युद्धे प्रियचिकीर्षवः  || 1.23 || ,"For I desire to observe those who are assembled here to fight, wishing to please in battle the evil-minded Duryodhana—the son of Dhritarashtra.",What did Arjuna want to observe at the beginning of the war?
1,24,संजय,एवमुक्तो हृषीकेशो गुडाकेशेन भारत| सेनयोरुभयोर्मध्ये स्थापयित्वा रथोत्तमम्  || 1.24 || ,"Sanjaya said, Thus addressed by Arjuna, Krishna stationed the best of chariots, O Dhritarashtra, in the midst of the two armies.",Where did Krishna place the chariot?
1,25,संजय,भीष्मद्रोणप्रमुखतः सर्वेषां च महीक्षिताम्| उवाच पार्थ पश्यैतान्समवेतान्कुरूनिति  || 1.25 || ,"In front of Bhishma and Drona, and all the rulers of the earth, he said: ""O Arjuna, son of Pritha, behold these Kurus gathered together.""",In front of whom did Krishna place the chariot?
1,26,संजय,तत्रापश्यत्स्थितान्पार्थः पितृ़नथ पितामहान्| आचार्यान्मातुलान्भ्रातृ़न्पुत्रान्पौत्रान्सखींस्तथा  || 1.26 || ,"Then, Arjuna (son of Pritha) saw there (in the armies) stationed fathers, grandfathers, teachers, maternal uncles, brothers, sons, grandsons, and friends.",Which relatives did Arjuna see on the other side in the war?
1,27,संजय,श्वशुरान्सुहृदश्चैव सेनयोरुभयोरपि| तान्समीक्ष्य स कौन्तेयः सर्वान्बन्धूनवस्थितान्  || 1.27 || ,"He saw fathers-in-law and friends in both the armies. The son of Kunti, Arjuna, seeing all those kinsmen thus standing arrayed, spoke sorrowfully, deeply filled with pity.",Whom did Arjuna see when Krishna placed his chariot in the middle of the two armies?
1,28,अर्जुन,कृपया परयाऽऽविष्टो विषीदन्निदमब्रवीत्| दृष्ट्वेमं स्वजनं कृष्ण युयुत्सुं समुपस्थितम्  || 1.28 || ,"Arjuna said, ""O Krishna, seeing my kinsmen arrayed here, eager to fight,",Seeing whom did Arjuna become emotional during the war?
1,29,अर्जुन,सीदन्ति मम गात्राणि मुखं च परिशुष्यति| वेपथुश्च शरीरे मे रोमहर्षश्च जायते  || 1.29 || ,"My limbs fail, my mouth is parched, my body quivers, and my hair stands on end.",What happened to Arjuna's limbs when he saw so many relatives in the enemy's army?
1,30,अर्जुन,गाण्डीवं स्रंसते हस्तात्त्वक्चैव परिदह्यते| न च शक्नोम्यवस्थातुं भ्रमतीव च मे मनः  || 1.30 || ,"The Gandiva slips from my hand, and my skin burns all over; I am unable to stand, and my mind is reeling, as it were.",What happened to Arjuna's bow when he saw so many relatives in the enemy's army?
1,31,अर्जुन,निमित्तानि च पश्यामि विपरीतानि केशव| न च श्रेयोऽनुपश्यामि हत्वा स्वजनमाहवे  || 1.31 || ,"And I see ill omens, O Kesava. I do not see any good in slaying my kinsmen in battle.",What was Arjuna's reaction when he saw so many relatives in the enemy's army?
1,32,अर्जुन,न काङ्क्षे विजयं कृष्ण न च राज्यं सुखानि च| किं नो राज्येन गोविन्द किं भोगैर्जीवितेन वा  || 1.32 || ,"I desire not victory, O Krishna, nor kingdom, nor pleasures.
What use is dominion to us, O Krishna, or pleasures or even life?",Where in the Gita does Arjuna say that he has no desire for empire or victory?
1,33,अर्जुन,येषामर्थे काङ्क्षितं नो राज्यं भोगाः सुखानि च| त इमेऽवस्थिता युद्धे प्राणांस्त्यक्त्वा धनानि च  || 1.33 || ,"Those for whose sake we desire kingdom, enjoyments, and pleasures stand here in battle, having renounced life and wealth.",Why did Arjuna say that he has no desire for victory or the empire?
1,34,अर्जुन,आचार्याः पितरः पुत्रास्तथैव च पितामहाः| मातुलाः श्चशुराः पौत्राः श्यालाः सम्बन्धिनस्तथा  || 1.34 || ,"Teachers, fathers, sons, and grandfathers, maternal uncles, fathers-in-law, grandsons, brothers-in-law, and other relatives—",What did Arjuna say about the way teachers and relatives are to be treated?
1,35,अर्जुन,एतान्न हन्तुमिच्छामि घ्नतोऽपि मधुसूदन| अपि त्रैलोक्यराज्यस्य हेतोः किं नु महीकृते  || 1.35 || ,"These I do not wish to kill, O Krishna, even though they kill me, for the sake of dominion over the three worlds; leave alone killing them for the sake of the earth.""",Where in the Gita does Arjuna say that he will not kill his relatives even if they kill him?
1,36,अर्जुन,निहत्य धार्तराष्ट्रान्नः का प्रीतिः स्याज्जनार्दन| पापमेवाश्रयेदस्मान्हत्वैतानाततायिनः  || 1.36 || ,"By killing these sons of Dhritarashtra, what pleasure could be ours, O Janardana? Only sin would accrue to us from killing these felons.",What did Arjuna say will happen if he killed his own relatives?
1,37,अर्जुन,तस्मान्नार्हा वयं हन्तुं धार्तराष्ट्रान्स्वबान्धवान्| स्वजनं हि कथं हत्वा सुखिनः स्याम माधव  || 1.37 || ,"Therefore, we should not kill the sons of Dhritarashtra, our relatives; for how can we be happy by killing our own kin, O Madhava (Krishna)?",What according to Arjuna is the effect of killing our own kin?
1,38,अर्जुन,यद्यप्येते न पश्यन्ति लोभोपहतचेतसः| कुलक्षयकृतं दोषं मित्रद्रोहे च पातकम्  || 1.38 || ,"Though they, with intelligence overpowered by greed, see no evil in the destruction of families and no sin in hostility to friends,",What did Arjuna say about the nature of Kauravas?
1,39,अर्जुन,कथं न ज्ञेयमस्माभिः पापादस्मान्निवर्तितुम्| कुलक्षयकृतं दोषं प्रपश्यद्भिर्जनार्दन  || 1.39 || ,"Why should we not, who clearly see the evil in the destruction of families, learn to turn away from this sin, O Janardana (Krishna)?",Why did Arjuna want to turn away from the battle?
1,40,अर्जुन,कुलक्षये प्रणश्यन्ति कुलधर्माः सनातनाः| धर्मे नष्टे कुलं कृत्स्नमधर्मोऽभिभवत्युत  || 1.40 || ,"In the destruction of a family, the immemorial religious rites of that family perish; on the destruction of spirituality, impiety indeed, overwhelms the whole family.",What did Arjuna say would happen to his family if he kills his own clan?
1,41,अर्जुन,अधर्माभिभवात्कृष्ण प्रदुष्यन्ति कुलस्त्रियः| स्त्रीषु दुष्टासु वार्ष्णेय जायते वर्णसङ्करः  || 1.41 || ,"O Krishna, by the prevalence of impiety, the women of the family become corrupt; and, when women are corrupted, O Varshenya (descendant of Vrishni), intermingling of castes arises.",What did Arjuna say would happen to the women if he kills his own clan?
1,42,अर्जुन,सङ्करो नरकायैव कुलघ्नानां कुलस्य च| पतन्ति पितरो ह्येषां लुप्तपिण्डोदकक्रियाः  || 1.42 || ,"Confusion of castes leads to hell for the slayers of the family, for their forebears fall, deprived of the offerings of rice-balls and libations of water.",What leads to hell according to Arjuna?
1,43,अर्जुन,दोषैरेतैः कुलघ्नानां वर्णसङ्करकारकैः| उत्साद्यन्ते जातिधर्माः कुलधर्माश्च शाश्वताः  || 1.43 || ,"By these evil deeds of the destroyers of the family, which cause confusion of castes, the eternal religious rites of the caste and the family are destroyed.",What did Arjuna say would happen if there is inter mixing in the clans?
1,44,अर्जुन,उत्सन्नकुलधर्माणां मनुष्याणां जनार्दन| नरकेऽनियतं वासो भवतीत्यनुशुश्रुम  || 1.44 || ,"We have heard, O Janardana, that those men in whose families the religious practices have been destroyed are inevitably destined to dwell in hell for an unknown period.",What did Arjuna say would happen to those whose clans are destroyed?
1,45,अर्जुन,अहो बत महत्पापं कर्तुं व्यवसिता वयम्| यद्राज्यसुखलोभेन हन्तुं स्वजनमुद्यताः  || 1.45 || ,"Alas! We are involved in a great sin, for we are prepared to kill our kinsmen, out of greed for the pleasures of a kingdom.",Why did Arjuna say that he was about to commit a sin?
1,46,अर्जुन,यदि मामप्रतीकारमशस्त्रं शस्त्रपाणयः| धार्तराष्ट्रा रणे हन्युस्तन्मे क्षेमतरं भवेत्  || 1.46 || ,"If the sons of Dhritarashtra, with weapons in hand, should slay me in battle, unresisting and unarmed, that would be better for me.",Why did Arjuna want to be killed by the enemy Kauravas?
1,47,सञ्जय,एवमुक्त्वाऽर्जुनः संख्ये रथोपस्थ उपाविशत्| विसृज्य सशरं चापं शोकसंविग्नमानसः  || 1.47 || ,"Sanjaya said, Having thus spoken in the midst of the battlefield, Arjuna cast away his bow and arrow and, his mind overwhelmed with sorrow, sat down on the seat of the chariot.",What did Arjuna do after arguing that he will prefer being killed instead of killing his own relatives?
2,1,सञ्जय,तं तथा कृपयाऽविष्टमश्रुपूर्णाकुलेक्षणम्| विषीदन्तमिदं वाक्यमुवाच मधुसूदनः || 2.1 || ,"Sanjaya said: To him, who was thus overcome with pity, despondent, with eyes full of tears and agitated, Madhusudana (the destroyer of Madhu) or Krishna spoke these words.",What did Sanjaya say about the state of Arjuna?
2,2,भगवान,कुतस्त्वा कश्मलमिदं विषमे समुपस्थितम्| अनार्यजुष्टमस्वर्ग्यमकीर्तिकरमर्जुन || 2.2 || ,"The Blessed Lord said, ""From whence has this perilous strait come upon you, this dejection which is unworthy of you, disgraceful, and which will close the gates of heaven upon you, O Arjuna?""",What were Krishna's first words on seeing the weak state of Arjuna after he refused to fight the war?
2,3,भगवान,क्लैब्यं मा स्म गमः पार्थ नैतत्त्वय्युपपद्यते| क्षुद्रं हृदयदौर्बल्यं त्यक्त्वोत्तिष्ठ परन्तप || 2.3 || ,"Do not yield to impotence, O Arjuna, son of Pritha. It does not befit you. Cast off this mean weakness of the heart! Stand up, O conqueror of foes!",What did Krishna say to encourage Arjuna to fight the war? How can I become strong?
2,4,अर्जुन,कथं भीष्ममहं संख्ये द्रोणं च मधुसूदन| इषुभिः प्रतियोत्स्यामि पूजार्हावरिसूदन || 2.4 || ,"Arjuna said, ""O Madhusudana, how can I fight in battle with arrows against Bhishma and Drona, who are worthy of being worshipped, O destroyer of enemies?""",Why was Arjuna reluctant to shoot arrows at Bhishma and Drona?
2,5,अर्जुन,गुरूनहत्वा हि महानुभावान् श्रेयो भोक्तुं भैक्ष्यमपीह लोके|  हत्वार्थकामांस्तु गुरूनिहैव भुञ्जीय भोगान् रुधिरप्रदिग्धान् || 2.5 || ,"Better it is, indeed, in this world to accept alms than to slay the most noble teachers. But if I were to kill them, even in this world, all my enjoyments of wealth and fulfilled desires would be stained with their blood.",Why was Arjuna reluctant to shoot arrows at his teachers?
2,6,अर्जुन,न चैतद्विद्मः कतरन्नो गरीयो यद्वा जयेम यदि वा नो जयेयुः| यानेव हत्वा न जिजीविषाम स्तेऽवस्थिताः प्रमुखे धार्तराष्ट्राः || 2.6 || ,"I can hardly tell which would be better, that we should conquer them or that they should conquer us. Even the sons of Dhritarashtra, whom we do not wish to slay, stand facing us.",Why was Arjuna reluctant to shoot arrows at Kauravas (sons of Dhrtarastra)?
2,7,अर्जुन,कार्पण्यदोषोपहतस्वभाव: पृच्छामि त्वां धर्मसम्मूढचेता: | यच्छ्रेय: स्यान्निश्चितं ब्रूहि तन्मे शिष्यस्तेऽहं शाधि मां त्वां प्रपन्नम्  ||  2.7 || ,"My heart is overpowered by the taint of pity; my mind is confused as to my duty. I ask Thee: Tell me decisively what is good for me. I am Thy disciple; instruct me, who has taken refuge in Thee.",When did Arjuna first admis that he is confused?
2,8,अर्जुन, न हि प्रपश्यामि ममापनुद्या द्यच्छोकमुच्छोषणमिन्द्रियाणाम्| अवाप्य भूमावसपत्नमृद्धम्रा ज्यं सुराणामपि चाधिपत्यम् || 2.8 || ,"I do not see that this sorrow that burns up my senses would be removed, even if I were to attain prosperous and unrivaled dominion on earth or lordship over the gods.",Why was Arjuna so grief stricken?
2,9,सञ्जय,एवमुक्त्वा हृषीकेशं गुडाकेशः परन्तप| न योत्स्य इति गोविन्दमुक्त्वा तूष्णीं बभूव ह || 2.9 || ,"Sanjaya said: Having spoken thus to Hrishikesha, the Lord of the senses, Arjuna, the conqueror of sleep and destroyer of foes, said, ""I will not fight,"" and became silent.",Where in the Gita did Arjuna say that he will not fight?
2,10,सञ्जय, तमुवाच हृषीकेशः प्रहसन्निव भारत| सेनयोरुभयोर्मध्ये विषीदन्तमिदं वचः || 2.10 || ,"To him who was despondent in the midst of the two armies, Krishna, smiling, O Bharata, spoke these words.",What was Krishna's first reaction on seeing the grief stricken state of Arjuna?
2,11,भगवान, अशोच्यानन्वशोचस्त्वं प्रज्ञावादांश्च भाषसे| गतासूनगतासूंश्च नानुशोचन्ति पण्डिताः || 2.11 || ,"The Blessed Lord said, ""You have grieved for those who should not be grieved for; yet, you speak words of wisdom. The wise grieve neither for the living nor for the dead.""",Is it suitable for wise people to grieve?
2,12,भगवान, न त्वेवाहं जातु नासं न त्वं नेमे जनाधिपाः| न चैव न भविष्यामः सर्वे वयमतः परम् || 2.12 || ,"Nor, at any time, was I not, nor thou, nor these rulers of men; nor, verily, shall we ever cease to be hereafter.",Do human beings cease to exist when they die?
2,13,भगवान,देहिनोऽस्मिन्यथा देहे कौमारं यौवनं जरा| तथा देहान्तरप्राप्तिर्धीरस्तत्र न मुह्यति || 2.13 || ,"Just as the embodied soul passes through childhood, youth, and old age in this body, so too does it pass into another body; the steadfast one does not grieve over this.",What happens to the soul or Atman after death of the body? Does the soul transmigrate after death of the body? What is transmigration of the soul?
2,14,भगवान, मात्रास्पर्शास्तु कौन्तेय शीतोष्णसुखदुःखदाः| आगमापायिनोऽनित्यास्तांस्तितिक्षस्व भारत || 2.14 || ,"The contact of the senses with the objects, O son of Kunti, which causes heat and cold, pleasure and pain, has a beginning and an end; they are impermanent; endure them bravely, O Arjuna.",How do various feelings of pleasure and pain arise?
2,15,भगवान, यं हि न व्यथयन्त्येते पुरुषं पुरुषर्षभ| समदुःखसुखं धीरं सोऽमृतत्वाय कल्पते || 2.15 || ,"That firm man, whom surely these afflictions do not, O chief among men, to whom pleasure and pain are the same, is fit for attaining immortality.",What is the sign of a steadfast human? Where does Krishna talk about impermanence of pleasure and pain?
2,16,भगवान,नासतो विद्यते भावो नाभावो विद्यते सतः| उभयोरपि दृष्टोऽन्तस्त्वनयोस्तत्त्वदर्शिभिः || 2.16 || ,The unreal has no being; there is no non-being of the real; the truth about both has been seen by the knowers of the truth (or the seers of the essence).,What is the real and unreal?
2,17,भगवान, अविनाशि तु तद्विद्धि येन सर्वमिदं ततम्| विनाशमव्ययस्यास्य न कश्चित् कर्तुमर्हति ||  2.17 || ,"Know that to be indestructible, by which all this is pervaded. No one can cause the destruction of that, the Imperishable.",Is there anything that immutable and indestructible in this universe?
2,18,भगवान,अन्तवन्त इमे देहा नित्यस्योक्ताः शरीरिणः| अनाशिनोऽप्रमेयस्य तस्माद्युध्यस्व भारत || 2.18 || ,"These bodies of the embodied Self, which are eternal, indestructible, and immeasurable, are said to have an end. Therefore, fight, O Arjuna.",Does the Jiva also die when the body dies?
2,19,भगवान,य एनं वेत्ति हन्तारं यश्चैनं मन्यते हतम्| उभौ तौ न विजानीतो नायं हन्ति न हन्यते || 2.19 || ,"He who takes the Self to be the slayer and he who thinks it is slain, neither of them knows. It does not slay, nor is it slain.",What is the sign of ignorance in a human?
2,20,भगवान,न जायते म्रियते वा कदाचि न्नायं भूत्वा भविता वा न भूयः| अजो नित्यः शाश्वतोऽयं पुराणो न हन्यते हन्यमाने शरीरे || 2.20 || ,"It is not born, nor does it ever die; after having been, it again does not cease to be; unborn, eternal, changeless, and ancient, it is not killed when the body is killed.",What are the properties of the soul or atman?
2,21,भगवान,वेदाविनाशिनं नित्यं य एनमजमव्ययम्| कथं स पुरुषः पार्थ कं घातयति हन्ति कम् || 2.21 || ,"Whoever knows it to be indestructible, eternal, unborn, and inexhaustible, how can that person slay, O Arjuna, or cause to be slain?",Can a Jiva be killed by anyone? Can the soul be killed by anyone?
2,22,भगवान,वासांसि जीर्णानि यथा विहाय नवानि गृह्णाति नरोऽपराणि| तथा शरीराणि विहाय जीर्णा- न्यन्यानि संयाति नवानि देही || 2.22 || ,"Just as a man casts off worn-out clothes and puts on new ones, so too the embodied Self casts off worn-out bodies and enters others that are new.",What happens to the soul after the body dies? What happens to the soul after death? What happens to the self after the body dies? What happens to the self after death?
2,23,भगवान,नैनं छिन्दन्ति शस्त्राणि नैनं दहति पावकः| न चैनं क्लेदयन्त्यापो न शोषयति मारुतः || 2.23 || ,"Weapons cannot cut it, fire cannot burn it, water cannot wet it, wind cannot dry it.",Can the soul or self or atman be burnt or destroyed?
2,24,भगवान,अच्छेद्योऽयमदाह्योऽयमक्लेद्योऽशोष्य एव च| नित्यः सर्वगतः स्थाणुरचलोऽयं सनातनः || 2.24 || ,"This Self cannot be cut, burned, wetted, nor dried up; it is eternal, all-pervasive, stable, immovable, and ancient.",Can the soul be dried up?
2,25,भगवान,अव्यक्तोऽयमचिन्त्योऽयमविकार्योऽयमुच्यते| तस्मादेवं विदित्वैनं नानुशोचितुमर्हसि || 2.25 || ,"This Self is said to be unmanifested, unthinkable, and unchangeable. Therefore, knowing this to be so, you should not grieve.",Is grieving suitable for those who know the Self or soul or atman? What are the characteristics of the Self? What is the soul? What is the Self? What are the characteristics of the soul? Who am I? What is atma? What is the atma?
2,26,भगवान,अथ चैनं नित्यजातं नित्यं वा मन्यसे मृतम्| तथापि त्वं महाबाहो नैवं शोचितुमर्हसि || 2.26 || ,"But even if thou thinkest of It as constantly being born and constantly dying, even then, O mighty-armed one, thou shouldst not grieve.",Is grieving suitable for even those who do not believe in an eternal soul or self or atman?
2,27,भगवान,जातस्य हि ध्रुवो मृत्युर्ध्रुवं जन्म मृतस्य च| तस्मादपरिहार्येऽर्थे न त्वं शोचितुमर्हसि || 2.27 || ,"For the born, death is certain, and for the dead, birth is certain; therefore, you should not grieve over the inevitable.",Why is grieving unsuitable even for those who do not believe in an eternal soul or self? Can you explain the cycle of birth and death?
2,28,भगवान,अव्यक्तादीनि भूतानि व्यक्तमध्यानि भारत| अव्यक्तनिधनान्येव तत्र का परिदेवना ||  2.28 || ,"Beings are unmanifest in their beginning, manifest in their middle state, O Arjuna, and unmanifest again in their end. What is there to grieve about?",Do beings have a definite beginning and end?
2,29,भगवान,आश्चर्यवत्पश्यति कश्चिदेन माश्चर्यवद्वदति तथैव चान्यः| आश्चर्यवच्चैनमन्यः श्रृणोति श्रुत्वाप्येनं वेद न चैव कश्चित् || 2.29 || ,"One sees this (the Self) as a wonder; another speaks of it as a wonder; another hears of it as a wonder; yet, having heard, none understands it at all.",What is so wonderful about the soul or the self?
2,30,भगवान,देही नित्यमवध्योऽयं देहे सर्वस्य भारत| तस्मात्सर्वाणि भूतानि न त्वं शोचितुमर्हसि || 2.30 ||  ,"This indweller in the body of everyone is ever indestructible, O Arjuna; therefore, you should not grieve for any creature.",Are all the selves eternal and indestructible?
2,31,भगवान,स्वधर्ममपि चावेक्ष्य न विकम्पितुमर्हसि| धर्म्याद्धि युद्धाछ्रेयोऽन्यत्क्षत्रियस्य न विद्यते || 2.31 ||  ,"Further, having regard to your duty, you should not waver, for there is nothing higher for a Kshatriya than a righteous war.",What is the greatest duty of a Kshatriya warrior?
2,32,भगवान,यदृच्छया चोपपन्नं स्वर्गद्वारमपावृतम्| सुखिनः क्षत्रियाः पार्थ लभन्ते युद्धमीदृशम् || 2.32 ||  ,"Happy are the Kshatriyas, O Arjuna! who are called to fight in such a battle that comes of its own accord as an open door to heaven.",What leads a Kshatriya warrior to heaven?
2,33,भगवान,अथ चैत्त्वमिमं धर्म्यं संग्रामं न करिष्यसि| ततः स्वधर्मं कीर्तिं च हित्वा पापमवाप्स्यसि || 2.33 ||  ,"But if you will not fight this righteous war, then having abandoned your own duty and reputation, you will incur sin.",What happens to Kshatriya warriors who turn away from their duty?
2,34,भगवान,अकीर्तिं चापि भूतानि कथयिष्यन्ति तेऽव्ययाम्| संभावितस्य चाकीर्तिर्मरणादतिरिच्यते || 2.34 ||  ,"People will also recount your everlasting dishonor; and for one who has been honored, dishonor is worse than death.",What do people treat Kshatriya warriors who turn away from their duty?
2,35,भगवान,भयाद्रणादुपरतं मंस्यन्ते त्वां महारथाः| येषां च त्वं बहुमतो भूत्वा यास्यसि लाघवम् || 2.35 ||  ,"The great chariot-warriors will think that you have withdrawn from the battle out of fear, and you will be held in low esteem by those who have held you in high regard.",What do other warriors treat Kshatriya warriors who turn away from their duty?
