Chapter/Valli,Verse,Sanskrit,Translation
1.1,19,"एष तेऽग्निर्नचिकेतः स्वर्ग्यो
    यमवृणीथा द्वितीयेन वरेण ।
एतमग्निं तवैव प्रवक्ष्यन्ति जनासः
    तृतीयं वरं नचिकेतो वृणीष्व ॥","This   is   your   fire,  which  takes one   to   heaven   and   which you   have   chosen   as   your   second   boon. People   will   designate this   fire   after your   name. Now   choose   your   third boon, O Nachiketa."
1.1,20,"येयं प्रेते विचिकित्सा मनुष्ये-
    ऽस्तीत्येके नायमस्तीति चैके ।
एतद्विद्यामनुशिष्टस्त्वयाऽहं
    वराणामेष वरस्तृतीयः ॥ ","(Nachiketa   said): ""Upon the death of  a person, there arises this doubt - some declare that something outlives the body, other say, nothing remains. I desire to know, upon your instructions, about this issue and this is my third among the boons"""
1.1,21,"देवैरत्रापि विचिकित्सितं पुरा
    न हि सुविज्ञेयमणुरेष धर्मः ।
अन्यं वरं नचिकेतो वृणीष्व
    मा मोपरोत्सीरति मा सृजैनम् ॥","(Yama   said) : "" This subtle matter is not easily understood. In the days of yore, even
Gods had entairtained doubts about this. Therefore, O! Nachiketa! choose
another boon. Do not press this and release me from this (Obligation)"""
1.1,22,"देवैरत्रापि विचिकित्सितं किल
    त्वं च मृत्यो यन्न सुज्ञेयमात्थ ।
वक्ता चास्य त्वादृगन्यो न लभ्यो
    नान्यो वरस्तुल्य एतस्य कश्चित् ॥","(Nachiketa   said) : "" O! Death! you too say that even the gods had indeed doubted about this and is not also easy to comprehend. There is neither a teacher equal to you nor a boon equal to this""."
1.1,23,"शतायुषः पुत्रपौत्रान्वृणीष्वा
    बहून्पशून् हस्तिहिरण्यमश्वान् ।
भूमेर्महदायतनं वृणीष्व
    स्वयं च जीव शरदो यावदिच्छसि ॥","(Yama   said) : ""May you seek sons and grandsons who will live a hundred years, cattle, elephants, horses and gold, as also an extensive land area to rule and live any number of autumns as you like.  "
1.1,24,"एतत्तुल्यं यदि मन्यसे वरं
    वृणीष्व वित्तं चिरजीविकां च ।
महाभूमौ नचिकेतस्त्वमेधि
    कामानां त्वा कामभाजं करोमि ॥","If you think so, seek another boon equal to this for riches, longivity and an expansive kingdom where O! Nachiketa ! May you rule over. I shall make you the enjoyer of all your desires.
"
1.1,25,"ये ये कामा दुर्लभा मर्त्यलोके
    सर्वान् कामाँश्छन्दतः प्रार्थयस्व ।
इमा रामाः सरथाः सतूर्या
    न हीदृशा लम्भनीया मनुष्यैः ।
आभिर्मत्प्रत्ताभिः परिचारयस्व
    नचिकेतो मरणं माऽनुप्राक्षीः ॥","Whatever   desires   are  there which are not easy to be gained in this world of mortals, all those may you obtain as you desire. These beautiful damsels along with chariots and musical instruments, which are not attainable by men, I shall bestow upon you. Entertain yourself with these. Do not seek to know about death."
1.1,26,"श्वोभावा मर्त्यस्य यदन्तकैतत्
    सर्वेंद्रियाणां जरयन्ति तेजः ।
अपि सर्वं जीवितमल्पमेव
    तवैव वाहास्तव नृत्यगीते ॥","""O! Death! All these are impermanent. The sense organs of man is worn out through indulgence in these enjoyments. The entire life is but brief. You may keep these vehicles, music and dance to yourself.  "
1.1,27,"न वित्तेन तर्पणीयो मनुष्यो
    लप्स्यामहे वित्तमद्राक्ष्म चेत्त्वा ।
जीविष्यामो यावदीशिष्यसि त्वं
    वरस्तु मे वरणीयः स एव ॥ ","No man is ever satisfied with wealth. Having seen you, we shall live as long as you rule. The boon I desire is , therefore , the one I have sought."
1.1,28,"अजीर्यताममृतानामुपेत्य
    जीर्यन्मर्त्यः क्वधःस्थः प्रजानन् ।
अभिध्यायन् वर्णरतिप्रमोदान्
    अतिदीर्घे जीविते को रमेत ॥ ","Once the immortal and everlasting one is attained, which man, who is himself nor permanent, will be elated or be thought of living long after examining the worthless enjoyments of song & dance ?  "
1.1,29,"यस्मिन्निदं विचिकित्सन्ति मृत्यो
    यत्साम्पराये महति ब्रूहि नस्तत् ।
योऽयं वरो गूढमनुप्रविष्टो
    नान्यं तस्मान्नचिकेता वृणीते ॥",O! Death! Instruct me on the superior life after death regarding which people have reservations. Nachiketa chooses not other boon other than this mysterious one.  
1.2,1,"अन्यच्छ्रेयोऽन्यदुतैव प्रेय-
    स्ते उभे नानार्थे पुरुषँ सिनीतः ।
तयोः श्रेय आददानस्य साधु
    भवति हीयतेऽर्थाद्य उ प्रेयो वृणीते ॥","Two concepts bind the man and are of different objectives. One is what is beneficial and the other is what is pleasing. He who chooses the beneficial, gains and the one who goes for the the pleasant, deflects from that."
1.2,2,"श्रेयश्च प्रेयश्च मनुष्यमेतः
    तौ सम्परीत्य विविनक्ति धीरः ।
श्रेयो हि धीरोऽभि प्रेयसो वृणीते
    प्रेयो मन्दो योगक्षेमाद्वृणीते ॥","Both   these - beneficial and pleasant - come to humans. The discriminating one after due consideration  selects the beneficial alone in preference to the pleasure-giving; but desirous of worldly happiness, the dull-witted falls for pleasing.  "
1.2,3,"स त्वं प्रियान्प्रियरूपांश्च कामान्
    अभिध्यायन्नचिकेतोऽत्यस्राक्षीः ।
नैतां सृङ्कां वित्तमयीमवाप्तो
    यस्यां मज्जन्ति बहवो मनुष्याः ॥","O! Nachiketa!,  After due consideration, you have rejected all those pleasures and objects of pleasures, which also tempt. You have not got into this path of pleasures, in which many men are lost."
1.2,4,"दूरमेते विपरीते विषूची
    अविद्या या च विद्येति ज्ञाता ।
विद्याभीप्सिनं नचिकेतसं मन्ये
    न त्वा कामा बहवोऽलोलुपन्त ॥",Widely varying with different destinations are these two- ignorance and knowledge. I think Nachiketas is desirous of knowledge as the objects of pleasure do not tempt him.
1.2,5,"अविद्यायामन्तरे वर्तमानाः
    स्वयं धीराः पण्डितंमन्यमानाः ।
दन्द्रम्यमाणाः परियन्ति मूढा
    अन्धेनैव नीयमाना यथान्धाः ॥",The deluded staying in illusion thinking themselves to be enlightened go in circles faltering and floundering like sightless-men led by a sightless one.  
1.2,6,"न साम्परायः प्रतिभाति बालं
    प्रमाद्यन्तं वित्तमोहेन मूढम् ।
अयं लोको नास्ति पर इति मानी
    पुनः पुनर्वशमापद्यते मे ॥ ","Deluded by riches, one in illusion like a child thinks only of this world and not of a hereafter -  and thus, gets under my control repeatedly.  "
1.2,7,"श्रवणायापि बहुभिर्यो न लभ्यः
    श‍ृण्वन्तोऽपि बहवो यं न विद्युः ।
आश्चर्यो वक्ता कुशलोऽस्य लब्धा
    आश्चर्यो ज्ञाता कुशलानुशिष्टः ॥",It is not possible for many to hear about it (Brahman) and even having heard many do not understand. The teacher must be a skilful one and the pupil should be sharp in grasp. The knower is a wonderful person instructed by the adept. 
1.2,8,"न नरेणावरेण प्रोक्त एष
    सुविज्ञेयो बहुधा चिन्त्यमानः ।
अनन्यप्रोक्ते गतिरत्र नास्ति
    अणीयान् ह्यतर्क्यमणुप्रमाणात् ॥",This principle (Brahman) is not understood by pondering in different ways or being taught by one of low ability. There is no other way than being taught by one of unparalleled ability and it transcends all arguments and is subtlest of subtle.
1.2,9,"नैषा तर्केण मतिरापनेया
    प्रोक्तान्येनैव सुज्ञानाय प्रेष्ठ ।
यां त्वमापः सत्यधृतिर्बतासि
    त्वादृङ्नो भूयान्नचिकेतः प्रष्टा ॥ ",This knowledge is not attainable by argumentation. It is of easy comprehension only when instructed by another. O! Dearest one! O! Nachiketa! let there be seekers like you! You are truly resolved in your desire. 
1.2,10,"जानाम्यहं शेवधिरित्यनित्यं
    न ह्यध्रुवैः प्राप्यते हि ध्रुवं तत् ।
ततो मया नाचिकेतश्चितोऽग्निः
    अनित्यैर्द्रव्यैः प्राप्तवानस्मि नित्यम् ॥","I am aware that riches are not permanent. Certainly what is everlasting is not attained through what is temporary. But, I have gained the eternal by performing the nachiketa fire-sacrifice with transient materials."
1.2,11,"कामस्याप्तिं जगतः प्रतिष्ठां
    क्रतोरानन्त्यमभयस्य पारम् ।
स्तोममहदुरुगायं प्रतिष्ठां दृष्ट्वा
    धृत्या धीरो नचिकेतोऽत्यस्राक्षीः ॥","O! Nachiketa! Having seen that great and exalted state, the very foundation of the universe, the end-point of all observances, the other shore of fear, You wise one ! You have rejected the attainment of all desires, being steadfast in you resolve."
1.2,12,"तं दुर्दर्शं गूढमनुप्रविष्टं
    गुहाहितं गह्वरेष्ठं पुराणम् ।
अध्यात्मयोगाधिगमेन देवं
    मत्वा धीरो हर्षशोकौ जहाति ॥","The   wise   man   having,  by meditating on it , got that which is difficult to realise, effulgent, deep-seated and immanent, dwelling in the cave of the heart transcends   both   joy   and   sorrow. "
1.2,13,"एतच्छ्रुत्वा सम्परिगृह्य मर्त्यः
    प्रवृह्य धर्म्यमणुमेतमाप्य ।
स मोदते मोदनीयँ हि लब्ध्वा
    विवृतँ सद्म नचिकेतसं मन्ये ॥ ","The   mortal,  having heard and realised that subtle principle, the essence of righteousness, rejoices verily, in a blissful state, having attained the bliss-worthy one. I feel that for Nachiketa , its residence is dis-covered.  "
1.2,14,"अन्यत्र धर्मादन्यत्राधर्मा-
    दन्यत्रास्मात्कृताकृतात् ।
अन्यत्र भूताच्च भव्याच्च
    यत्तत्पश्यसि तद्वद ॥ ","(Nachiketas   said): Please tell me that which you perceive as variant from the right and the wrong, the cause and effect and the past and the future.  
 "
1.2,15,"सर्वे वेदा यत्पदमामनन्ति
    तपाꣳसि सर्वाणि च यद्वदन्ति ।
यदिच्छन्तो ब्रह्मचर्यं चरन्ति
    तत्ते पदꣳ सङ्ग्रहेण ब्रवीम्योमित्येतत् ॥","That which is proclaimed by all the scriptures, which is said to be the end effect of all rituals and for which enquiry into the ultimate reality is undertaken, I shall tell you about it briefly as ""OM"""
1.2,16,"एतद्ध्येवाक्षरं ब्रह्म एतद्ध्येवाक्षरं परम् ।
एतद्ध्येवाक्षरं ज्ञात्वा यो यदिच्छति तस्य तत् ॥","This syllable (OM) is the highest (Brahman) , this alone is ever-lasting and whoever realises  this  attains whatever he desires.  "
1.2,17,"एतदालम्बनँ श्रेष्ठमेतदालम्बनं परम् ।
एतदालम्बनं ज्ञात्वा ब्रह्मलोके महीयते ॥","This (syllable OM)   is   the   best  support, this is the supreme support and upon realising this, one is adored in the world of Brahma (Hiranyagarbha loka)."
1.2,18,"न जायते म्रियते वा विपश्चि-
    न्नायं कुतश्चिन्न बभूव कश्चित् ।
अजो नित्यः शाश्वतोऽयं पुराणो
    न हन्यते हन्यमाने शरीरे ॥","The consciousness (soul ) is neither born nor is it subject to death. It has not manifested from anything nor has it given rise to a new entity. This one is unborn, always existing, everlasting, indeterminable in antiquity and is not destroyed when the body (container) is destroyed.   "
1.2,19,"हन्ता चेन्मन्यते हन्तुँ हतश्चेन्मन्यते हतम् ।
उभौ तौ न विजानीतो नायँ हन्ति न हन्यते ॥ ","If   the   slayer   thinks   he  slays,   and   slain   thinks   that   he   is slain, neither   of   them   knows   the   truth.   This   (Knower)   neither slays   nor   is  slain.  "
1.2,20,"अणोरणीयान्महतो महीया-
    नात्माऽस्य जन्तोर्निहितो गुहायाम् ।
तमक्रतुः पश्यति वीतशोको
    धातुप्रसादान्महिमानमात्मनः ॥ ","Smaller   than   the   smallest,   greater   than   the   greatest   is   the   Atman that   dwells   in   the cave of the  heart   of   beings.   He   who   is   desireless,   realises the   glory   of   Atman   through   cleansing   of   mind   and   senses,   and  transcends from   sorrow. "
1.2,21,"आसीनो दूरं व्रजति शयानो याति सर्वतः ।
कस्तं मदामदं देवं मदन्यो ज्ञातुमर्हति ॥","While   seated,   he   travels   far ;   lying   down   he   goes   all-over. Who   can   know   other than   me   that   Shining   One,   who  is both joyful and joyless."
1.2,22,"अशरीरँ शरीरेष्वनवस्थेष्ववस्थितम् ।
महान्तं विभुमात्मानं मत्वा धीरो न शोचति ॥","Having   realised   the   all-pervading   Supreme   Atman,   who   is   bodiless within   the   bodies,   stable   amidst   the   unstable,   the   wise one grieves no more."
1.2,23,"नायमात्मा प्रवचनेन लभ्यो
    न मेधया न बहुना श्रुतेन ।
यमेवैष वृणुते तेन लभ्यः
    तस्यैष आत्मा विवृणुते तनूꣳ स्वाम् ॥ ","By the study of the scriptures, lecturing one's own intellectual enquiries or by wide learning or listening, this Atman cannot be realised. Whomsoever, It chooses alone, can attain that realisation about It, as It reveals Its own nature to him."
1.2,24,"नाविरतो दुश्चरितान्नाशान्तो नासमाहितः ।
नाशान्तमानसो वाऽपि प्रज्ञानेनैनमाप्नुयात् ॥ ","He   who   is   not   free   from   evil   conduct,   whose   senses   are not controlled , whose   emotions   are   not   harmonised,   whose   mind   is not at   peace,   cannot   attain   this   Atman   by   any means   of   knowledge."
1.2,25,"यस्य ब्रह्म च क्षत्रं च उभे भवत ओदनः ।
मृत्युर्यस्योपसेचनं क इत्था वेद यत्र सः ॥","He   for   whom   the   Brahmana   and   the   Kshatriya   are   food, and Death   the   pickle,   who   can   know   where   He (The Self, Atman)  is   ?"
1.3,1,"ऋतं पिबन्तौ सुकृतस्य लोके
    गुहां प्रविष्टौ परमे परार्धे ।
छायातपौ ब्रह्मविदो वदन्ति
    पञ्चाग्नयो ये च त्रिणाचिकेताः ॥","The cave of the heart is occupied by two entities (the cosmic self and the individual self), enjoying the fruits of their actions. Those who are realised, call them light and shade, as also the tenders of the five fires (house-holders), who had performed Nachiketa sacrifice thrice."
1.3,2,"यः सेतुरीजानानामक्षरं ब्रह्म यत् परम् ।
अभयं तितीर्षतां पारं नाचिकेतँ शकेमहि ॥","We can perform the Nachiketa sacrifice which will take us to the celestial regions, acting as a bridge. we could also attain the knowledge about the everlasting principle, Supreme Brahman, which is the place beyond the realm of fear and the refuge of the seekers of liberation - from human bondage. "
1.3,3,"आत्मानँ रथितं विद्धि शरीरँ रथमेव तु ।
बुद्धिं तु सारथिं विद्धि मनः प्रग्रहमेव च ॥ ","The inner being is the controller (seated in) of the chariot, which is the body, the intellect the driver and the mind the reins. "
1.3,4,"इन्द्रियाणि हयानाहुर्विषयाँ स्तेषु गोचरान् ।
आत्मेन्द्रियमनोयुक्तं भोक्तेत्याहुर्मनीषिणः ॥ ","They (the wise) say that the sense organs are the horses, the road is the sense objects and the experiencer is the body, sense organs and the mind, say the realised ones."
1.3,5,"यस्त्वविज्ञानवान्भवत्ययुक्तेन मनसा सदा ।
तस्येन्द्रियाण्यवश्यानि दुष्टाश्वा इव सारथेः ॥","That One   whose understanding of the reality is not there and whose mind is without restraint, his sense organs behave without control like the rogue horses of a charioteer. "
1.3,6,"यस्तु विज्ञानवान्भवति युक्तेन मनसा सदा ।
तस्येन्द्रियाणि वश्यानि सदश्वा इव सारथेः ॥","But   he   who   has   right   understanding   and   whose   mind   is always  restrained,  his   senses   become   disciplined   like   the   obedient horses   of  a   charioteer."
1.3,7,"यस्त्वविज्ञानवान्भवत्यमनस्कः सदाऽशुचिः ।
न स तत्पदमाप्नोति संसारं चाधिगच्छति ॥ ","Transmigratory (cyclic) existence is for him who has no control over his mind, lacks the right understanding and is always contaminated in mind, as he never attains that goal."
1.3,8,"यस्तु विज्ञानवान्भवति समनस्कः सदा शुचिः ।
स तु तत्पदमाप्नोति यस्माद्भूयो न जायते ॥","However, that one who is discriminating , has his mind under restraint and always pure (in thought), verily he attains that destination, from where he never reverts to re-birth."
1.3,9,"विज्ञानसारथिर्यस्तु मनः प्रग्रहवान्नरः ।
सोऽध्वनः पारमाप्नोति तद्विष्णोः परमं पदम् ॥","That person who has his (discriminative) intelligence as his charioteer and whose mind has been reined in , reaches the terminus of the journey, which is that supreme abode of Lord Vishnu."
1.3,10,"इन्द्रियेभ्यः परा ह्यर्था अर्थेभ्यश्च परं मनः ।
मनसस्तु परा बुद्धिर्बुद्धेरात्मा महान्परः ॥","The   objects   of   senses   are   superior   to   the   sense organs,   the   mind is superior to the sense objects, the intellect is greater than the mind and the great Atman is   superior   to   the  intellect ."
1.3,11,"महतः परमव्यक्तमव्यक्तात्पुरुषः परः ।
पुरुषान्न परं किंचित्सा काष्ठा सा परा गतिः ॥","The   Unmanifested   is   higher than the   great  ( Atman),   and   the Purusha  higher  than   the   Unmanifested.  That  is   nothing   superior to   the   Purusha,  it   is   the   acme and the supreme refuge."
1.3,12,"एष सर्वेषु भूतेषु गूढोऽऽत्मा न प्रकाशते ।
दृश्यते त्वग्र्यया बुद्ध्या सूक्ष्मया सूक्ष्मदर्शिभिः ॥ ","This   Atman,   is not seen, though laid  secretly  in all beings. However,  it  is  seen by   the   Seers   of   the   subtle ,   through   their   incisive and subtle power of their intellect. "
1.3,13,"यच्छेद्वाङ्मनसी प्राज्ञस्तद्यच्छेज्ज्ञान आत्मनि ।
ज्ञानमात्मनि महति नियच्छेत्तद्यच्छेच्छान्त आत्मनि ॥ ","The   wise   should   dissolve   the   speech   in   the   mind,   the   mind in   the   intellect,   the   intellect   in   the   Great   Atman   , and   that   Great   Atman  in   the   Atman of quietitude."
1.3,14,"उत्तिष्ठत जाग्रत
    प्राप्य वरान्निबोधत ।
क्षुरस्य धारा निशिता दुरत्यया
    दुर्गं पथस्तत्कवयो वदन्ति ॥","Arise !   Awake!   Having resorted to an excellent preceptor , realise  ( the   Reality ) . The people with far-sight say that like  the sharp edge of  a razor,  that path is both difficult to set foot upon and to cross.  "
1.3,15,"अशब्दमस्पर्शमरूपमव्ययं
    तथाऽरसं नित्यमगन्धवच्च यत् ।
अनाद्यनन्तं महतः परं ध्रुवं
    निचाय्य तन्मृत्युमुखात् प्रमुच्यते ॥ ","One gets rid of the cyclic existence of births and deaths on realising that ultimate Reality, which is devoid of   sound, touch, form, perishability, taste, smell and  which is constant,  beyond the Mahat, does not undergo  any change and has  neither a beginning nor an end."
1.3,16,"नाचिकेतमुपाख्यानं मृत्युप्रोक्तँ सनातनम् ।
उक्त्वा श्रुत्वा च मेधावी ब्रह्मलोके महीयते ॥","Having listened attentively to the ancient  episode of Nachiketa,  as narrated  and  discussed  by  the  god of  Death , the Wise One  revels in the world of Brahma and  is  glorified."
1.3,17,"य इमं परमं गुह्यं श्रावयेद् ब्रह्मसंसदि ।
प्रयतः श्राद्धकाले वा तदानन्त्याय कल्पते ।
तदानन्त्याय कल्पत इति ॥ ","Whoever  relates with devotion ,  this highly  secret-laden  episode  in the assembly  of the learned  or  at the time of performing rites and rituals  for the  Infinitude , indeed becomes fit for the   Infinitude."
2.1,1,"पराञ्चि खानि व्यतृणत् स्वयम्भू-
    स्तस्मात्पराङ्पश्यति नान्तरात्मन् ।
कश्चिद्धीरः प्रत्यगात्मानमैक्ष-
    दावृत्तचक्षुरमृतत्वमिच्छन् ॥","The Self-Created (God)   made   the   senses   turn   outward;   hence   one looks   outward,   does   not   see   what   is   within   oneself.   Rare   is   the wise   man,   who,   longing   for   immortality,   turns   his   eyes   inward and   sees   the   inner   Atman.  "
2.1,2,"पराचः कामाननुयन्ति बाला-
    स्ते मृत्योर्यन्ति विततस्य पाशम् ।
अथ धीरा अमृतत्वं विदित्वा
    ध्रुवमध्रुवेष्विह न प्रार्थयन्ते ॥","The   ignorant   pursue   outward   pleasures   and   walk   into   the wide-spread   net   of   death.   The   wise,   however,  recognising  the   eternal ,    among the things that are fleeting ,  do   not   seek anything .  "
2.1,3,"येन रूपं रसं गन्धं शब्दान् स्पर्शाꣳश्च मैथुनान् ।
एतेनैव विजानाति किमत्र परिशिष्यते । एतद्वै तत् ॥","That   by   which   man   sees,   tastes,   smells,   hears   and   enjoys, is   the   omniscient   Lord.   By   that   alone   man   has   knowledge.   What is   there   that   remains   unknown   to   It?   This   is   indeed   That (Self that Nachiketa was asking about)."
2.1,4,"स्वप्नान्तं जागरितान्तं चोभौ येनानुपश्यति ।
महान्तं विभुमात्मानं मत्वा धीरो न शोचति ॥","That   by   which   one   perceives   things   both   in   dream   and   in the waking   state -  having   known   that   as   the   great omni-present Self, the   wise   man   does   not   grieve."
2.1,5,"य इमं मध्वदं वेद आत्मानं जीवमन्तिकात् ।
ईशानं भूतभव्यस्य न ततो विजुगुप्सते । एतद्वै तत् ॥","He   who   knows the Atman, the   enjoyer   of   the   fruits   of   action, sustainer   of   life,   as   the   Lord   of   the   past   and   future,   as   close   at hand --  he   fears   no   more.     This   is   indeed   That (Self that Nachiketa was asking about)."
