1,"[स]
तौ शङ्खभेरी निनदे समृद्धे; समीयतुः शवेतहयौ नराग्र्यौ
18,"यया धृत्या निहतं तामसास्त्रं; युगे युगे राक्षसाश चापि घॊराः
दम्भॊद्भवाश चासुराश चाहवेषु; तया धृत्या तवं जहि सूतपुत्रम"
19,"अनेना वास्य कषुर नेमिनाद्य; संछिन्द्धि मूर्धानम अरेः परसह्य
मया निसृष्टेन सुदर्शनेन; वज्रेण शक्रॊ नमुचेर इवारेः"
20,"किरात रूपी भगवान यया च; तवया महत्या परितॊषितॊ ऽभूत
तां तवं धृतिं वीर पुनर गृहीत्वा; सहानुबन्धं जहि सूतपुत्रम"
21,"ततॊ महीं सागरमेखलां तं; सपत्तनां गरामवतीं समृद्धाम
परयच्छ राज्ञे निहतारि सांघां; यशश च पार्थातुलम आप्नुहि तवम"
22,"संचॊदितॊ भीम जनार्दनभ्यं; समृत्वा तदात्मानम अवेक्ष्य सत्त्वम
महात्मनश चागमने विदित्वा; परयॊजनं केशवम इत्य उवाच"
23,"परादुष्करॊम्य एष महास्त्रम उग्रं; शिवाय लॊकस्य वधाय सौतेः
तन मे ऽनुजनातु भवान सुराश च; बरह्मा भुवॊ बरह्म विदश च सर्वे"
24,"इत्य ऊचिवान बराह्मम असह्यम अस्त्रं; परादुश्चक्रे मनसा संविधेयम
ततॊ दिशश च परदिशश च सर्वाः; समावृणॊत सायकैर भूरि तेजाः
स सर्जबाणान भरतर्षभॊ ऽपि; शतं शतानेकवद आशु वेगान"
25,"वैकर्तनेनापि तथाजिमध्ये; सहस्रशॊ बाणगणा विसृष्टाः
ते घॊषिणः पाण्डवम अभ्युपेयुः; पजन्य मुक्ता इव वारिधाराः"
26,"स भीमासेनं च जनार्दनं च; किरीटिनं चाप्य अमनुष्यकर्मा
तरिभिस तरिभिर भीमबलॊ निहत्या; ननाद घॊरं महता सवरेण"
27,"स कर्ण बाणाभिहतः किरीटी; भीमं तथा परेक्ष्य जनार्दनं च
अमृष्यमाणः पुनार एव पार्थः; शरान दशाष्टौ च समुद्बबर्ह"
28,"सुषेणम एकेन शरेण विद्ध्वा शल्यां; चतुर्भिस तरिभिर एव कर्णम
ततः सुमुक्तैर दशभिर जघान; सभा पतिं काञ्चनवर्म नाद्धम"
29,"सा राजपुत्रॊ विशिरा विबाहुर; विवाजि सूतॊ विधनुर विकेतुः
ततॊ रथाग्राद अपतत परभग्नः; परश्वधैः शाल इवाभिकृत्तः"
30,"पुनश च कर्णं तरिभिर अष्टभिश च; दवाभ्यां चतुर्भिर दशभिश च विद्ध्वा
चातुः शतन दविरदान सायुधीयान; हत्वा रथान अष्ट शतं जघान
सहस्रम अश्वांश च पुनश च सादीन; अष्टौ सहस्राणि च पात्ति वीरान"
31,"दृष्ट्वाजि मुख्याव अथ युध्यमानौ; दिदृक्षवः शूर वराव अरिघ्नौ
कर्णं च पार्थं च नियाम्य वाहान; खस्था महीस्थाश च जनावतस्थुः"
32,"ततॊ धनुर्ज्या सहसातिकृष्टा; सुघॊषम आच्छिद्यत पाण्डवस्य
तस्मिन कषणे सूतपुत्रस तु पार्थं; समाच्चिनॊत कषुद्रकाणां शतेन"
33,"निर्मुक्तसर्पप्रतिमैश च तीक्ष्णैस; तैलप्रधौतैः खग पात्रवाजैः
षष्ट्या नाराचैर वासुदेवं बिभेद; तदन्तरं सॊमकाः पराद्रवन्त"
34,"ततॊ धनुर्ज्याम अवधम्य शीघ्रं; शरान अस्तान आधिरथेर विधम्य
सुसंरब्धः कर्ण शरक्षताङ्गॊ; रणे पार्थः सॊमकान परत्यगृह्णात
न पक्षिणः साम्पतन्त्य अन्तरिक्षे; कषेपीयसास्त्रेण कृते ऽनधकारे"
35,"शल्यं च पार्थॊ दशभिः पृषत्कैर; भृशं तनुत्रे परहसन्न अविध्यत
ततः कार्णं दवादशभिः सुमुक्तैर; विद्ध्वा पुनः सप्तभिर अभ्यविध्यत"
36,"स पार्थ बाणासनवेगनुन्नैर; दृढाहतः पत्रिभिर उग्रवेगैः
विभिन्नगात्रः कषतजॊक्षिताङ्गः; कर्णॊ बभौ रुद्र इवाततेषुः"
37,"ततस तरिभिश च तरिदाशाधिपॊपमं; शरैर बिभेदाधिरथिर धनंजयम
शरांस तु पञ्च जवलितान इवॊरगान; परवीरयाम आस जिघांसुर अच्च्युते"
38,"ते वर्म भित्त्वा पुरुषॊत्तमस्य; सुवर्णचित्रं नयपतन सुमुक्ताः
वेगेन गाम आविविशुः सुवेगाः; सनात्वा च कर्णाभिमुखाः परतीयुः"
39,"तान पञ्च भल्लैस तवरितैः सुमुक्तैस; तरिधा तरिधैकैकम अथॊच्चकर्त
धनंजयस ते नयपतन पृथिव्यां; महाहयस तक्षक पुत्र पक्षाः"
40,"ततः परजज्वाल किरीटमाली; करॊधेन कक्षं परदहन्न इवाग्निः
स कर्णम आकर्णविकृष्टसृष्टैः; शरैः शरीरान्तकरैर जवलद्भिः
मर्मस्व अविध्यत स चचाल दुःखाद; धैर्यात तु तस्थाव अतिमात्रधैर्यः"
41,"ततः शरौघैः परदिशॊ दिशश च; रविप्रभा कर्ण रथश च राजन
अदृश्य आसीत कुपिते धनंजये; तुषारनीहारवृतं यथा नभः"
42,"सचक्ररक्षान अथ पादरक्षान; पुरःसरान पृष्ठगॊपांश च सर्वान
दुर्यॊधनेनानुमतान अरिघ्नान; समुच्चितान सुरथान सारभूतान"
43,"दविसाहस्रान समरे सव्यसाची; कुरुप्रवीरान ऋषभः कुरूणाम
कषणेन सर्वान सरथाश्वसूतान; निनाय राजन कषायम एकवीरः"
44,"अथापलायन्त विहाय कर्णं; तवात्मजाः कुरवश चावशिष्टाः
हतान अवकीर्य शरक्षतांश च; लालप्यमानांस तनयान पितॄंश च"
45,"सा सर्वतः परेक्ष्य दिशॊ विशून्या; भयावदीर्णैः कुरुभिर विहीनः
न विव्यथे भारत तत्र कर्णः; परतीपम एवार्जुनम अभ्यधावत"
