1,"[स]
ततः कर्णः कुरुषु परद्रुतेषु; वरूथिना शवेतहयेन राजन
विदार्य कर्णं निशितैर अयॊ मयैस; तवात्मजं जयेष्ठम अविध्यद अष्टभिः"
24,"कृपॊ ऽथ भॊजश च तवात्मजस तथा; सवयं च कर्णॊ निशितैर अताडयत
स तैश चतुर्भिर युयुधे यदूत्तमॊ; दिग ईश्वरैर दैत्य पतिर यथातथा"
25,"समानतेनेष्व असनेन कूजता; भृशाततेनामित बाणवर्षिणा
बभूव दुर्धर्षतरः स सात्यकिः; शरन नभॊ मध्यगतॊ यथा रविः"
26,"पुनः समासाद्य रथान सुदंशिताः; शिनिप्रवीरं जुगुपुः परंतपः
समेत्य पाञ्चाल रथा महारणे; मरुद्गणाः शक्रम इवारि निग्रहे"
27,"ततॊ ऽभवद युद्धम अतीव दारुणं; तवाहितानां तव सैनिकैः सह
रथाश्वमातङ्गविनाशनं तथा; यथा सुराणाम असुरैः पुराभवत"
28,"रथद्विपा वाजिपदातयॊ ऽपि वा; भरमन्ति नानाविध शस्त्रवृष्टिताः
परस्परेणाभिहताश च चस्खलुर; विनेदुर आर्ता वयसवॊ ऽपतन्त च"
29,"तथागते भीम भीस तवात्मजः; ससार राजावरजः किरञ शरैः
तम अभ्यधावत तवरितॊ वृकॊदरॊ; महारुरुं सिंह इवाभिपेतिवान"
30,"ततस तयॊर युद्धम अतीतमानुषं; परदीव्यतॊः पराणदुरॊदरे ऽभवत
परस्परेणाभिनिविष्ट रॊषयॊर; उदग्रयॊः शम्बर शक्रयॊर यथा"
31,"शरैः शरीरान्तकरैः सुतेजनैर; निजघ्नतुस ताव इतरेतरं भृशम
सकृत परभिन्नाव इव वाशितान्तरे; महागजौ मन्मथ सक्तचेतसौ"
32,"तवात्मजस्याथ वृकॊदरस तवरन; धनुः कषुराभ्यां धवजम एव चाच्छिनत
ललाटम अप्य अस्य बिभेद पत्रिणा; शिरश च कायात परजहार सारथेः"
33,"स राजपुत्रॊ ऽनयद अवाप्य कार्मुकं; वृकॊदरं दवादशभिः पराभिनत
सवयं नियच्छंस तुरगान अजिह्मगैः; शरैश च भीमं पुनर अभ्यवीवृषत"
