Chapter,Verse,Speaker,Sanskrit ,Swami Adidevananda,Swami Gambirananda,Swami Sivananda,Dr. S. Sankaranarayan,Shri Purohit Swami
1,11,सञ्जय,अयनेषु च सर्वेषु यथाभागमवस्थिताः| भीष्ममेवाभिरक्षन्तु भवन्तः सर्व एव हि  || 1.11 || ,"Therefore, all of you, taking your places firmly in your respective divisions, should guard Bhisma at all costs.","However, venerable sirs, all of you without exception, while occupying all the positions in the different directions as allotted to you respectively, please protect Bhisma in particular.","Therefore, do all of you, stationed in your respective positions in the several divisions of the army, protect Bhishma alone.","Stationed firmly in all their respective paths, each one of them should guard Bhisma above all, without exception.","Therefore, let the rank and file stand firm in their posts according to battalions, and all you generals around Bheeshma."
1,12,सञ्जय,तस्य संजनयन्हर्षं कुरुवृद्धः पितामहः| सिंहनादं विनद्योच्चैः शङ्खं दध्मौ प्रतापवान्  || 1.12 || ,"Then the valiant grandsire Bhisma, the senior-most of the Kuru clan, roared like a lion and blew his conch with the intention of cheering up Duryodhana.","The valiant grandfather, the eldest of the Kurus, loudly sounding a lion's roar, blew the conch to raise his (Duryodhana's) spirits.","His glorious grandsire, the oldest of the Kauravas, roared like a lion to cheer Duryodhana and blew his conch.","Generating joy in him, the powerful paternal grandfather (Bhisma), the senior-most among the Kurus, roared like a lion and blew his conchshell loudly.","Then, to enliven his spirits, the brave Grandfather Bheeshma, the eldest of the Kuru clan, blew his conch, its sound resembling that of a lion's roar."
1,13,सञ्जय,ततः शङ्खाश्च भेर्यश्च पणवानकगोमुखाः| सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत्  || 1.13 || ,"Then suddenly conchs, kettle drums, trumpets, tabors, and blow horns blared forth, and the sound was terrific.","Just immediately afterward, conch shells, kettledrums, tabors, trumpets, and cow-horns blared forth, creating a tumultuous sound.","Then, suddenly, conches, kettledrums, tabors, drums, and cow horns blared forth from the Kaurava side, and the sound was tremendous.","Then, all of a sudden, the conch-shells, drums, tambourines, trumpets, and cow-horns sounded in unison; the sound was tumultuous.","And immediately, all the conches, drums, trumpets, and horns blared forth in a tumultuous uproar."
1,14,सञ्जय,ततः श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ| माधवः पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतुः  || 1.14 || ,"Then Sri Krishna and Arjuna, stationed in their great chariot yoked with white horses, blew their divine conchs.","Then Madhava (Krishna) and the son of Pandu (Arjuna), stationed in their magnificent chariot with white horses yoked to it, blew their divine conchs loudly.","Then, Madhava (Krishna) and the son of Pandu (Arjuna), seated in the magnificent chariot yoked with white horses, blew divine conches.","Then, mounted on a mighty chariot, yoked with white horses, Madhava (Krishna) and the son of Pandu (Arjuna) blew their heavenly conch shells.","Then, seated in their spacious war chariot, yoked with white horses, Lord Shri Krishna and Arjuna sounded their divine conch shells."
1,15,सञ्जय,पाञ्चजन्यं हृषीकेशो देवदत्तं धनंजयः| पौण्ड्रं दध्मौ महाशङ्खं भीमकर्मा वृकोदरः  || 1.15 || ,"Sri Krishna blew his conch, Pancajanya, Arjuna his Devadatta, and Bhima of terrible deeds blew his great conch, Paundra.",Hrsikesa (Krsna) blew the conch Pancajanya; Dhananjaya (Arjuna) blew the conch Devadatta; and Vrkodara (Bhima) of terrible deeds blew the great conch Paundra.,"Hrishikesha blew the Panchajanya, Arjuna blew the Devadatta, and Bhima, the wolf-bellied doer of terrible deeds, blew the great conch Paundra.","Hrsikesa (Krsna) blew the Pancajanya; Dhananjaya (Arjuna) blew the Devadatta; and Bhima, of the terrible deeds, blew the mighty conchshell, Paundra.","Lord Shri Krishna blew his Panchajanya, and Arjuna blew his Devadatta; brave Bheema blew his renowned shell, Poundra."
1,16,सञ्जय,अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिरः| नकुलः सहदेवश्च सुघोषमणिपुष्पकौ  || 1.16 || ,"King Yudhisthira, the son of Kunti, blew his conch, Anantavijaya, and Nakula and Sahadeva blew their conchs, Sughosa and Manipuspaka.","King Yudhisthira, son of Kunti, blew the Anantavijaya; Nakula and Sahadeva blew the Sughosa and the Manipuspaka, respectively.","King Yudhishthira, the son of Kunti, blew the Anantavijaya; Nakula and Sahadeva blew the Sughosha and the Manipushpaka.","Kunti's son, the king Yudhisthira, blew the Anantavijaya; Nakula and Sahadeva blew the Sughosa and Manipuspaka, respectively.","The King Dharmaraja, the son of Kunti, blew the Anantavijaya, Nakula, and Sahadeva, the Sughosa and Manipushpaka, respectively."
1,17,सञ्जय,काश्यश्च परमेष्वासः शिखण्डी च महारथः| धृष्टद्युम्नो विराटश्च सात्यकिश्चापराजितः  || 1.17 || ,"And the King of Kasi, the supreme bowman, Sikandi the mighty warrior, Dhrstadyumna, and Virata; and Satyaki, the invincible;","And the King of Kashi, wielding a great bow, and the great chariot-rider Sikhandin, Dhrstadyumna, Virata, and Satyaki the unconquered;","The king of Kasi, an excellent archer, Sikhandi, the mighty car-warrior, Dhrishtadyumna, Virata, and Satyaki, the unconquered.","And the king of Kasi, a great archer, and Sikhandin, a mighty warrior; Dhrstadyumna and the king of Virata, and the unconquered Satyaki;","And the Maharaja of Benares, the great archer, Shikhandi, the great soldier, Dhrishtayumna, Virata, and Satyaki, the invincible one,"
1,18,सञ्जय,द्रुपदो द्रौपदेयाश्च सर्वशः पृथिवीपते| सौभद्रश्च महाबाहुः शङ्खान्दध्मुः पृथक्पृथक्  || 1.18 || ,"Drupada and the sons of Draupadi, as well as the strong-armed son of Subhadra—all, O King, blew their respective conchs again and again.","Drupada and the sons of Draupadi, as well as the mighty-armed son of Subhadra, all of them together, O king, blew their respective conchs.","Drupada and the sons of Draupadi, O Lord of the Earth, and the son of Subhadra, the mighty-armed, blew their conches each separately.","The Pancala king, a mighty archer, and Draupad's five sons, as well as the mighty-armed son of Subhadra, each blew their own conch-shells individually.","And, O King! Drupada's sons, Droupadi's sons, and the great soldier Soubhadra blew their conches."
1,19,सञ्जय,स घोषो धार्तराष्ट्राणां हृदयानि व्यदारयत्| नभश्च पृथिवीं चैव तुमुलो व्यनुनादयन्  || 1.19 || ,"And that tumultuous uproar, reverberating through heaven and earth, rent the hearts of Dhrtarastra's sons.",That tremendous sound pierced the hearts of the sons of Dhrtarastra as it reverberated through the sky and the earth.,"The tumultuous sound rent the hearts of Dhritarashtra's party, reverberating through both heaven and earth.","Resonating in both the sky and the earth, the tumultuous sound shattered the hearts of Dhrtarastra's men.","The tumult rent the hearts of the sons of Dhritarashtra, shaking heaven and earth with its echoing violence."
1,20,सञ्जय,अथ व्यवस्थितान् दृष्ट्वा धार्तराष्ट्रान्कपिध्वजः| प्रवृत्ते शस्त्रसंपाते धनुरुद्यम्य पाण्डवः  || 1.20 || ,"Then Arjuna, whose banner crest was Hanuman, on beholding the sons of Dhrtarastra arrayed, took up his bow, while missiles were beginning to fly.","O King, thereafter, seeing Dhrtarastra's men standing in their positions, with all the weapons ready for action, the son of Pandu, Arjuna, who had the insignia of Hanuman on his chariot-flag, raised his bow and said the following to Hrsikesa.","Then, seeing the people of Dhritarashtra's party standing arrayed and the discharge of weapons about to begin, Arjuna, the son of Pandu whose ensign was a monkey, took up his bow and said the following to Krishna, O Lord of the Earth.","O king! Then, observing Dhrtarastra's men arrayed when the armed clash had virtually begun, at that time, Pandu's son, the monkey-bannered one (Arjuna), raising his bow, spoke these sentences.","Then, upon beholding the sons of Dhritarashtra, drawn up on the battlefield, ready to fight, Arjuna, whose flag bore the image of Hanuman,"
1,21,अर्जुन,हृषीकेशं तदा वाक्यमिदमाह महीपते| सेनयोरुभयोर्मध्ये रथं स्थापय मेऽच्युत  || 1.21 || ,"And he spoke, O Lord of the Earth, these words to Sri Krishna: Arjuna said, “Draw up my chariot, O Krishna, between the two armies.","Arjuna said, ""O Acyuta, please place my chariot between both the armies.""","Arjuna said, ""O Krishna, place my chariot in the middle between the two armies, so that I may behold those who stand here, desirous to fight, and know with whom I must fight when the battle is about to commence.""","Arjuna said, O Acyuta! Please halt my chariot at a central place between the two armies, so that I may scrutinize these men who are standing with a desire to fight and with whom I have to engage in this great war-effort.","Raising his bow, he spoke this to the Lord Shri Krishna: O Infallible Lord of the earth! Please draw up my chariot between the two armies."
1,22,अर्जुन,यावदेतान्निरीक्षेऽहं योद्धुकामानवस्थितान्| कैर्मया सह योद्धव्यमस्मिन्रणसमुद्यमे  || 1.22 || ,"So that I may have a good look at those who are standing, eager to fight, and know with whom I must fight in this enterprise of war.",Until I survey those who stand intent on fighting and those who are about to engage in battle with me in this impending war.,"Arjuna said, ""O Krishna, place my chariot in the middle between the two armies, so that I may behold those who stand here, desirous to fight, and know with whom I must fight when the battle is about to commence.""","I shall scrutinize those who are ready to fight, who have assembled here and are eager to achieve in the battle what is dear to the evil-minded son of Dhrtarastra.",So that I may observe those who must fight on my side and those who must fight against me.
1,23,अर्जुन,योत्स्यमानानवेक्षेऽहं य एतेऽत्र समागताः| धार्तराष्ट्रस्य दुर्बुद्धेर्युद्धे प्रियचिकीर्षवः  || 1.23 || ,I wish to see those gathered here ready to fight in this battle in order to please the evil-minded son of Dhrtarashtra.,"These who have assembled here and want to accomplish in the war what is dear to the perverted son of Dhrtarastra, I find them to be intent on fighting.","For I desire to observe those who are assembled here to fight, wishing to please in battle the evil-minded Duryodhana—the son of Dhritarashtra.","Sanjaya said, ""O descendant of Bharata (Dhrtarastra)! Thus instructed by Gudakesa (Arjuna), Hrsikesa halted the best chariot at a place in between the two armies, in front of Bhisma and Drona and all the rulers of the earth. He then said, 'O son of Prtha! Behold these Kurus, assembled.'""","And gaze upon this array of soldiers, eager to please the sons of Dhritarashtra who are sinful."
1,24,संजय,एवमुक्तो हृषीकेशो गुडाकेशेन भारत| सेनयोरुभयोर्मध्ये स्थापयित्वा रथोत्तमम्  || 1.24 || ,"Sanjaya said: Thus addressed by Arjuna, Sri Krishna drew up the best of chariots between the two armies, in full view of Bhisma, Drona, and all the other kings, O Dhrtarastra. He then said, ""O Arjuna, behold these assembled Kauravas.""","Sanjaya said, ""O scion of the line of Bharata, Hrishikesa, being told so by Gudakesa (Arjuna), placed the excellent chariot between the two armies, in front of Bhishma and Drona as well as all the rulers of the earth, and said, 'O Partha, behold these assembled Kurus!'""","Sanjaya said, Thus addressed by Arjuna, Krishna stationed the best of chariots, O Dhritarashtra, in the midst of the two armies.","Sanjaya said, ""O descendant of Bharata (Dhrtarastra)! Thus instructed by Gudakesa (Arjuna), Hrsikesa halted the best chariot at a place in between the two armies, in front of Bhisma and Drona and all the rulers of the earth. He then said, 'O son of Prtha! Behold these Kurus, assembled.""","Sanjaya said: ""Having listened to Arjuna's request, Lord Shri Krishna drew up His bright chariot in the midst between the two armies."
1,25,संजय,भीष्मद्रोणप्रमुखतः सर्वेषां च महीक्षिताम्| उवाच पार्थ पश्यैतान्समवेतान्कुरूनिति  || 1.25 || ,"Sanjaya said: Thus addressed by Arjuna, Sri Krishna drew up the best of chariots between the two armies, in full view of Bhisma, Drona, and all the other kings, O Dhrtarastra. He then said, ""O Arjuna, behold these assembled Kauravas.""","Sanjaya said, ""O scion of the line of Bharata (Dhrtarashtra), Hrsikesa, being told so by Gudakesa (Arjuna), placed the excellent chariot between the two armies, in front of Bhisma and Drona as well as all the rulers of the earth, and said, 'O Partha (Arjuna), behold these assembled people of the Kuru dynasty.'""","In front of Bhishma and Drona, and all the rulers of the earth, he said: ""O Arjuna, son of Pritha, behold these Kurus gathered together.""","There in both the armies, the son of Prtha observed his fathers, paternal grandfathers, teachers, maternal uncles, brothers, sons, sons' sons, and comrades, fathers-in-law, and also friends.","Where Bheeshma and Drona had led all the rulers of the earth, they spoke thus: O Arjuna! Behold, these members of the family of Kuru are assembled."
1,26,संजय,तत्रापश्यत्स्थितान्पार्थः पितृ़नथ पितामहान्| आचार्यान्मातुलान्भ्रातृ़न्पुत्रान्पौत्रान्सखींस्तथा  || 1.26 || ,"Then, as Arjuna looked on, he saw standing there fathers, grandfathers, teachers, uncles, brothers, sons, grandsons, and comrades.","Then Arjuna saw, marshalled among both the armies, his uncles, grandfathers, teachers, maternal uncles, brothers, cousins, sons, grandsons, comrades, fathers-in-law, and friends.","Then, Arjuna (son of Pritha) saw there (in the armies) stationed fathers, grandfathers, teachers, maternal uncles, brothers, sons, grandsons, and friends.","Noticing all those kinsmen arrayed in the army, the son of Kunti was overwhelmed with immense compassion and, despondent, he uttered this:","There, Arjuna noticed fathers, grandfathers, uncles, cousins, sons, grandsons, teachers, and friends."
1,27,संजय,श्वशुरान्सुहृदश्चैव सेनयोरुभयोरपि| तान्समीक्ष्य स कौन्तेयः सर्वान्बन्धूनवस्थितान्  || 1.27 || ,"Fathers-in-law and dear friends in both armies, when Arjuna saw all these kinsmen arrayed,","The son of Kunti, Arjuna, seeing all those relatives arrayed there, became overwhelmed by supreme compassion and sorrowfully said this:","He saw fathers-in-law and friends in both the armies. The son of Kunti, Arjuna, seeing all those kinsmen thus standing arrayed, spoke sorrowfully, deeply filled with pity.","Arjuna said, ""O Krishna! On seeing these war-mongering kinsfolk of mine arrayed in the armies, my limbs fail and my mouth goes dry.""","Fathers-in-law and benefactors were arrayed on both sides, and Arjuna then gazed at all those kinsmen before him."
1,28,अर्जुन,कृपया परयाऽऽविष्टो विषीदन्निदमब्रवीत्| दृष्ट्वेमं स्वजनं कृष्ण युयुत्सुं समुपस्थितम्  || 1.28 || ,He was filled with deep compassion and said these words in despair:,"Arjuna said, ""O Krsna, seeing these relatives and friends who have assembled here with the intention of fighting, my limbs become languid and my mouth becomes completely dry.""","Arjuna said, ""O Krishna, seeing my kinsmen arrayed here, eager to fight,",Shivers and goosebumps arise in my body; the Gandiva slips from my hand and my skin is burning all over.,"And his heart melted with pity, and sadly he spoke: ""O my Lord! When I see all these, my own people, thirsting for battle,"
1,29,अर्जुन,सीदन्ति मम गात्राणि मुखं च परिशुष्यति| वेपथुश्च शरीरे मे रोमहर्षश्च जायते  || 1.29 || ,"My limbs have weakened, my mouth has become parched, my body is trembling, and my hairs are standing on end.","And there is trembling in my body, and my hair stands on end; the Gandiva (bow) slips from my hand and my skin burns intensely.","My limbs fail, my mouth is parched, my body quivers, and my hair stands on end.","I am unable even to stand steady; my mind seems to be confused; and I see adverse omens, O Kesava!","My limbs are failing me, my throat is parched, my body is trembling, and my hair is standing on end."
1,30,अर्जुन,गाण्डीवं स्रंसते हस्तात्त्वक्चैव परिदह्यते| न च शक्नोम्यवस्थातुं भ्रमतीव च मे मनः  || 1.30 || ,The bow Gandiva slips from my hand and my skin is burning. I can no longer stand. My mind seems to be reeling.,"Moreover, O Kesava (Krishna), I am not able to stand firmly, and my mind seems to be whirling. And I observe the omens to be adverse.","The Gandiva slips from my hand, and my skin burns all over; I am unable to stand, and my mind is reeling, as it were.","I do not foresee any good in killing my own kinsmen in the battle. O Krsna! I neither wish for victory, nor kingdom, nor the pleasures thereof.","The bow Gandiva slips from my hand, and my skin burns. I cannot remain still, for my mind is in tumult."
1,31,अर्जुन,निमित्तानि च पश्यामि विपरीतानि केशव| न च श्रेयोऽनुपश्यामि हत्वा स्वजनमाहवे  || 1.31 || ,"I see, Kṛṣṇa, inauspicious omens. I foresee no good in slaying my kinsmen in battle.","Besides, I do not see any good to be derived from killing my own people in battle. O Krsna, I do not hanker after victory, nor even a kingdom, nor pleasures.","And I see ill omens, O Kesava. I do not see any good in slaying my kinsmen in battle.",O Govinda! What use is the kingdom to us? What use are its pleasures and life even?,The omens are unfavorable; what good can come from the slaughter of my people on this battlefield?
1,32,अर्जुन,न काङ्क्षे विजयं कृष्ण न च राज्यं सुखानि च| किं नो राज्येन गोविन्द किं भोगैर्जीवितेन वा  || 1.32 || ,"I desire no victory, nor empire, nor pleasures. What have we to do with empire, O Krishna, or enjoyment, or even life?","O Govinda! What need do we have of a kingdom, or what need of enjoyments and livelihood? Those for whom kingdom, enjoyments, and pleasures are desired by us—such as teachers, uncles, fathers-in-law, grandsons, brothers-in-law, as well as relatives—those very ones stand arrayed for battle, risking their lives and wealth.","I desire not victory, O Krishna, nor kingdom, nor pleasures.
What use is dominion to us, O Krishna, or pleasures or even life?","For whose sake we seek kingdom, its pleasures and happiness, the very same persons now stand arrayed to fight, giving up their lives and wealth.","Ah, my Lord! I do not crave victory, nor a kingdom, nor any pleasure. What would a kingdom, happiness, or life be to me?"
1,33,अर्जुन,येषामर्थे काङ्क्षितं नो राज्यं भोगाः सुखानि च| त इमेऽवस्थिता युद्धे प्राणांस्त्यक्त्वा धनानि च  || 1.33 || ,"Those for whose sake we desire empire, enjoyment, and pleasures, stand here in war, renouncing life and wealth.","- O Govinda! What need do we have of a kingdom, or what need of enjoyments and livelihood? Those for whom kingdom, enjoyments, and pleasures are desired by us—such as teachers, uncles, fathers-in-law, grandsons, brothers-in-law, as well as relatives—those very ones stand arrayed for battle, risking their lives and wealth.","Those for whose sake we desire kingdom, enjoyments, and pleasures stand here in battle, having renounced life and wealth.","These are our teachers, fathers, sons, paternal grandfathers, maternal uncles, fathers-in-law, sons' sons, wives' brothers, and other relatives.","When those for whose sake I desire these things stand here, about to sacrifice their property and lives:"
1,34,अर्जुन,आचार्याः पितरः पुत्रास्तथैव च पितामहाः| मातुलाः श्चशुराः पौत्राः श्यालाः सम्बन्धिनस्तथा  || 1.34 || ,"all these are to be regarded as one's own self.

Teachers, fathers, sons, grandfathers, uncles, fathers-in-law, grandsons, brothers-in-law, and other kinsmen—all these are to be regarded as one's own self.","- O Govinda! What need do we have of a kingdom, or what need of enjoyments and livelihood? Those for whom kingdom, enjoyments, and pleasures are desired by us—such as teachers, uncles, fathers-in-law, grandsons, brothers-in-law, as well as relatives—those very ones stand arrayed for battle, risking their lives and wealth.","Teachers, fathers, sons, and grandfathers, maternal uncles, fathers-in-law, grandsons, brothers-in-law, and other relatives—","O slayer of Mandhu (Krsna)! I do not desire to slay these men, even though they slay me, not even for the sake of the kingdom of the three worlds, let alone for the sake of the earth.","Teachers, fathers, grandfathers, sons, grandsons, uncles, fathers-in-law, brothers-in-law, and other relatives."
1,35,अर्जुन,एतान्न हन्तुमिच्छामि घ्नतोऽपि मधुसूदन| अपि त्रैलोक्यराज्यस्य हेतोः किं नु महीकृते  || 1.35 || ,"I would not slay them, even if they might slay me, for the sovereignty of the three worlds—how much less for this earth, O Krsna?","O Madhusudana, even if I am killed, I do not want to kill these even for the sake of a kingdom extending across the three worlds; let alone doing so for the earth!","These I do not wish to kill, O Krishna, even though they kill me, for the sake of dominion over the three worlds; leave alone killing them for the sake of the earth.""","What joy would we gain by slaying Dhrtarastra's sons, O Janardana?","I would not kill them, even for three worlds; why then for this earth alone? It matters not if I myself am killed."
1,36,अर्जुन,निहत्य धार्तराष्ट्रान्नः का प्रीतिः स्याज्जनार्दन| पापमेवाश्रयेदस्मान्हत्वैतानाततायिनः  || 1.36 || ,"If we were to kill the sons of Dhrtarastra, what joy would be ours, O Krsna? Sin alone would accrue to us if we killed these murderous felons.","O Janardana, what happiness will we gain by killing the sons of Dhrtarastra? We will only incur sin by killing these wrongdoers.","By killing these sons of Dhritarashtra, what pleasure could be ours, O Janardana? Only sin would accrue to us from killing these felons.","Nothing but sin would slay these desperadoes and take hold of us; therefore, we should not slay Dhrtarastra's sons, our own relatives.",My Lord! What happiness can come from the death of these sons of Dhritarashtra? We shall be committing a sin if we kill these desperate men.
1,37,अर्जुन,तस्मान्नार्हा वयं हन्तुं धार्तराष्ट्रान्स्वबान्धवान्| स्वजनं हि कथं हत्वा सुखिनः स्याम माधव  || 1.37 || ,"Therefore, it is not befitting for us to slay our kin, the sons of Dhrtarastra. For if we kill our kinsmen, O Krsna, how can we be happy?","Therefore, it is not proper for us to kill the sons of Dhrtarastra, who are our own relatives. For, O Madhava, how can we be happy by killing our kinsmen?","Therefore, we should not kill the sons of Dhritarashtra, our relatives; for how can we be happy by killing our own kin, O Madhava (Krishna)?","How could we be truly happy, O Madhava, after slaying our own kinsmen?","We are worthy of a nobler feat than slaughtering our relatives—the sons of Dhritarashtra; for, my Lord, how can we be happy if we kill our kinsmen?"
