Kanda,Chapter,Verse,Sanskrit
1,1,21,यौवराज्येन संयोक्तुमैच्छत्प्रीत्या महीपति: । तस्याभिषेकसम्भारान्दृष्ट्वा भार्याऽथ कैकयी।।
1,1,22,पूर्वं दत्तवरा देवी वरमेनमयाचत । विवासनं च रामस्य भरतस्याभिषेचनम्।।
1,1,23,स सत्यवचनाद्राजा धर्मपाशेन संयत: । विवासयामास सुतं रामं दशरथ: प्रियम्।।
1,1,24,स जगाम वनं वीर: प्रतिज्ञामनुपालयन् । पितुर्वचननिर्देशात्कैकेय्या: प्रियकारणात्।।
1,1,25,तं व्रजन्तं प्रियो भ्राता लक्ष्मणोऽनुजगाम ह । स्नेहाद्विनयसम्पन्नस्सुमित्रानन्दवर्धन:।।
1,1,26,भ्रातरं दयितो भ्रातुस्सौभ्रात्रमनुदर्शयन् । रामस्य दयिता भार्या नित्यं प्राणसमा हिता।।
1,1,27,जनकस्य कुले जाता देवमायेव निर्मिता । सर्वलक्षणसम्पन्ना नारीणामुत्तमा वधू:।।
1,1,28,सीताप्यनुगता रामं शशिनं रोहिणी यथा । पौरैरनुगतो दूरं पित्रा दशरथेन च।।
1,1,29,शृङ्गिबेरपुरे सूतं गङ्गाकूले व्यसर्जयत् । गुहमासाद्य धर्मात्मा निषादाधिपतिं प्रियम्।।
1,1,30,गुहेन सहितो रामो लक्ष्मणेन च सीतया । ते वनेन वनं गत्वा नदीस्तीर्त्वा बहूदका:।।
1,1,31,चित्रकूटमनुप्राप्य भरद्वाजस्य शासनात् । रम्यमावसथं कृत्वा रममाणा वने त्रय:।।
1,1,30,देवगन्धर्वसङ्काशास्तत्र ते न्यवसन् सुखम् । ते वनेन वनं गत्वा नदीस्तीर्त्वा बहूदका:।।
1,1,31,चित्रकूटमनुप्राप्य भरद्वाजस्य शासनात् । रम्यमावसथं कृत्वा रममाणा वने त्रय:।।
1,1,32,देवगन्धर्वसङ्काशास्तत्र ते न्यवसन् सुखम् । चित्रकूटं गते रामे पुत्रशोकातुरस्तथा।।
1,1,33,राजा दशरथस्स्वर्गं जगाम विलपन्सुतम् । मृते तु तस्मिन्भरतो वसिष्ठप्रमुखैर्द्विजै:।।
1,1,34,नियुज्यमानो राज्याय नैच्छद्राज्यं महाबल: । स जगाम वनं वीरो रामपादप्रसादक:।।
1,1,35,गत्वा तु सुमहात्मानं रामं सत्यपराक्रमम् । अयाचद्भ्रातरं राममार्यभावपुरस्कृत:।।
1,1,36,त्वमेव राजा धर्मज्ञ इति रामं वचोऽब्रवीत् । रामोऽपि परमोदारस्सुमुखस्सुमहायशा: । न चैच्छत्पितुरादेशाद्राज्यं रामो महाबल:।।
1,1,37,पादुके चास्य राज्याय न्यासं दत्वा पुन:पुन: । निवर्तयामास ततो भरतं भरताग्रज:।।
1,1,38,स काममनवाप्यैव रामपादावुपस्पृशन्।।
1,1,39,नन्दिग्रामेऽकरोद्राज्यं रामागमनकाङ्क्षया । गते तु भरते श्रीमान् सत्यसन्धो जितेन्द्रिय:।।
1,1,40,रामस्तु पुनरालक्ष्य नागरस्य जनस्य च । तत्रागमनमेकाग्रो दण्डकान्प्रविवेश ह।।
1,1,41,प्रविश्य तु महारण्यं रामो राजीवलोचनः । विराधं राक्षसं हत्वा शरभङ्गं ददर्श ह।।
1,1,42,सुतीक्ष्णं चाप्यगस्त्यं च अगस्त्यभ्रातरं तथा । अगस्त्यवचनाच्चैव जग्राहैन्द्रं शरासनम्।।
1,1,43,खड्गं च परमप्रीतस्तूणी चाक्षयसायकौ । वसतस्तस्य रामस्य वने वनचरैस्सह । ऋषयोऽभ्यागमन्सर्वे वधायासुररक्षसाम्।।
1,1,44,स तेषां प्रतिशुश्राव राक्षसानां तथा वने।।
1,1,45,प्रतिज्ञातश्च रामेण वधस्संयति रक्षसाम् । ऋषीणामग्निकल्पानां दण्डकारण्यवासिनाम्।।
1,1,46,तेन तत्रैव वसता जनस्थाननिवासिनी । विरूपिता शूर्पणखा राक्षसी कामरूपिणी।।
1,1,47,ततश्शूर्पणखावाक्यादुद्युक्तान्सर्वराक्षसान् । खरं त्रिशिरसं चैव दूषणं चैव राक्षसम्।।
1,1,48,निजघान वने रामस्तेषां चैव पदानुगान् । वने तस्मिन्निवसता जनस्थाननिवासिनाम्।।
1,1,49,रक्षसां निहतान्यासन्सहस्राणि चतुर्दश । ततो ज्ञातिवधं श्रुत्वा रावणः क्रोधमूर्छितः।।
1,1,50,सहायं वरयामास मारीचं नाम राक्षसम् । वार्यमाणस्सुबहुशो मारीचेन स रावणः।।
1,1,51,न विरोधो बलवता क्षमो रावण तेन ते । अनादृत्य तु तद्वाक्यं रावण: कालचोदित:।।
1,1,52,जगाम सह मारीचस्तस्याश्रमपदं तदा । तेन मायाविना दूरमपवाह्य नृपात्मजौ।।
1,1,53,जहार भार्यां रामस्य गृध्रं हत्वा जटायुषम् । गृध्रं च निहतं दृष्ट्वा हृतां श्रुत्वा च मैथिलीम्।।
1,1,54,राघवश्शोकसन्तप्तो विललापाकुलेन्द्रिय: । ततस्तेनैव शोकेन गृध्रं दग्ध्वा जटायुषम्।।
1,1,55,मार्गमाणो वने सीतां राक्षसं सन्ददर्श ह । कबन्धन्नाम रूपेण विकृतं घोरदर्शनम्।।
1,1,56,तं निहत्य महाबाहुर्ददाह स्वर्गतश्च  स: । स चास्य कथयामास शबरीं धर्मचारिणीम्।।
1,1,57,श्रमणीं धर्मनिपुणामभिगच्छेति राघव । सोऽभ्यगच्छन्महातेजाश्शबरीं शत्रुसूदन:।।
1,1,58,शबर्या पूजितस्सम्यग्रामो दशरथात्मज: । पम्पातीरे हनुमता सङ्गतो वानरेण ह।।
1,1,59,हनुमद्वचनाच्चैव सुग्रीवेण समागत: । सुग्रीवाय च तत्सर्वं शंसद्रामो महाबल:।।
1,1,60,आदितस्तद्यथावृत्तं सीतायाश्च विशेषत: । सुग्रीवश्चापि तत्सर्वं श्रुत्वा रामस्य वानर:।।
1,1,61,चकार सख्यं रामेण प्रीतश्चैवाग्निसाक्षिकम् । ततो वानरराजेन वैरानुकथनं प्रति।।
1,1,62,रामायावेदितं सर्वं प्रणयाद्दु:खितेन च । प्रतिज्ञातं च रामेण तदा वालिवधं प्रति।।
1,1,63,वालिनश्च बलं तत्र कथयामास वानर: । सुग्रीवश्शङ्कितश्चासीन्नित्यं वीर्येण राघवे।।
1,1,64,राघवप्रत्ययार्थं तु दुन्दुभे: कायमुत्तमम् । दर्शयामास सुग्रीवो महापर्वतसन्निभम्।।
1,1,65,उत्स्मयित्वा महाबाहु: प्रेक्ष्य चास्थि महाबल: । पादाङ्गुष्ठेन चिक्षेप सम्पूर्णं दशयोजनम्।।
1,1,66,बिभेद च पुनस्सालान्सप्तैकेन महेषुणा । गिरिं रसातलं चैव जनयन्प्रत्ययं तथा।।
1,1,67,तत: प्रीतमनास्तेन विश्वस्तस्स महाकपि: । किष्किन्धां रामसहितो जगाम च गुहां तदा।।
1,1,68,ततोऽगर्जद्धरिवर: सुग्रीवो हेमपिङ्गल: । तेन नादेन महता निर्जगाम हरीश्वर:।।
1,1,69,अनुमान्य तदा तारां सुग्रीवेण समागत: । निजघान च तत्रैनं शरेणैकेन राघव:।।
1,1,70,ततस्सुग्रीववचनाद्धत्वा वालिनमाहवे । सुग्रीवमेव तद्राज्ये राघव: प्रत्यपादयत्।।
1,1,71,स च सर्वान्समानीय वानरान्वानरर्षभ: । दिश: प्रस्थापयामास दिदृक्षुर्जनकात्मजाम्।।
1,1,72,ततो गृध्रस्य वचनात्सम्पातेर्हनुमान्बली । शतयोजनविस्तीर्णं पुप्लुवे लवणार्णवम्।।
1,1,73,तत्र लङ्कां समासाद्य पुरीं रावणपालिताम् । ददर्श सीतां ध्यायन्तीमशोकवनिकां गताम्।।
1,1,74,निवेदयित्वाऽऽभिज्ञानं प्रवृत्तिं च निवेद्य च । समाश्वास्य च वैदेहीं मर्दयामास तोरणम्।।
1,1,75,पञ्च सेनाग्रगान्हत्वा सप्तमन्त्रिसुतानपि । शूरमक्षं च निष्पिष्य ग्रहणं समुपागमत्।।
1,1,76,अस्त्रेणोन्मुक्तमात्मानं ज्ञात्वा पैतामहाद्वरात् । मर्षयन्राक्षसान्वीरो यन्त्रिणस्तान्यदृच्छया।।
1,1,77,ततो दग्ध्वा पुरीं लङ्कामृते सीतां च मैथिलीम् । रामाय प्रियमाख्यातुं पुनरायान्महाकपि:।।
1,1,78,सोऽधिगम्य महात्मानं कृत्वा रामं प्रदक्षिणम् । न्यवेदयदमेयात्मा दृष्टा सीतेति तत्त्वत:।।
1,1,79,ततस्सुग्रीवसहितो गत्वा तीरं महोदधे: । समुद्रं क्षोभयामास शरैरादित्यसन्निभै:।।
1,1,80,दर्शयामास चात्मानं समुद्रस्सरितां पति: । समुद्रवचनाच्चैव नलं सेतुमकारयत्।।
1,1,81,तेन गत्वा पुरीं लङ्कां हत्वा रावणमाहवे । राम: सीतामनुप्राप्य परां व्रीडामुपागमत्।।
1,1,82,तामुवाच ततो राम: परुषं जनसंसदि । अमृष्यमाणा सा सीता विवेश ज्वलनं सती।।
1,1,83,ततोऽग्निवचनात्सीतां ज्ञात्वा विगतकल्मषाम् । बभौ रामस्सम्प्रहृष्ट: पूजितस्सर्वदैवतै:।।
1,1,84,कर्मणा तेन महता त्रैलोक्यं सचराचरम् । सदेवर्षिगणं तुष्टं राघवस्य महात्मन:।।
1,1,85,अभिषिच्य च लङ्कायां राक्षसेन्द्रं विभीषणम् । कृतकृत्यस्तदा रामो विज्वर: प्रमुमोद ह।।
1,1,86,देवताभ्यो वरं प्राप्य समुत्थाप्य च वानरान् । अयोध्यां प्रस्थितो राम: पुष्पकेण सुहृद्वृत:।।
1,1,87,भरद्वाजाश्रमं गत्वा रामस्सत्यपराक्रम: । भरतस्यान्तिकं रामो हनूमन्तं व्यसर्जयत्।।
1,1,88,पुनराख्यायिकां जल्पन्सुग्रीवसहितश्च स: । पुष्पकं तत्समारुह्य नन्दिग्रामं ययौ तदा।।
1,1,89,नन्दिग्रामे जटां हित्वा भ्रातृभिस्सहितोऽनघ: । रामस्सीतामनुप्राप्य राज्यं पुनरवाप्तवान्।।
1,1,90,प्रहृष्टमुदितो लोकस्तुष्ट: पुष्टस्सुधार्मिक: । निरामयो ह्यरोगश्च दुर्भिक्षभयवर्जित:।।
1,1,91,न पुत्रमरणं किञ्चिद्द्रक्ष्यन्ति पुरुषा: क्वचित् । नार्यश्चाविधवा नित्यं भविष्यन्ति पतिव्रता:।।
1,1,92,न चाग्निजं भयं किञ्चिन्नाप्सु मज्जन्ति जन्तव: । न वातजं भयं किञ्चिन्नापि ज्वरकृतं तथा।।
1,1,93,न चापि क्षुद्भयं तत्र न तस्करभयं तथा । नगराणि च राष्ट्राणि धनधान्ययुतानि च।।
1,1,94,नित्यं प्रमुदितास्सर्वे यथा कृतयुगे तथा । अश्वमेधशतैरिष्ट्वा तथा बहुसुवर्णकै:।।
1,1,95,गवां कोट्ययुतं दत्वा ब्रह्मलोकं प्रयास्यति । असंख्येयं धनं दत्वा ब्राह्मणेभ्यो महायशा:।।
1,1,96,राजवंशान्शतगुणान्स्थापयिष्यति राघव: । चातुर्वर्ण्यं च लोकेऽस्मिन् स्वे स्वे धर्मे नियोक्ष्यति।।
1,1,97,दशवर्षसहस्राणि दशवर्षशतानि च । रामो राज्यमुपासित्वा ब्रह्मलोकं प्रयास्यति।।
1,1,98,इदं पवित्रं पापघ्नं पुण्यं वेदैश्च सम्मितम् । य: पठेद्रामचरितं सर्वपापै: प्रमुच्यते।।
1,1,99,एतदाख्यानमायुष्यं पठन्रामायणं नर: । सपुत्रपौत्रस्सगण: प्रेत्य स्वर्गे महीयते।।
1,1,100,पठन्द्विजो वागृषभत्वमीयात् स्यात्क्षत्रियो भूमिपतित्वमीयात् । वणिग्जन: पण्यफलत्वमीयात् जनश्च शूद्रोऽपि महत्वमीयात्।।
1,2,1,नारदस्य तु तद्वाक्यं श्रुत्वा वाक्यविशारद: । पूजयामास धर्मात्मा सहशिष्यो महामुनि:।।
1,2,2,यथावत्पूजितस्तेन देवर्षिर्नारदस्तदा । आपृष्ट्वैवाभ्यनुज्ञातस्स जगाम विहायसम्।।
1,2,3,स मुहूर्तं गते तस्मिन्देवलोकं मुनिस्तदा । जगाम तमसातीरं जाह्नव्यास्त्वविदूरत:।।
1,2,4,स तु तीरं समासाद्य तमसाया महामुनि: । शिष्यमाह स्थितं पार्श्वे दृष्ट्वा तीर्थमकर्दमम्।।
1,2,5,अकर्दममिदं तीर्थं भरद्वाज निशामय । रमणीयं प्रसन्नाम्बु सन्मनुष्यमनो यथा।।
1,2,6,न्यस्यतां कलशस्तात दीयतां वल्कलं मम । इदमेवावगाहिष्ये तमसातीर्थमुत्तमम्।।
1,2,7,एवमुक्तो भरद्वाजो वाल्मीकेन महात्मना । प्रायच्छत मुनेस्तस्य वल्कलं नियतो गुरो:।।
1,2,8,स शिष्यहस्तादादाय वल्कलं नियतेन्द्रिय: । विचचार ह पश्यंस्तत्सर्वतो विपुलं वनम्।।
1,2,9,तस्याभ्याशे तु मिथुनं चरन्तमनपायिनम् । ददर्श भगवांस्तत्र क्रौञ्चयोश्चारुनिस्वनम्।।
1,2,10,तस्मात्तु मिथुनादेकं पुमांसं पापनिश्चय: । जघान वैरनिलयो निषादस्तस्य पश्यत:।।
1,2,11,तं शोणितपरीताङ्गं वेष्टमानं महीतले । भार्या तु निहतं दृष्ट्वा रुराव करुणां गिरम्।।
1,2,12,वियुक्ता पतिना तेन द्विजेन सहचारिणा । ताम्रशीर्षेण मत्तेन पत्रिणा सहितेन वै।।
1,2,13,तदा तु तं द्विजं दृष्ट्वा निषादेन निपातितम् । ऋषेर्धर्मात्मनस्तस्य कारुण्यं समपद्यत।।
1,2,14,तत: करुणवेदित्वादधर्मोऽयमिति द्विज: । निशाम्य रुदतीं क्रौञ्चीमिदं वचनमब्रवीत्।।
1,2,15,मा निषाद प्रतिष्ठां त्वमगमश्शाश्वतीस्समा: । यत्क्रौञ्चमिथुनादेकमवधी: काममोहितम्।।
1,2,16,तस्यैवं  ब्रुवतश्चिन्ता बभूव हृदि वीक्षतः । शोकार्तेनास्य शकुने: किमिदं व्याहृतं मया।।
1,2,17,चिन्तयन्स महाप्राज्ञश्चकार मतिमान्मतिम् । शिष्यं चैवाऽब्रवीद्वाक्यमिदं स मुनिपुङ्गव:।।
1,2,18,पादबद्धोऽक्षरसमस्तन्त्रीलयसमन्वित: । शोकार्तस्य प्रवृत्तो मे श्लोको भवतु नान्यथा।।
1,2,19,शिष्यस्तु तस्य ब्रुवतो मुनेर्वाक्यमनुत्तमम् । प्रतिजग्राह संहृष्टस्तस्य तुष्टोऽभवद्गुरु:।।
1,2,20,सोऽभिषेकं तत: कृत्वा तीर्थे तस्मिन्यथाविधि । तमेव चिन्तयन्नर्थमुपावर्तत वै मुनि:।।
1,2,21,भरद्वाजस्ततश्शिष्यो विनीतश्श्रुतवान्मुनेः । कलशं पूर्णमादाय पृष्ठतोऽनुजगाम ह।।
1,2,22,स प्रविश्याश्रमपदं शिष्येण सह धर्मवित् । उपविष्ट: कथाश्चान्याश्चकार ध्यानमास्थित:।।
1,2,23,आजगाम ततो ब्रह्मा लोककर्ता स्वयं प्रभु: । चतुर्मुखो महातेजा द्रष्टुं तं मुनिपुङ्गवम्।।
1,2,24,वाल्मीकिरथ तं दृष्ट्वा सहसोत्थाय वाग्यत: । प्राञ्जलि: प्रयतो भूत्वा तस्थौ परमविस्मित:।।
1,2,25,पूजयामास तं देवं पाद्यार्घ्यासनवन्दनै: । प्रणम्य विधिवच्चैनं पृष्ट्वाऽनामयमव्ययम्।।
1,2,26,अथोपविश्य भगवानासने परमार्चिते । वाल्मीकये महर्षये सन्दिदेशासनं तत:।।
1,2,27,ब्रह्मणा समनुज्ञातस्सोऽप्युपाविशदासने । उपविष्टे तदा तस्मिन्सर्वलोकपितामहे । तद्गतेनैव मनसा वाल्मीकिर्ध्यानमास्थित:।।
1,2,28,पापात्मना कृतं कष्टं वैरग्रहणबुद्धिना । यस्तादृशं चारुरवं क्रौञ्चं हन्यादकारणात्।।
1,2,29,शोचन्नेव मुहु: क्रौञ्चीमुपश्लोकमिमं पुन: । जगावन्तर्गतमना भूत्वा शोकपरायण:।।
1,2,30,तमुवाच ततो ब्रह्मा प्रहसन्मुनिपुङ्गवम् । श्लोक एव त्वया बद्धो नात्र कार्या विचारणा।।
1,2,31,मच्छन्दादेव ते ब्रह्मन् प्रवृत्तेयं सरस्वती । रामस्य चरितं सर्वं कुरु त्वमृषिसत्तम।।
1,2,32,धर्मात्मनो गुणवतो लोके रामस्य धीमत: । वृत्तं कथय धीरस्य यथा ते नारदाच्छ्रुतम्।।
1,2,33,रहस्यं च प्रकाशं च यद्वृत्तं तस्य धीमत: । रामस्य सहसौमित्रेः राक्षसानां च सर्वश:।।
1,2,34,वैदेह्याश्चैव यद्वृत्तं प्रकाशं यदि वा रह: । तच्चाप्यविदितं सर्वं विदितं ते भविष्यति।।
1,2,35,न ते वागनृता काव्ये काचिदत्र भविष्यति । कुरु रामकथां पुण्यां श्लोकबद्धां मनोरमाम्।।
1,2,36,यावत् स्थास्यन्ति गिरयस्सरितश्च महीतले । तावद्रामायणकथा लोकेषु प्रचरिष्यति।।
1,2,37,यावद्रामायणकथा त्वत्कृता प्रचरिष्यति । तावदूर्ध्वमधश्च त्वं मल्लोकेषु निवत्स्यसि।।
1,2,38,इत्युक्त्वा भगवान्ब्रह्मा तत्रैवान्तरधीयत । ततस्सशिष्यो भगवान्मुनिर्विस्मयमाययौ।।
1,2,39,तस्य शिष्यास्ततस्सर्वे जगुश्श्लोकमिमं पुन: । मुहुर्मुहु: प्रीयमाणा: प्राहुश्च भृशविस्मिता:।।
1,2,40,समाक्षरैश्चतुर्भिर्य: पादैर्गीतो महर्षिणा । सोऽनुव्याहरणाद्भूयश्श्लोकश्श्लोकत्वमागत:।।
1,2,41,तस्य बुद्धिरियं जाता वाल्मीकेर्भावितात्मन: । कृत्स्नं रामायणं काव्यमीदृशै: करवाण्यहम्।।
1,2,42,उदारवृत्तार्थपदैर्मनोरमैः तदास्य रामस्य चकारकीर्तिमान् । समाक्षरैश्श्लोकशतैर्यशस्विनो यशस्करं काव्यमुदारधीर्मुनि:।।
1,2,43,तदुपगतसमाससन्धियोगं सममधुरोपनतार्थवाक्यबद्धम् । रघुवरचरितं मुनिप्रणीतं दशशिरसश्च वधं निशामयध्वम्।।
1,3,1,श्रुत्वा वस्तु समग्रं तद्धर्मात्मा धर्मसंहितम् । व्यक्तमन्वेषते भूयो यद्वृत्तं तस्य धीमत:।।
1,3,2,उपस्पृश्योदकं सम्यग्मुनिस्स्थित्वा कृताञ्जलि: । प्राचीनाग्रेषु दर्भेषु धर्मेणान्वेषते गतिम्।।
1,3,3,रामलक्ष्मणसीताभी राज्ञा दशरथेन च । सभार्येण सराष्ट्रेण यत्प्राप्तं तत्र तत्त्वत:।।
1,3,4,हसितं भाषितं चैव गतिर्या यच्च चेष्टितम् । तत्सर्वं धर्मवीर्येण यथावत्सम्प्रपश्यति।।
1,3,5,स्त्रीतृतीयेन च तदा यत्प्राप्तं चरता वने । सत्यसन्धेन रामेण तत्सर्वं चान्ववेक्षितम्।।
1,3,6,तत: पश्यति धर्मात्मा तत्सर्वं योगमास्थित: । पुरा यत्तत्र निर्वृत्तं पाणावामलकं यथा।।
1,3,7,तत्सर्वं तत्त्वतो दृष्ट्वा धर्मेण स महाद्युति: । अभिरामस्य रामस्य चरितं कर्तुमुद्यत:।।
1,3,8,कामार्थगुणसंयुक्तं धर्मार्थगुणविस्तरम् । समुद्रमिव रत्नाढ्यं सर्वश्रुतिमनोहरम्।।
1,3,9,स यथा कथितं पूर्वं नारदेन महर्षिणा । रघुवंशस्य चरितं चकार भगवानृषिः।।
1,3,10,जन्म रामस्य सुमहद्वीर्यं सर्वानुकूलताम् । लोकस्य प्रियतां क्षान्तिं सौम्यतां सत्यशीलताम्।।
1,3,11,नानाचित्रकथाश्चान्या विश्वामित्रसमागमे । जानक्याश्च विवाहं च धनुषश्च विभेदनम्।।
1,3,12,रामरामविवादं च गुणान्दाशरथेस्तथा । तथाऽभिषेकं रामस्य कैकेय्या दुष्टभावताम्।।
1,3,13,विघातं चाभिषेकस्य राघवस्य विवासनम् । राज्ञश्शोकविलापं च परलोकस्य चाश्रयम्।।
1,3,14,प्रकृतीनां विषादं च प्रकृतीनां विसर्जनम् । निषादाधिपसंवादं सूतोपावर्तनं तथा।।
1,3,15,गङ्गायाश्चापि सन्तारं भरद्वाजस्य दर्शनम् । भरद्वाजाभ्यनुज्ञानाच्चित्रकूटस्य दर्शनम्।।
1,3,16,वास्तुकर्म निवेशं च भरतागमनं तथा । प्रसादनं च रामस्य पितुश्च सलिलक्रियाम्।।
1,3,17,पादुकाग्र्याभिषेकं च नन्दिग्रामनिवासनम् । दण्डकारण्यगमनं विराधस्य वधं तथा।।
1,3,18,दर्शनं शरभङ्गस्य सुतीक्ष्णेन समागमम् । अनसूयासहास्यामप्यङ्गरागस्य चार्पणम्।।
1,3,19,अगस्त्यदर्शनं चैव जटायोरभिसङ्गमम् । पञ्चवट्याश्च गमनं शूर्पणख्याश्च दर्शनम्।।
1,3,20,शूर्पणख्याश्च संवादं विरूपकरणं तथा । वधं खरत्रिशिरसोरुत्थानं रावणस्य च।।
1,3,21,मारीचस्य वधं चैव वैदेह्या हरणं तथा । राघवस्य विलापं च गृध्रराजनिबर्हणम्।।
1,3,22,कबन्धदर्शनं चापि पम्पायाश्चापि दर्शनम् । शबर्या: दर्शनं चैव हनूमद्दर्शनं तथा।।
1,3,23,ऋश्यमूकस्य गमनं सुग्रीवेण समागमम् । प्रत्ययोत्पादनं सख्यं वालिसुग्रीवविग्रहम्।।
1,3,24,वालिप्रमथनं चैव सुग्रीवप्रतिपादनम् । ताराविलापं समयं वर्षरात्रनिवासनम्।।
1,3,25,कोपं राघवसिंहस्य बलानामुपसङ्ग्रहम् । दिश: प्रस्थापनं चैव पृथिव्याश्च निवेदनम्।।
1,3,26,अङ्गुलीयकदानं च ऋक्षस्य बिलदर्शनम् । प्रायोपवेशनं चापि सम्पातेश्चापि दर्शनम्।।
1,3,27,पर्वतारोहणं चापि सागरस्यापि लङ्घनम् । समुद्रवचनाच्चैव मैनाकस्य च दर्शनम्।।
1,3,28,राक्षसीतर्जनं चैव छायाग्राहस्य दर्शनम् । सिंहिकायाश्च निधनं लङ्कामलयदर्शनम्।।
1,3,29,रात्रौ लङ्काप्रवेशं च एकस्याथ विचिन्तनम् । दर्शनं रावणस्यापि पुष्पकस्य च दर्शनम्।।
1,3,30,आपानभूमिगमनमवरोधस्य दर्शनम् । अशोकवनिकायानं सीतायाश्चपि दर्शनम्।।
1,3,31,अभिज्ञानप्रदानं च रावणस्य च दर्शनम् । राक्षसीतर्जनं चैव त्रिजटास्वप्नदर्शनम्।।
1,3,32,मणिप्रदानं सीताया वृक्षभङ्गं तथैव च । राक्षसीविद्रवं चैव किङ्कराणां निबर्हणम्।।
1,3,33,ग्रहणं वायुसूनोश्च लङ्कादाहाभिगर्जनम् । प्रतिप्लवनमेवाथ मधूनां हरणं तथा।।
1,3,34,राघवाश्वासनं चापि मणिनिर्यातनं तथा । सङ्गमं च समुद्रेण नलसेतोश्च बन्धनम्।।
1,3,35,प्रतारं च समुद्रस्य रात्रौ लङ्कावरोधनम् । विभीषणेन संसर्गं वधोपायनिवेदनम्।।
1,3,36,कुम्भकर्णस्य निधनं मेघनादनिबर्हणम् । रावणस्य विनाशं च सीतावाप्तिमरे: पुरे।।
1,3,37,विभीषणाभिषेकं च पुष्पकस्य च दर्शनम् । अयोध्यायाश्च गमनं भरतेन समागमम्।।
1,3,38,प्रेषणं वायुपुत्रस्य भरतेन समागमम्   । रामाभिषेकाभ्युदयं सर्वसैन्यविसर्जनम् । स्वराष्ट्ररञ्जनं चैव वैदेह्याश्च विसर्जनम्।।
1,3,39,अनागतं च यत्किञ्चिद्रामस्य वसुधातले । तच्चकारोत्तरे काव्ये वाल्मीकिर्भगवानृषि:।।
1,4,1,प्राप्तराज्यस्य रामस्य वाल्मीकिर्भगवानृषि: । चकार चरितं कृत्स्नं विचित्रपदमात्मवान्।।
1,4,2,चतुर्विंशत्सहस्राणि श्लोकानामुक्तवानृषि: । तथा सर्गशतान्पञ्च षट्काण्डानि तथोत्तरम्।।
