,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72
72,ग्रीष्मकालः,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,काकः,वृक्षछायायाम्,पूरिकाम्,खादति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,तदा,शृगालः,आयाति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,शीघ्रम्,काकः,वृक्षशाखायाम्,उपविशति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,शृगालः,काकं,कथयति,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,एकम्,गीतम्,गाय,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,तव,गीतम्,अति-मधुरम्,"।""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,मूढः,काकः,गीतम्,गायति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,पूरिका,नीचैः,पतति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,चतुरः,शृगालः,पूरिकासहितम्,धावति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,आम्रस्य,आत्मकथा,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,चपलाः,बालकाः,आम्राणाम्,उद्यानं,गच्छन्ति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,तत्र,आम्रफलानि,पश्यन्ति,प्रसन्नाः,च,भवन्ति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,सहसा,आम्रम्,वदति,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,अहम्,आम्रम्,अस्मि,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,अहम्,जनप्रियम्,विश्वप्रसिद्धं,च,फलम्,अस्मि,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,वृद्धाः,बालाः,च,समरूपेण,मम,स्वादम्,अनुभवन्ति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,मम,अभ्यन्तरे,कठोरबीजं,भवति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,बीजेन,एव,मम,पादपः,भवति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,वृक्षस्य,उपरि,मञ्जर्यः,भवन्ति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,तत्र,कोकिलाः,शाखासु,गायन्ति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,इदं,मम,आगमनस्य,सूचना,अस्ति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,मम,वृक्षाः,तु,सघनाः,भवन्ति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,तेषाम्,छायायाम्,जनाः,विश्रामं,कुर्वन्ति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,पक्वम्,अपक्वम्,केन,अपि,रूपेण,अहम्,सर्वदा,गुणकरम्,अस्मि,।,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,अपक्वम्,अहम्,बालेभ्यः,रोचे,।,मम,'अचारं',तु,सर्वेभ्यः,सदैव,रोचते,।,,,,,,,,,,,,,,,,,,,,,,,,,
98,मम,पत्राणि,वन्दनवाररूपेण,गृहाणाम्,शोभां,वर्धयन्ति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,मङ्गलकार्येषु,मम,पत्राणि,कलशस्य,शोभां,वर्धयन्ति,"।""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,पक्वं,तु,अहम्,सर्वेषाम्,मुखम्,रसमयं,करोमि,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,अतः,मम,अपरं,नाम,'रसालम्',अपि,अस्ति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,मम,"आकाराः,","वर्णाः,",स्वादाः,च,विविधाः,सन्ति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,यथा-,"सफेदा,","दशहरी,","तोतापुरी,","चौसा,",लँगडा,आदि,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,अहम्,एव,फलानाम्,राजा,अस्मि,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,परोपकाराय,एव,अस्ति,मम,जीवनम्,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,सत्यम्,उक्तम्,आम्रेण-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,मा,गर्वं,कुरु,शर्करे,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,तव,गुणान्,जानन्ति,राज्ञां,"गृहे,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,ये,दीनाः,धनवर्जिताः,च,कृपणाः,स्वप्ने,अपि,पश्यन्ति,न,।,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,आम्रः,अहम्,मधुकूपकैः,मम,फलैः,तृप्ताः,हि,सर्वे,"जनाः,",,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,हे,दग्धे,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,तव,किं,गुणैः,मम,फलैः,तुल्यं,न,किञ्चित्,फलम्,॥,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,हे,शर्करे,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,अभिमानं,न,"कुरु,",ये,जनाः,कृपणाः,(,कंजूस,),दरिद्राः,वा,सन्ति,ते,स्वप्ने,अपि,तव,स्वादं,न,अनुभवन्ति,।,,,,,,,,,,,,,,,,,
115,अहम्,तु,जनसाधारणस्य,फलम्,अस्मि,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,मम,स्वादेन,सर्वे,प्रसन्नाः,सन्तुष्टाः,च,भवन्ति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,अतः,मम,तुल्यम्,न,अस्ति,किमपि,फलम्,।,],,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,चाचानेहरूः,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,कस्य,अस्ति,एतत्,चित्रम्,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,किम्,जानासि,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,एषः,बालानाम्,प्रियः,'चाचा,नेहरूः,अस्ति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,एषः,महापुरुषः,स्वतन्त्र-भारतस्य,प्रथमः,प्रधानमन्त्री,अभवत्,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,अस्य,परिधाने,रक्तः,शतपत्री(गुलाब),पुष्पम्,शोभते,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,नेहरूमहोदयस्य,जन्म,इलाहाबाद,इति,नगरस्य,समृद्धपरिवारे,अभवत्,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,बाल्यात्,तस्य,रुचिः,स्वाध्याये,आसीत्,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,सः,बाल्यावस्थायाम्,एव,इंग्लैंडदेशं,अगच्छत्,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,तत्र,एव,विद्याभ्यासम्,च,अकरोत्,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,नेहरूमहोदयस्य,पत्नी,श्रीमती,कमला,नेहरू,एका,साहसशीला,विनम्रा,च,महिला,आसीत्,।,,,,,,,,,,,,,,,,,,,,,,,,,
129,स्वतन्त्रतायाः,सर्वेषु,कार्येषु,तस्याः,सहयोगः,आसीत्,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,यदा,जलियांवालाबाग,हत्याकाण्डः,अभवत्,तदा,नेहरू-महोदयस्य,गान्धि-महोदयेन,सह,सम्पर्कः,अभवत्,।,,,,,,,,,,,,,,,,,,,,,,,,,,
131,नेहरूः,स्वस्वास्थ्य-विषये,सदैव,जागरूकः,आसीत्,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,सः,कर्मवीरः,आसीत्,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,सः,वस्तुतः,स्वतन्त्रता-सैनिकः,आसीत्,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,कारागारे,अपि,सः,समयस्य,सदुपयोगम्,अकरोत्,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,कारागारात्,सः,स्वपुत्रीं,इन्दिरां,प्रति,अनेकानि,पत्राणि,अलिखत्,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,सर्वेषु,पत्रेषु,भारतस्य,इतिहासस्य,सभ्यतायाः,च,विषये,चर्चा,अस्ति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,अद्य,अपि,तानि,पत्राणि,छात्रेभ्यः,ज्ञानप्रदानं,कुर्वन्ति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,कारागारे,एव,सः,स्वाम्,आत्मकथाम्,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,१५,अगस्त,१९४७,तमे,वर्षे,राष्ट्रम्,प्रति,प्रथमे,सन्देशे,सः,अकथयत्-,,,,,,,,,,,,,,,,,,,,,,,,,,
140,संसारे,सः,भारतस्य,प्रतिनिधिः,आसीत्,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,भारतः,नेहरूः,च,पर्यायौ,स्तः,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,तस्य,भाषणेषु,सर्वदा,देशप्रेमस्य,धारा,अवहत्,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,बालेषु,आसीत्,तस्य,विशेषः,स्नेहः,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,अनेन,कारणेन,तस्य,जन्मदिवसः,अद्य,अपि,बालदिवसरूपे,प्रसिद्धः,भवति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,विद्यालयेषु,बालेभ्यः,समारोहाः,भवन्ति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,नवम्बर-मासस्य,१४,तारिकायाः,ते,प्रतीक्षां,कुर्वन्ति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,बालाः,आगच्छत,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,प्रतिज्ञां,कुरुत,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,भारतस्य,यम्,स्वप्नम्,नेहरू-महोदयः,अपश्यत्,तम्,पूरयत,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,यदा,अहम्,उद्यानं,गच्छामि,तदा,जानामि,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,एकः,पक्षिराजः,मयूरः,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,द्वौ,ध्यानमग्नौ,बकौ,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,त्रयः,नीरक्षीर-विवेकिनः,हंसाः,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,चत्वारः,जागरूकाः,काकाः,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,पञ्च,पञ्चमस्वर-गायिकाः,कोकिलाः,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,षट्,प्रभातसूचकाः,कुक्कुटाः,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,सप्त,शब्दानुकरणप्रियाः,शुकाः,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,अष्ट,पत्रवाहकाः,कपोताः,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,नव,संगीतनिपुणाः,सारिकाः,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,दश,दिवाभीताः,उल्लूकाः,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,मित्रयोः,संवादः,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,[,दौ,छात्रौ,संवादम्,पठितुम्,(,पढने,के,लिए,),कथयति,।],,,,,,,,,,,,,,,,,,,,,,,,,
163,रविः,-,सत्य,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,चल,अत्र,क्रीडावः,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,सत्यः,-,नहि,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,अहम्,अधुना,गृहकार्यं,करोमि,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,रामेण,सह,क्रीड,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,रविः,-,कुत्र,अस्ति,सः,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,अत्र,तम्,न,पश्यामि,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,सत्यः,-,पश्य,तत्र,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,सः,शनैः,शनैः,चलति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,भो,राम,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,शीघ्रम्,आगच्छ,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,रामः,-,किं,खेलाव,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,रविः,-,उद्याने,कन्दुकेन,सह,खेलावः,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,रामः,-,साधु,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,आगच्छ,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,आवां,परस्परं,कन्दुकं,"क्षिपावः,",कन्दुकः,तु,नीचैः,न,पततु,।,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,रविः,-,बाढम्,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,(,तौ,परस्परं,खेलतः,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,रामः,-,आः,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,तव,हस्तात्,कन्दुकः,नीचैः,पतति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,अतः,मम,एकः,गुणः,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,रविः,-,आहा,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,तव,हस्तात्,अपि,कन्दुकः,पतति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,मम,अपि,एकः,गुणः,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,रामः,-,अधुना,समम्,एव,आवयोः,गुणाः,सन्ति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,सायंकालः,अपि,भवति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,अतएव,गृहम्,गच्छाव,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,श्वः,पुनः,क्रीडिष्यावः,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,श्लोकाः,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,१,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,दुर्बलानाम्,बलम्,राजा,बालानाम्,रोदनम्,बलम्,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,मूर्खाणाम्,च,बलम्,मौनम्,चौराणाम्,अनृतम्,बलम्,॥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,२,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
