1,"[जनम]
एवं वने वर्तमाना नराग्र्याः; शीतॊष्णवातातप कर्शिताङ्गाः
स तेन युज्यत्य अवशः फलेन; मॊक्षः कथं सयात पुरुषस्य तस्मात"
23,"कषेत्रे सुकृष्टे हय उपिते च बीजे; देवे च वर्षत्य ऋतुकालयुक्तम
न सयात फलं तस्य कुतः परसिद्धिर; अन्यत्र दैवाद इति चिन्तयामि"
24,"कृतं मताक्षेण यथा न साधु साधु; परवृत्तेन च पाण्डवेन
मया च दुष्पुत्र वशानुगेन; यथा कुरूणाम अयम अन्तकालः"
25,"धरुवं परवास्यत्य असमीरितॊ ऽपि; धरुवं परजास्यत्य उत गर्भिणी या
धरुवं दिनादौ रजनी परणाशस; तथा कषपादौ च दिनप्रणाशः"
26,"करियेत कस्मान न परे च कुर्युर; वित्तं न दद्युः पुरुषाः कथं चित
पराप्यार्थ कालं च भवेद अनर्थः; कथं नु तत सयाद इति तत कुतः सयात"
27,"कथं न भिद्येत न च सरवेत; न च परसिच्येद इति रक्षितव्यम
अरक्ष्यमाणः शतधा विशीर्येद; धरुवं न नाशॊ ऽसति कृतस्य लॊके"
28,"गतॊ हय अरण्याद अपि शक्र लॊकं; धनंजयः पश्यत वीर्यम अस्य
अस्त्राणि दिव्यानि चतुर्विधानि; जञात्वा पुनर लॊकम इमं परपन्नः"
29,"सवर्गं हि गत्वा सशरीर एव; कॊ मानुषः पुनर आगन्तुम इच्छेत
अन्यत्र कालॊपहतान अनेकान; समीक्षमाणस तु कुरून मुमूर्षान"
30,"धनुर गराहश चार्जुनः सव्यसाची; धनुश च तद गाण्डिवं लॊकसारम
अस्त्राणि दिव्यानि च तानि तस्य; तरयस्य तेजॊ परसहेत कॊ नु"
31,"निशम्य तद वचनं पार्थिवस्य; दुर्यॊधनॊ रहिते सौबलश च
अबॊधयत कर्णम उपेत्य सर्वं; स चाप्य अहृष्टॊ ऽभवद अल्पचेताः"
