chapter,verse,sanskrit,translation,question
1,43,स्मृतिपरिशुद्धौ स्वरूपशून्येवार्थमात्रनिर्भासा निर्वितर्का,"At the next stage, objects lose their association with memory and are formless, revealing only their essential nature. This stage is known as 'nirvitarka'*.",How does the cognition of a mind at the higher level of mediative absorption appear? What is nirvitarka samapatti?
1,44,एतयैव सविचारा निर्विचारा च सूक्ष्मविषया व्याख्याता,"Similarly, the states of 'savichara'* and 'nirvichara'* have objects of contemplation which are subtle in nature.",What is/are the subject matter of the mind at the higher levels of meditative absorption? What is savichara state? What is nirvichara state?
1,45,सूक्ष्मविषयत्त्वं चालिङ्गपर्यवसानम्,"By tracing subtle objects back to their undifferentiated nature, they can be understood.",What are the details of the subject matter of the mind at the higher levels of meditative absorption?
1,46,ता एव सबीजः समाधिः,"The four atages of awareness (mentioned above) - savitarka*, nirvitarka*, savichara* and nirvichara *- are referred to as meditative absorption that contains latent impressions (seeds).",What name is given to the all these higher level of meditative absorption collectively? What are the higher levels of meditative absorption collectively reffered to as? What is sabija samadhi? What are the four stages of sabija samadhi?
1,47,निर्विचारवैशारद्येऽध्यात्मप्रसादः,"(Among these four stages) once the stage of nirvichara* is comprehended, the nature of the self is illuminated.",What happens if one successfully goes past these higher level of meditative absorption? What happens when the state of nirvichara is achieved?
1,48,ऋतंभरा तत्र प्रज्ञा,The wisdom that arises from this comprehension is infallible.,How does the mind behave once passed the higher levels of meditation? What special quality is bestowed once the mind succesfully achieves the higher levels of meditation? Can one fall even after reaching nirvichara state?
1,49,श्रुतानुमानप्रज्ञाभ्यामन्यविषयाविशेषार्थत्वात्,"This wisdom, unlike knowledge gained from inference or instruction, therefore holds a special importance.",What is special about the knowledge gained after reaching nirvichara state?
1,50,तज्जः संस्कारोऽन्यसंस्कारप्रतिबन्धी,"The impressions/ideas generated by this special knowledge, hinder the activation of other impressions.",Can other impressions arise even after reaching the nirvichara state?
1,51,तस्यापि निरोधे सर्वनिरोधान्निर्बीजः समाधिः,"When these impressions too come to an end, and the movement of consciousness is entirely pacified, this stage of 'impressionless' consciousness is termed as 'seedless' meditative absorption.",What happens when the impressions present in the nirvichara state come to an end?
2,1,तपः स्वाध्यायेश्वरप्रणिधानानि क्रियायोगः,"Kriya Yoga comprises of self discipline, study of self, and devotion towards Ishvara.",What is Kriya Yoga? What constitutes Kriya Yoga? Is devotion to God a part of Yoga? Is devotion to God a part of Kriya Yoga?
2,2,समाधिभावनार्थः क्लेशतनूकरणार्थश्च,The aim of this path of action is to eliminate the roots of suffering and accomplish samadhi* (an advanced meditative state).,What does a (successful) practice of Kriya Yoga leads to? What are the effects of Kriya Yoga? What are the fruits of Kriya Yoga? How can we eliminate suffering?
2,3,अविद्यास्मितारागद्वेषाभिनिवेशाः पञ्च क्लेशाः,"The roots of suffering include - ignorance, the sense of 'I', attachment, aversion, and fear of death.",What are kleshas? What are the barriers on the path of Yoga? How many kinds of barriers occur in the path of Yoga? What are the causes of suffering? Why do we suffer?
2,4,अविद्या क्षेत्रमुत्तरेषां प्रसुप्ततनुविच्छिन्नोदाराणाम्,"The causes of suffering germinate due to 'ignorance' and these sufferings can be either dormant, weakened, interrupted or fully activated.",What is the origin of kleshas? What is the fundamental causative factor of the barriers to Yoga? What is the breeding ground for kleshas? What are the different kinds of sufferings?
2,5,अनित्याशुचिदुःखानात्मसु नित्यशुचिसुखात्मख्यातिरविद्या,"Ignorance is the state where one confuses impermanence, impurity, distress, and non self with permanence, purity, happiness, and self.",What is ignorance? What happens in a state of Ignorance? What is the state of confusion?
2,6,दृग्दर्शनशक्त्योरेकात्मतेवास्मिता,The sense of 'I' (wrongly) identifies perception of pure awareness as the perception of the senses.,What is Ego?
2,7,सुखानुशयी रागः,Attachment is the cause of pleasurable experiences.,What is Attachment? What is the cause of desire? What is the cause of pleasure?
2,8,दुःखानुशयी द्वेषः,Aversion is a cause of suffering(s).,What is Aversion? What is the cause of sufferings?
2,9,स्वरसवाही विदुषोऽपि तथा रूढोऽभिनिवेशः,"Even the wise similar to a non-wise, instinctively fear death, perpetuating suffering.",Do the wise also fear death?
2,10,ते प्रतिप्रसवहेयाः सूक्ष्माः,These kleshas* (sufferings) are very subtle (hence not easily erased). They are eliminated only when the mind merges into its orgin.,When does one get rid of kleshas? Is it possible to destroy kleshas? Is it possible to end our suffering?
2,11,ध्यानहेयास्तद्वृत्तयः,"Through meditation, the fluctuations of mind that arise due to these kleshas* (sufferings) can be terminated.",How does meditation help in eliminating suffering?
2,12,क्लेशमूलः कर्माशयो दृष्टादृष्टजन्मवेदनीयः,"The deposits of karma* (actions) are rooted in the causes of klesha* (suffering), which is experienced either in the future or in the present.",What is the relationship between kleshas and samskaras?
2,13,सति मूले तद्विपाको जात्यायुर्भोगाः,"As long as the root source i.e. klesha (suffering) exists, its contents will continue to result as - type of birth, span of life, and experience of life.",What are the effects of kleshas?
2,14,ते ह्लादपरितापफलाः पुण्यापुण्यहेतुत्वात्,"Each person's- type of birth, span of life, and experience of life, fructifes either as pleasure or pain, which is resultant of their past virtuous or viceful actions.",How does kleshas affect the experience of life?
2,15,परिणाम तापसंस्कार दुःखैर्गुणवृत्तिविरोधाच्च दुःखमेव सर्वं विवेकिनः,"The wise recognize that suffering is inherent in all experiences, whether it be the agony of the results of actions, or the pain of distress, or of the burden of latent impressions (samskaras*) filled with suffering, along with the constant struggle of the flutuations of the mind due to the fundamental qualities (gunas*) of nature.",Why are kleshas considered to be strong barriers in the path of Yoga? 
2,16,हेयं दुःखमनागतम्,"However, it is possible to prevent suffering from arising altogether.",Is it possible to prevent sorrow from arising in our mind?
2,17,द्रष्टृदृश्ययोः संयोगो हेयहेतुः,The root cause of all suffering is the mistaken belief that pure awareness and the perception of awareness are inseparable.,What is the fundamental reason of sorrow? What is the root cause of sorrow?
2,18,प्रकाशक्रियास्थितिशीलं भूतेन्द्रियात्मकं भोगापवर्गार्थं दृश्यम्,"The phenomenal world that awareness perceives is characterized by luminosity (sattva), activity (rajas), and inertia (tamas), and is composed of - elements and senses, and serves the purpose of both sensual experience as well as liberation (to drasta*).",What are the characteristics of Drishya (the seen)? What is the relationship between the Seer and the Seen (Drasta and the Drishya)? What is the world composed of? What is the cause of sensual experience?
2,19,विशेषाविशेषलिङ्गमात्रालिङ्गानि गुणपर्वाणि,"The various levels of existence - whether they are  differentiated, undifferentiated, distinct or indistinct - are all expressions of the basic characteristics inherent in nature (gunas*).",What are the levels of Drishya (the seen)? What are the levels of nature? 
2,20,द्रष्टा दृशिमात्रः शुद्धोऽपि प्रत्ययानुपश्यः,"Pure awareness (drashta*) is simply the act of seeing (hence called seer), but it typically appears to function through the perceiving mind despite its purity.",What are the attributes of Drishta (the Seer)? What are the attributes of consciousness? What are the attributes of awareness?
2,21,तदर्थ एव दृश्यस्यात्मा,The purpose of the phenomenal world (drashya*) is essentially to reveal this truth (for the seer).,Is the Drasta and the Drishya interdependent? Why did God create the world? Why did God create the universe?
2,22,कृतार्थं प्रतिनष्टमप्यनष्टं तदन्यसाधारणत्वात्,"Once this realization occurs, the phenomenal world ceases to be for them, but remains a common reality for the (non-realized) others.",Why does the Drishya perpetuates? Does the Drishya end? Does the world cease to exist when we achieve moksha? Does the world cease to exist when we achieve liberation? Does the world cease to exist when we achieve realisation?
2,23,स्वस्वामिशक्त्योः स्वरूपोपलब्धिहेतुः संयोगः,"It is the apparent indivisibility of pure awareness and the phenomenal world (i.e. the concept of conjunction), that gives insight into the potency of both the possessor and the possessed.",What is the nature of the coupling or the association between the Drashta and the Drishya?
2,24,तस्य हेतुरविद्या,The cause of this phenomenon (of conjunction) is ignorance.,What is the reason of the conjuntion between the Drashta and the Drishya? What causes Purusha to get associated with Prakriti?
2,25,तदभावात्संयोगाभावो हानं तद्दृशेः कैवल्यम्,"When this ignorance fades, the appearance of indivisibility also fades, and it becomes clear that pure awareness is free and unaffected by phenomenal world which the state of liberation (kaivalya*).",What is Kaivalya? What happens in the state of liberation? What is state of liberation with respect to Drasta and Drishya? How can Purusha be disassociated with Prakriti?
2,26,विवेकख्यातिरविप्लवा हानोपायः,"Unflinching discriminative discernment (between the seer and the seen) is the path to liberation (not the final state yet, this is the upper stage of Ritambhara pragya (1.48) where even this prayga ceases).",What path leads one to Kailvalya or Liberation? What trait is required to get on the path towards Liberation? What path is to be followed after the mind gets established in the higher levels of meditation (Ritambhara Pragya)?
2,27,तस्य सप्तधा प्रान्तभूमिः प्रज्ञा,"On this path of liberation, the one (yogi) with the wisdom of discriminative discernment extends to seven ultimate stages.",How many cognitive levels does the path towards liberation have?
2,28,योगाङ्गानुष्ठानादशुद्धिक्षये ज्ञानदीप्तिरा विवेकख्यातेः,"By practicing the components of yoga, impurities diminish, allowing the light of understanding to shine and illuminate the path to discriminative awareness.",What practice leads on to the path towards liberation? What is the tool which enables one to cover the path towards liberation? How does Yoga establish one on the path towards liberation?
2,29,यमनियमासनप्राणायामप्रत्याहारधारणाध्यानसमाधयोऽष्टावङ्गानि,"Social discipline, personal observances, pyscho-physical posture, breath regulation, withdrawl of senses, concentration, meditation and liberation make up the eight limbs of yoga.",What constitutes Astanga Yoga? How many limbs does Yoga have? What are the names of the limbs of Yoga? What is the eightfold path of Yoga?
2,30,अहिंसासत्यास्तेयब्रह्मचर्यापरिग्रहा यमाः,"The five social disciplines are non-violence, being truthful, not stealing, practicing celibacy, and avoiding materialism.",What are social disciplines? How many social disciplines are there? What constitutes social disciplines? What are the names of social disciplines? What are yamas? What is yama?
2,31,जातिदेशकालसमयानवच्छिन्ना सार्वभौमा महाव्रतम्,"These principles are solemn resolutions. They are not bound by one's social status, territory, specific time or any duration. They are universal.",When does social disciplines become firmly established? When does social disciplines become unshakable vows?
2,32,शौचसंतोषतपः स्वाध्यायेश्वरप्रणिधानानि नियमाः,"The five personal observances are purifying the body, cultivating contentment, practicing austerity, self-study, and devotion to God.",How many personal observances are there? What are Niyamas? What constitutes personal observances? What are the names of all personal observances? What is niyama?
2,33,वितर्कबाधने प्रतिपक्षभावनम्,Negative thoughts can be countered by developing positive ones.,What should be done to combat the negative feelings towards the practice of social disciplines and personal observances?
2,34,वितर्का हिंसादयः कृतकारितानुमोदिता लोभक्रोधमोहपूर्वका मृदुमध्याधिमात्रा दुःखाज्ञानानन्तफला इति प्रतिपक्षभावनम्,"Negative thoughts such as violence etc. arise from greed, anger, or attachment, and regardless of their intensity such as less, medium or excessive, inevitably lead to ignorance and suffering. Therefore, it is necessary to cultivate counteracting (i.e.positive) thoughts.",What are the features of negative feelings? What are the details of the negative feelings one encounters on the path of Yoga? What kind of negative feelings one faces in the path of Yoga and how to counter them?
2,35,अहिंसाप्रतिष्ठायां तत्सन्निधौ वैरत्यागः,"When one is strongly rooted in non-violence, it fosters an environment (around that yogi) where others resign their hatred.",What are the merits of practicing non-violence? WHat happens when one gets firmly established in the virtue of non-violence?
2,36,सत्यप्रतिष्ठायां क्रियाफलाश्रयत्वम्,"Those who become firmly rooted in truthfulness, experience every action and its outcome in accordance with the truth.",What are the merits of practicing truthfulness? What happens when one gets firmly established in the virtue of truthfulness?
2,37,अस्तेयप्रतिष्ठायां सर्वरत्नोपस्थानम्,"For those established in the virtue of non-stealing (or not accepting which is not their's), entire treasures are revealed.",What are the benefits of non-stealth? What happens when one firmly refrains from stealing?
2,38,ब्रह्मचर्यप्रतिष्ठायां वीर्यलाभः,Celibacy when deeply ingrained secures energy.,What is the worth of unshakable celibacy? Is celibacy useful in spirituality? Is celibacy useful?
2,39,अपरिग्रहस्थैर्ये जन्मकथंतासंबोधः,"Being resolute in the state of non-greediness (desirelessness), the understanding of (previous) births is revealed. ",What is the reward of establishing oneself in the virtue of non-hoarding? Can we remember our past births?
2,40,शौचात्स्वाङ्गजुगुप्सा परैरसंसर्गः,"Practicing cleanliness, one becomes free from the body's compulsions and from the need of (physically) associating with others.",What are the benefits of practicing (physical) cleanliness?
2,41,सत्त्वशुद्धिसौमनस्यैकाग्र्येन्द्रियजयात्मदर्शनयोग्यत्वानि च,"Developing sattva through the practice of cleanliness (mental purification) leads to radiance, increased ability to focus, sense control, and ability for self-awareness.",What are the benefits of mental cleanliness?
2,42,संतोषादनुत्तमः सुखलाभः,Contentment brings an unmatched sense of joy.,What is the reward of cultivating contentment?
2,43,कायेन्द्रियसिद्धिरशुद्धिक्षयात्तपसः,"Through intense discipline, impurities are burned away, and the body and senses become highly refined.",What are the benefits of successful practice of austerity (intense discipline)? 
2,44,स्वाध्यायादिष्टदेवतासंप्रयोगः,Self-reflection strengthens the connection with one's personal deity.,What is the merit of self reflection (self-study)? How can strengthen our relation with God?
2,45,समाधिसिद्धिरीश्वरप्रणिधानात्,Devotion towards God or Ishvara* bestows the competence to attain samadhi* (liberation).,What is the reward for devotion towards God? What is the reward for devotion towards Ishvara?
2,46,स्थिरसुखमासनम्,The body should actualize both steadiness and ease during a psychophysical posture.,What qualifies as psychophysical posture? What are the qualities of psychophysical posture?
2,47,प्रयत्नशैथिल्यानन्तसमापत्तिभ्याम्,"This is possible when all effort is relaxed, and a sense of unity between the body and the infinite universe emerges.",What is the means to achieve psychophysical posture? What is the method to establish oneself in psychophysical posture?
2,48,ततो द्वंद्वानभिघातः,"At this point, the dualities of opposites no longer disturbs one.",What is the marker to gauge the success in psychophysical posture? WHat is the fruit of performing asana? What is the effect of psychophysical posture? What does practice of psychophysical posture result in?
2,49,तस्मिन्सति श्वासप्रश्वासयोर्गतिविच्छेदः प्राणायामः,"After the psychophysical posture is achieved, breath regulation follows. It happens when inhalations and exhalations are regulated.",What constitutes Pranayama? What constitutes Breath Control in Yoga? What is the prerequsite to the practice of breath control?
2,50,बाह्याभ्यन्तरस्तम्भवृत्तिर्देशकालसंख्यामि परिदृष्टो दीर्घसूक्ष्मः,"(Breath regulation or Pranayama* has three dimensions) inhalation, exhalation, and the (various) pauses (kumbhakka*). By paying attention to the place, time and number of each aspects, they become more subtle and extended.","What are the types of Pranayama? What are the types of breath control? What are the names, types and details of the breath control?"
2,51,बाह्याभ्यन्तरविषयाक्षेपी चतुर्थः,"In the fourth dimension (of breath regulation), the division between inhaling and exhaling disappears.",WHat is the fourth type of breath control called? What constitutes the fourth type of breath control?
2,52,ततः क्षीयते प्रकाशावरणम्,"Then, the concealer of the illumination (sattva*) fades.",What is the eventual outcome of breath control? 
2,53,धारणासु च योग्यता मनसः,"Also, the capability of the mind to concentrate (dharana*) is actualized.",What is the benefit of breath control? What is the pre-requisite for meditation in Yoga? 
2,54,स्वविषयासंप्रयोगे चित्तस्वरूपानुकार इवेन्द्रियाणां प्रत्याहारः,"When the senses are disengaged from their respective sense objects and identifies with the nature of the chitta, then sense withdrawal (Pratyahara*) happens. ",What constitutes as withdrawl of the senses for meditation? What is withdrawl of the senses for meditation? 
2,55,ततः परमावश्यतेन्द्रियाणाम्,"Afterwards, the supreme mastery over the senses is attained.",What is the result of withdrawl of the senses for meditation? What is the fruit of withdrawl of the senses for meditation? What is the marker for success in withdrawl of the senses for meditation?
3,1,देशबन्धश्चित्तस्य धारणा,Concentration/Attention is focusing on a single place.,How to focus? How to concentrate? What is concentration? What is focus?
3,2,तत्र प्रत्ययैकतानता ध्यानम्,"In meditation, one's entire perceptual experience becomes uninturreptedly aligned with that object.",What actually happens in meditation? How do we know we are meditating?
3,3,तदेवार्थमात्रनिर्भास स्वरूपशून्यमिव समाधिः,"When only the essence of that object (used for dhyana) remains, and (chitta's) own functions (other cognitive abilities) appears non-existent then samadhi* has been achieved.",How to know one has succeeded in developing focus or concentration? What is the sign of success in developing focus or concentration? How to develop single pointedness? How to acheive Shunyata?
3,4,त्रयमेकत्र संयमः,"The pure state of cognition (samyama*) involves all the (above) three (concentration, meditative absorption, and integration towards a single object.) ",What is Samyama? What is Sanyam? What is the pure state of cognition?
3,5,तज्जयात्प्रज्ञालोकः,"When one masters this discipline, light of wisdom dawns. [Stages of this wisdom has been mentioned in sutra 2.27]",What are the fruits or rewards of Samyama or Sanyam? How to develop insight? Why should one practice/develop concentration?
3,6,तस्य भूमिषु विनियोगः,It (Samyama* or pure state of cognition) should be applied (sequentially) on various stages or planes (of refined cognition).,Why should one practice Yoga sequentially? What is the importance of doing Yoga sequentially?
3,7,त्रयमन्तरङ्गं पूर्वेभ्यः,"These three limbs (concentration, absorption, and integration) are innermost with respect to the previous five.",What are the subtle paths of Yoga? How many subtle limbs of Yoga are there? How many categories are the eight paths of Yoga divided in? 
3,8,तदपि बहिरङ्गं निर्बीजस्य,"However, even these three are considered extrinsic with respect to the state of integration that bears no potential/seeds (Nirbeej Samadhi*). ",Which limb(s) of Yoga preceeds the deepest meditaive absorption? What happens when all the eight limbs of Astanga Yoga reach their conclusion?
3,9,व्युत्थाननिरोधसंस्कारयोरभिभवप्रादुर्भावौ निरोधक्षणचित्तान्वयो निरोधपरिणामः,The cyclical suppression of worldly or distracting smaskaras and emergence of restraining (nirodha*) samskaras eventually fades the former resulting in the frequent contact of the chitta with restraining samskaras. This enables the state of restraint or Nirodha-parinama*.,What happens when the 'nirodha' state of mind is achieved? How to know that the mind is controlled? How does the mind behave when it has been controlled? 
3,10,तस्य प्रशान्तवाहिता संस्कारात्,The unhinged fludity of the thoughts in the mind is due to the samskaras. ,Why does the mind behave in an uncontrolled manner? What is the reason for the continous thoughts on our mind? 
3,11,सर्वार्थतैकाग्रतयोः क्षयोदयौ चित्तस्य समाधिपरिणामः,"In the state of liberation (Samadhi parinama*), the chitta eliminates multi-pointedness and develops one-pointedness.",How does the mind behave when it enters deep concentration? What happens to chitta or the mind after liberation? What happens to chitta or the mind in samadhi?
3,12,ततः पुनः शान्तोदितौ तुल्यप्रत्ययौ चित्तस्यैकाग्रतापरिणामः,"Then, again, the one object or idea of focus present/arising on the chitta is identical to the one which subsides. This state is of one-pointedness (Ekagrata parinama*).",How does the mind behave during the process of deep meditation?
3,13,एतेन भूतेन्द्रियेषु धर्मलक्षणावस्थापरिणामा व्याख्याताः,"Similar to this (like the above changes in consiousness), dynamic changes (due to interplay of gunas) in material objects and senses can be interpreted at three levels : funtion (dharma*), timespan (lakshana*) and condition (awastha*).",How does the changes in the material world appear as we progress in meditation? What are the levels at which changes in the material world can be noticed/observed as we progress in our ability to meditate?
3,14,शान्तोदिताव्यपदेश्यधर्मानुपाती धर्मी,"The underlying foundation (dharmi*) remains the same, irrespective of whether it manifests in a particular form or funtion (dharma*) - before, during, or after the transformation.",What aspects of 'observation' does not change as we progress towards deeper awareness?
3,15,क्रमान्यत्व परिणामान्यत्वे हेतुः,"These transformations (of objects/awareness) seem to occur in a specific manner, which is caused by change in sequence (of characteristics).",How does one interpret the transformation appearing while one meditates?
3,16,परिणामत्रयसंयमादतीतानागतज्ञानम्,"By carefully observing (a pure state of cognition or samyama*) the three aspects of change - function, timespan, and condition, one can gain insights into both the past and future.",How does our awareness refine as we meditate? 
