Chapter,Verse,Sanskrit
1,34,लोक पालोपमं नाथमकामयत मेदिनी | एतैस्तु बहुभिर्युक्तं गुणैरनुपमैस्सुतम् ||
1,35,दृष्ट्वा दशरथो राजा चक्रे चिन्तां परन्तपः | अथ राज्ञो बभूवैवं वृद्धस्य चिरजीविनः ||
1,36,प्रीतिरेषा कथं रामो राजा स्यान्मयि जीवति | एषा ह्यस्य परा प्रीतिर्हृदि संपरिवर्तते ||
1,37,कदा नाम सुतं द्रक्ष्याम्यभिषिक्तमहं प्रियम् | वृद्धिकामो हि लोकस्य सर्वभूतानुकम्पनः ||
1,38,मत्तः प्रियतरो लोके पर्जन्य इव वृष्टिमान् | यमशक्रसमो वीर्ये बृहस्पतिसमो मतौ ||
1,39,महीधरसमो धृत्यां मत्तश्च गुणवत्तरः | महीमहमिमां कृत्स्नामधितिष्ठन्तमात्मजम् ||
1,40,अनेन वयसा दृष्ट्वा यथास्वर्गमवाप्नुयाम् | इत्येतैर्विविधैस्तैस्तैरन्यपार्थिवदुर्लभैः ||
1,41,शिष्टैरपरिमेयैश्च लोके लोकोत्तरैर्गुणैः | तं समीक्ष्य महाराजो युक्तं समुदितैश्शुभैः ||
1,42,निश्चित्य सचिवैस्सार्धं युवराजममन्यत | दिव्यन्तरिक्षे भूमौ च घोरमुत्पातजं भयम् ||
1,43,स़ञ्चचक्षेऽथ मेधावी शरीरे चात्मनो जराम् | पूर्णचन्द्राननस्याथ शोकापनुदमात्मनः ||
1,44,लोके रामस्य बुबुधे सम्प्रियत्वं महात्मनः | आत्मनश्च प्रजानां च श्रेयसे च प्रियेण च ||
1,45,प्राप्तकालेन धर्मात्मा भक्त्या त्वरितवान् नृपः | नानानगरवास्तव्यान्पृथग्जानपदानपि ||
1,46,समानिनाय मेदिन्याः प्रधानान्पृथिवीपतीन् | न तु केकयराजानं जनकं वा नराधिपः ||
1,47,त्वरया चानयामास पश्चात्तौ श्रोष्यतः प्रियम् | तान्वेश्मनानाभरणैर्यथाऽर्हं प्रतिपूजितान् ||
1,48,ददर्शालङ्कृतो राजा प्रजापतिरिव प्रजाः | अथोपविष्टे नृपतौ तस्मिन्परबलार्दने ||
1,49,ततः प्रविविशु श्शेषा राजानो लोकसम्मताः | अथ राजवितीर्णेषु विविधेष्वासनेषु च ||
1,50,राजानमेवाभिमुखाः निषेदुर्नियता नृपाः | स लब्धमानैर्विनयान्वितैर्नृपैः पुरालयैर्जानपदैश्च मानदैः | उपोपविष्टैर्नृपतिर्वृतो बभौ सहस्रचक्षुर्भगवानिवामरैः ||
2,1,ततः परिषदं सर्वामामन्त्र्य वसुधाधिपः | हितमुद्धर्षणं चैवमुवाच प्रथितं वचः ||
2,2,दुन्दुभिस्वनकल्पेन गम्भीरेणानुनादिना | स्वरेण महता राजा जीमूत इव नादयन् ||
2,3,राजलक्षणयुक्तेन कान्तेनानुपमेन च | उवाच रसयुक्तेन स्वरेण नृपतिर्नृपान् ||
2,4,विदितं भवतामेतद्यथा मे राज्यमुत्तमम् | पूर्वकैर्मम राजेन्द्रैस्सुतवत्परिपालितम् ||
2,5,सोऽहमिक्ष्वाकुभि स्सर्वैर्नरेन्द्रैः परिपालितम् | श्रेयसा योक्तुकामोऽस्मि सुखार्हमखिलं जगत् ||
2,6,मयाप्याचरितं पूर्वैः पन्थानमनुगच्छता | प्रजा नित्यमनिद्रेण यथाशक्त्यभिरक्षिताः ||
2,7,इदं शरीरं कृत्स्नस्य लोकस्य चरता हितम् | पाण्डुरस्याऽतपत्रस्यच्छायायां जरितं मया ||
2,8,प्राप्य वर्षसहस्राणि बहून्यायूंषि जीवतः | जीर्णस्यास्य शरीरस्य विश्रान्तिमभिरोचये ||
2,9,राजप्रभावजुष्टां हि दुर्वहामजितेन्द्रियैः | परिश्रान्तोऽस्मि लोकस्य गुर्वीं धर्मधुरं वहन् ||
2,10,सोऽहं विश्रममिच्छामि पुत्रं कृत्वा प्रजाहिते | सन्निकृष्टानिमान्सर्वाननुमान्य द्विजर्षभान् ||
2,11,अनुजातो हि मां सर्वैर्गुणैर्ज्येष्ठो ममात्मजः | पुरन्दरसमो वीर्ये रामः परपुरञ्जयः ||
2,12,तं चन्द्रमिव पुष्येण युक्तं धर्मभृतां वरम् | यौवराज्ये नियोक्ताऽस्मि प्रीतः पुरुषपुङ्गवम् ||
2,13,अनुरूपस्स वै नाथो लक्ष्मीवान् लक्ष्मणाग्रजः | त्रैलोक्यमपि नाथेन येन स्यान्नाथवत्तरम् ||
2,14,अनेन श्रेयसा सद्यस्संयोज्यैवमिमां महीम् | गतक्लेशो भविष्यामि सुते तस्मिन्निवेश्य वै ||
2,15,यदिदं मेऽनुरूपार्थं मया साधु सुमन्त्रितम् | भवन्तो मेऽनुमन्यन्तां कथं वा करवाण्यहम् ||
2,16,यद्यप्येषा मम प्रीतिर्हितमन्यद्विचिन्त्यताम् | अन्या मध्यस्थचिन्ता हि विमर्दाभ्यधिकोदया ||
2,17,इति ब्रुवन्तं मुदिताः प्रत्यनन्दन्नृपा नृपम् | वृष्टिमन्तं महामेघं नर्दन्त इव बर्हिणः ||
2,18,स्निग्धोऽनुनादी संजज्ञे तत्र हर्षसमीरितः | जनौघोद्घुष्टसन्नादो विमानं कम्पयन्निव ||
2,19,तस्य धर्मार्थविदुषो भावमाज्ञाय सर्वशः | ब्राह्मणा जनमुख्याश्च पौरजानपदै स्सह ||
2,20,समेत्य मन्त्रयित्वा तु समतागतबुद्धयः | ऊचुश्च मनसा ज्ञात्वा वृद्धं दशरथं नृपम् ||
2,21,अनेकवर्षसाहस्रो वृद्धस्त्वमसि पार्थिव | स रामं युवराजानमभिषिञ्चिस्व पार्थिवम् ||
2,22,इच्छामो हि महाबाहुं रघुवीरं महाबलम् | गजेन महताऽयान्तं रामं छत्रावृताननम् ||
2,23,इति तद्वचनं श्रुत्वा राजा तेषां मनःप्रियं | अजानन्निव जिज्ञासुरिदं वचनमब्रवीत् ||
2,24,श्रुत्वैव वचनं यन्मे राघवं पतिमिच्छथ | राजान स्संशयोऽयं मे किमिदं ब्रूत तत्त्वतः ||
2,25,कथं नु मयि धर्मेण पृथिवीमनुशासति | भवन्तो द्रष्टुमिच्छन्ति युवराजं ममात्मजम् ||
2,26,ते तमूचुर्महात्मानं पौरजानपदैस्सह | बहवो नृप कल्याणा गुणाः पुत्रस्य सन्ति ते ||
2,27,गुणान् गुणवतो देव देवकल्पस्य धीमतः | प्रियानानन्दनान्कृत्स्नान्प्रवक्ष्यामोऽद्य तान् शृणु ||
2,28,दिव्यैर्गुणैश्शक्रसमो रामस्सत्यपराक्रमः | इक्ष्वाकुभ्योऽपि सर्वेभ्यो ह्यतिरिक्तो विशांपते ||
2,29,राम स्सत्पुरुषो लोके सत्यधर्मपरायणः | साक्षाद्रामाद्विनिर्वृत्तो धर्मश्चापि श्रिया सह ||
2,30,प्रजासुखत्त्वे चन्द्रस्य वसुधायाः क्षमागुणैः | बुद्ध्या बृहस्पतेस्तुल्यो वीर्ये साक्षाच्छचीपतेः ||
2,31,धर्मज्ञ स्सत्यसन्धश्च शीलवाननसूयकः | क्षान्त स्सान्त्वयिता श्लक्ष्णः कृतज्ञो विजितेन्द्रियः ||
2,32,मृदुश्च स्थिरचित्तश्च सदा भव्योऽनसूयकः | प्रियवादी च भूतानां सत्यवादी च राघवः ||
2,33,बहुश्रुतानां वृद्धानां ब्राह्मणानामुपासिता | तेनास्येहाऽतुला कीर्तिर्यशस्तेजश्च वर्धते ||
2,34,देवासुरमनुष्याणां सर्वास्त्रेषु विशारदः | सम्यग्विद्याव्रतस्नातो यथावत्साङ्गवेदवित् ||
2,35,गान्धर्वे च भुवि श्रेष्ठो बभूव भरताग्रजः | कल्याणाभिजन स्साधुरदीनात्मा महामतिः ||
2,36,द्विजैरभिविनीतश्च श्रेष्ठैर्धर्मार्थनैपुणैः | यदा व्रजति सङ्ग्रामं ग्रामार्थे नगरस्य वा ||
2,37,गत्वा सौमित्रिसहितो नाऽविजित्य निवर्तते | सङ्ग्रामात्पुनरागम्य कुञ्जरेण रथेन वा ||
2,38,पौरान् स्वजनवन्नित्यं कुशलं परिपृच्छति | पुत्रेष्वग्निषु दारेषु प्रेष्यशिष्यगणेषु च ||
2,39,निखिलेनानुपूर्व्याच्च पितापुत्रानिवौरसान् | शुश्रूषन्ते च व श्शिष्याः कच्चित्कर्मसु दंशिताः ||
2,40,इति नः पुरुषव्याघ्र स्सदा रामोऽभिभाषते | व्यसनेषु मनुष्याणां भृशं भवति दुःखितः ||
2,41,उत्सवेषु च सर्वेषु पितेव परितुष्यति | सत्यवादी महेष्वासो वृद्धसेवी जितेन्द्रियः ||
2,42,स्मितपूर्वाभिभाषी च धर्मं सर्वात्मना श्रितः | सम्यग्योक्ता श्रेयसां च न विगृह्य कथारुचिः ||
2,43,उत्तरोत्तरयुक्तौ च वक्ता वाचस्पतिर्यथा | सुभ्रूरायत ताम्राक्ष स्साक्षाद्विष्णुरिव स्वयम् ||
2,44,रामो लोकाभिरामोऽयं शौर्यवीर्यपराक्रमैः | प्रजापालनतत्त्वज्ञो न रागोपहतेन्द्रियः ||
2,45,शक्तस्त्रैलोक्यमप्येको भोक्तुं किन्नु महीमिमाम् | नास्य क्रोधः प्रसादश्च निरर्थोऽस्ति कदाचन ||
2,46,हन्त्येव नियमाद्वध्यानवध्ये न च कुप्यति | युनक्त्यर्थैः प्रहृष्टश्च तमसौ यत्र तुष्यति ||
2,47,शान्तै स्सर्वप्रजाकान्तैः प्रीतिसञ्जननैर्नृणाम् | गुणैर्विरुरुचे रामो दीप्त स्सूर्य इवांशुभिः ||
2,48,तमेवंगुणसम्पन्नं रामं सत्यपराक्रमम् | लोकपालोपमं नाथमकामयत मेदिनी ||
2,49,वत्सश्श्रेयसि जातस्ते दिष्ट्याऽसौ तव राघव | दिष्ट्या पुत्रगुणैर्युक्तो मारीच इव काश्यपः ||
2,50,बलमारोग्यमायुश्च रामस्य विदितात्मनः | देवासुरमनुष्येषु सगन्धर्वोरगेषु च ||
2,51,आशंसते जनस्सर्वो राष्ट्रे पुरवरे तथा | आभ्यन्तरश्च बाह्यश्च पौरजानपदो जनः ||
2,52,स्त्रियो वृद्धास्तरुण्यश्च सायं प्रातस्समाहिताः | सर्वान् देवान् नमस्यन्ति रामस्यार्थे यशस्विनः ||
2,53,तेषामायाचितं देव त्वत्प्रसादात्समृद्ध्यताम् | राममिन्दीवरश्यामं सर्वशत्रुनिबर्हणम् ||
2,54,पश्यामो यौवराज्यस्थं तव राजोत्तमात्मजम् | तं देव देवोपममात्मजं ते सर्वस्य लोकस्य हिते निविष्टम् | हिताय नः क्षिप्रमुदारजुष्टं मुदाऽभषेक्तुं वरद त्वमर्हसि ||
3,1,तेषामञ्जलिपद्मानि प्रगृहीतानि सर्वशः | प्रतिगृह्याब्रवीद्राजा तेभ्यः प्रियहितं वचः ||
3,2,अहोऽस्मि परमप्रीतः प्रभावश्चातुलो मम | यन्मे ज्येष्ठं प्रियं पुत्रं यौवराज्यस्थमिच्छथ ||
3,3,इति प्रत्यर्च्य तान्राजा ब्राह्मणानिदमब्रवीत् | वसिष्ठं वामदेवं च तेषामेवोपशृण्वताम् ||
3,4,चैत्रश्श्रीमानयं मासः पुण्यः पुष्पितकाननः | यौवराज्याय रामस्य सर्वमेवोपकल्प्यताम् ||
3,5,राज्ञस्तूपरते वाक्ये जनघोषो महानभूत् | शनैस्तस्मिन्प्रशान्ते च जनघोषे जनाधिपः ||
3,6,वसिष्ठं मुनिशार्दूलं राजा वचनमब्रवीत् | अभिषेकाय रामस्य यत्कर्म सपरिच्छदम् ||
3,7,तदद्य भगवन् सर्वमाज्ञापयितु मर्हसि | तच्छ्रुत्वा भूमिपालस्य वसिष्ठो द्विजसत्तमः ||
3,8,आदिदेशाग्रतो राज्ञ स्स्थितान्युक्तान् कृताञ्जलीन् | सुवर्णादीनि रत्नानि बलीन् सर्वौषधीरपि ||
3,9,शुक्लमाल्यांश्च लाजांश्च पृथक्च मधुसर्पिषी | अहतानि च वासांसि रथं सर्वायुधान्यपि ||
3,10,चतुरङ्गबलं चैव गजं च शुभलक्षणम् | चामरव्यजने श्वेते ध्वजं छत्रं च पाण्डुरम् ||
3,11,शतं च शातकुम्भानां कुम्भानाग्निवर्चसाम् | हिरण्यशृङ्गमृषभं समग्रं व्याघ्रचर्म च ||
3,12,उपस्थापयत प्रातरग्न्यगारं महीपतेः | यच्चान्यत्किञ्चिदेष्टव्यं तत्सर्वमुपकल्प्यताम् ||
3,13,अन्तःपुरस्य द्वाराणि सर्वस्य नगरस्य च | चन्दनस्रग्भिरर्च्यन्तां धूपैश्च घ्राणहारिभिः ||
3,14,प्रशस्तमन्नं गुणवद्दधिक्षीरोपसेचनम् | द्विजानां शतसाहस्रे यत्प्रकाममलं भवेत् ||
3,15,सत्कृत्य द्विजमुख्यानां श्वःप्रभाते प्रदीयताम् | घृतं दधि च लाजाश्च दक्षिणाश्चापि पुष्कलाः ||
3,16,सूर्येऽभ्युदितमात्रे श्वो भविता स्वस्तिवाचनम् | ब्राह्मणाश्च निमन्त्र्यन्तां कल्प्यन्तामासनानि च ||
3,17,आबध्यन्तां पताकाश्च राजमार्गश्च सिंच्यताम् | सर्वे च तालावचरा गणिकाश्च स्वलङ्कृताः ||
3,18,कक्ष्यां द्वितीयामासाद्य तिष्ठन्तु नृपवेश्मनः | देवायतनचैत्येषुसान्नभक्षा स्सदक्षिणाः ||
3,19,उपस्थापयितव्या स्स्युर्माल्ययोग्याः पृथक्पृथक् | दीर्घासिबद्धा योधाश्च सन्नद्धा मृष्टवाससः ||
3,20,महाराजाङ्गणं सर्वे प्रविशन्तु महोदयम् | एवं व्यादिश्य विप्रौ तौ क्रियास्तत्र सुनिष्ठितौ ||
3,21,चक्रतुश्चैव यच्छेषं पार्थिवाय निवेद्य च | कृतमित्येव चाब्रूतां अभिगम्य जगत्पतिम् ||
3,22,यथोक्तवचनं प्रीतौ हर्षयुक्तौ द्विजर्षभौ | ततस्सुमन्त्रं द्युतिमान्राजा वचनमब्रवीत् | रामः कृतात्मा भवता शीघ्रमानीयतामिति ||
3,23,स तथेति प्रतिज्ञाय सुमन्त्रो राजशासनात् ||
3,24,रामं तत्रानयाञ्चक्रे रथेन रथिनां वरम् | अथ तत्र समासीना स्तदा दशरथं नृपम् ||
3,25,प्राच्योदीच्याः प्रतीच्याश्च दाक्षिणात्याश्च भूमिपाः | म्लेच्छाश्चार्याश्च ये चान्ये वनशैलान्तवासिनः ||
3,26,उपासाञ्चक्रिरे सर्वे तं देवा इव वासवम् | तेषां मध्ये स राजर्षिर्मरुतामिव वासवः ||
3,27,प्रासादस्थो रथगतं ददर्शायान्तमात्मजम् | गन्धर्वराजप्रतिमं लोके विख्यातपौरुषम् ||
3,28,दीर्घबाहुं महासत्त्वं मत्तमातङ्गगामिनम् | चन्द्रकान्ताननं राममतीव प्रियदर्शनम् ||
3,29,रूपौदार्यगुणैः पुंसां दृष्टिचित्तापहारिणम् | घर्माभितप्ताः पर्जन्यं ह्लादयन्तमिव प्रजाः ||
3,30,न ततर्प समायान्तं पश्यमानो नराधिपः | अवतार्य सुमन्त्रस्तं राघवं स्यन्दनोत्तमात् ||
3,31,पितुस्समीपं गच्छन्तं प्राञ्जलिः पृष्ठतोऽन्वगात् | स तं कैलासशृङ्गाभं प्रासादं नरपुङ्गवः ||
3,32,आरुरोह नृपं द्रष्टुं सह सूतेन राघवः | स प्राञ्जलिरभिप्रेत्य प्रणतः पितुरन्तिके ||
3,33,नाम स्वं श्रावयन्रामो ववन्दे चरणौ पितुः | तं दृष्ट्वा प्रणतं पार्श्वे कृताञ्जलिपुटं नृपः ||
3,34,गृह्याञ्जलौ समाकृष्य सस्वजे प्रियमात्मजम् | तस्मै चाभ्युदितं दिव्यं मणिकाञ्चनभूषितम् ||
3,35,दिदेश राजा रुचिरं रामाय परमासनम् | तदासनवरं प्राप्य व्यदीपयत राघवः ||
3,36,स्वयैव प्रभया मेरुमुदये विमलो रविः | तेन विभ्राजता तत्र सा सभाऽभिव्यरोचत ||
3,37,विमलग्रहनक्षत्रा शारदी द्यौरिवेन्दुना | तं पश्यमानो नृपतिस्तुतोष प्रियमात्मजम् ||
3,38,अलङ्कृतमिवात्मानमादर्शतलसंस्थितम् | स तं सस्मितमाभाष्य पुत्रं पुत्रवतां वरः ||
3,39,उवाचेदं वचो राजा देवेन्द्रमिव काश्यपः | ज्येष्ठायामसि मे पत्न्यां सदृश्यां सदृशस्सुतः ||
3,40,उत्पन्नस्त्वं गुणश्रेष्ठो मम रामात्मजः प्रियः | यतस्त्वया प्रजाश्चेमा स्स्वगुणैरनुरञ्जिताः ||
3,41,तस्मात्त्वं पुष्ययोगेन यौवराज्यमवाप्नुहि | कामतस्त्वं प्रकृत्यैव विनीतो गुणवानसि ||
3,42,गुणवत्यपि तु स्नेहात्पुत्र वक्ष्यामि ते हितम् | भूयो विनयमास्थाय भव नित्यं जितेन्द्रियः ||
3,43,कामक्रोधसमुत्थानि त्यजेथा व्यसनानि च | परोक्षया वर्तमानो वृत्त्या प्रत्यक्षया तथा ||
3,44,अमात्यप्रभृतीस्सर्वाःप्रकृतीश्चानुरञ्जय | कोष्ठागारायुधागारैःकृत्वा सन्निचयान्बहून् ||
3,45,तुष्टानुरक्तप्रकृतिर्यः पालयति मेदिनीम् | तस्यनन्दन्ति मित्राणि लब्ध्वाऽमृतमिवामराः ||
3,46,तस्मात्त्वमपि चात्मानं नियम्यैवं समाचर | तच्छ्रुत्वा सुहृदस्तस्य रामस्य प्रियकारिणः ||
3,47,त्वरिता श्शीघ्रमभ्येत्य कौशल्यायै न्यवेदयन् | सा हिरण्यं च गाश्चैव रत्नानि विविधानि च ||
3,48,व्यादिदेश प्रियाख्येभ्यः कौशल्या प्रमदोत्तमा | अथाऽभिवाद्य राजानं रथमारुह्य राघवः ||
3,49,ययौ स्वं द्युतिमद्वेश्म जनौघैः प्रतिपूजितः | ते चापि पौरा नृपतेर्वचस्त च्छृत्वा तथा लाभमिवेष्टमाशु | नरेन्द्रमामन्त्र्य गृहाणि गत्वा देवान्समानर्चुरतिप्रहृष्टाः ||
4,1,गतेष्वथ नृपो भूयः पौरेषु सह मन्त्रिभिः | मन्त्रयित्वा ततश्चक्रे निश्चयज्ञस्सनिश्चयम् ||
4,2,श्व एव पुष्यो भविताश्वोऽभिषेच्यस्तु मे सुतः | रामो राजीवताम्राक्षो यौवराज्य इति प्रभुः ||
4,3,अथाऽन्तर्गृहमाविश्य राजा दशरथस्तदा | सूतमामन्त्रयामास रामं पुनरिहानय ||
4,4,प्रतिगृह्य स तद्वाक्यं सूतः पुनरुपाययौ | रामस्य भवनं शीघ्रं राममानयितुं पुनः ||
4,5,द्वार्स्थैरावेदितं तस्य रामायाऽऽगमनं पुनः | श्रुत्वैव चापि रामस्तं प्राप्तं शङ्कान्वितोऽभवत् ||
4,6,प्रवेश्य चैनं त्वरितं रामो वचनमब्रवीत् | यदागमनकृत्यं ते भूयस्तद्ब्रूह्यशेषतः ||
4,7,तमुवाच तत स्सूतो राजा त्वां द्रष्टुमिच्छति | श्रुत्वा प्रमाणमत्र त्वं गमनायेतराय वा ||
4,8,इति सूतवच श्श्रुत्वा रामोऽथ त्वरयाऽन्वितः | प्रययौ राजभवनं पुनर्द्रष्टुं नरेश्वरम् ||
4,9,तं श्रुत्वा समनुप्राप्तं रामं दशरथो नृपः | प्रवेशयामास गृहं विवक्षुः प्रियमुत्तमम् ||
4,10,प्रविशन्नेव च श्रीमान्राघवो भवनं पितुः | ददर्श पितरं दूरात्प्रणिपत्य कृताञ्जलिः ||
4,11,प्रणमन्तं समुत्थाप्य तं परिष्वज्य भूमिपः | प्रदिश्य चास्मै रुचिरमासनं पुनरब्रवीत् ||
4,12,राम वृद्धोऽस्मि दीर्घायुर्भुक्ता भोगा मयेप्सिताः | अन्नवद्भिः क्रतुशतै स्तथेष्टं भूरिदक्षिणैः ||
4,13,जातमिष्टमपत्यं मे त्वमद्यानुपमं भुवि | दत्तमिष्टमधीतं च मया पुरुषसत्तम ||
4,14,अनुभूतानि चेष्टानि मया वीर सुखान्यपि | देवर्षिपितृविप्राणामनृणोऽस्मि तथाऽत्मनः ||
4,15,न किञ्चिन्मम कर्तव्यं तवान्यत्राभिषेचनात् | अतो यत्त्वामहं ब्रूयां तन्मे त्वं कर्तुमर्हसि ||
4,16,अद्य प्रकृतयस्सर्वास्त्वामिच्छन्ति नराधिपम् | अतस्त्वां युवराजानमभिषेक्ष्यामि पुत्रक ||
4,17,अपि चाद्याऽशुभान्राम स्वप्ने पश्यामि दारुणान् | सनिर्घाता दिवोल्का च पततीह महास्वना ||
4,18,अवष्टब्धं च मे राम नक्षत्रं दारुणैर्ग्रहैः | आवेदयन्ति दैवज्ञाः सूर्याङ्गारकराहुभिः ||
4,19,प्रायेण हि निमित्तानामीदृशानां समुद्भवे | राजा हि मृत्युमाप्नोति घोरां वाऽऽपदमृच्छति ||
4,20,तद्यावदेव मे चेतो न विमुह्यति राघव | तावदेवाभिषिञ्चस्व चला हि प्राणिनां मतिः ||
4,21,अद्य चन्द्रोऽभ्युपगतः पुष्यात्पूर्वं पुनर्वसू | श्वः पुष्ययोगं नियतं वक्ष्यन्ते दैवचिन्तकाः ||
4,22,ततः पुष्येऽभिषिञ्चस्व मनस्त्वरयतीव माम् | श्वस्त्वाऽहमभिषेक्ष्यामि यौवराज्ये परन्तप ||
4,23,तस्मात्त्वयाऽद्य प्रभृति निशेयं नियतात्मना | सह वध्वोपवस्तव्या दर्भप्रस्तरशायिना ||
4,24,सुहृदश्चाप्रमत्तास्त्वां रक्षन्त्वद्य समन्ततः | भवन्ति बहु विघ्नानि कार्याण्येवंविधानि हि ||
4,25,विप्रोषितश्च भरतो यावदेव पुरादितः | तावदेवाभिषेकस्ते प्राप्तकालो मतो मम ||
4,26,कामं खलु सतां वृत्ते भ्राता ते भरतस्स्थितः | ज्येष्ठानुवर्ती धर्मात्मा सानुक्रोशो जितेन्द्रियः ||
4,27,किन्तु चित्तं मनुष्याणामनित्यमिति मे मतिः | सतां च धर्मनित्यानां कृतशोभि च राघव ||
4,28,इत्युक्त स्सोऽभ्यनुज्ञात श्श्वोभाविन्यभिषेचने | व्रजेति रामः पितरमभिवाद्याभ्ययाद्गृहम् ||
4,29,प्रविश्य चात्मनो वेश्मराज्ञोद्दिष्टेऽभिषेचने | तत्क्षणेन विनिर्गम्य मातुरन्तपुरं ययौ ||
4,30,तत्र तां प्रवणामेव मातरं क्षौमवासिनीम् | वाग्यतां देवतागारे ददर्शाऽऽयाचतीं श्रियम् ||
