1,"[धृ]
पराप्तान आहुः संजय पाण्डुपुत्रान; उपप्लव्ये तान विजानीहि गत्वा
19,"अवरुद्धा बलिनः केकयेभ्यॊ; महेष्वासा भरातरः पञ्च सन्ति
केकयेभ्यॊ राज्यम आकाङ्क्षमाणा; युद्धार्थिनश चानुवसन्ति पार्थान"
20,"सर्वे च वीराः पृथिवीपतीनां; समानीताः पाण्डवार्थे निविष्टाः
शूरान अहं भक्तिमतः शृणॊमि; परीत्या युक्तान संश्रितान धर्मराजम"
21,"गिर्याश्रया दुर्ग निवासिनश च; यॊधाः पृथिव्यां कुलजा विशुद्धाः
मलेच्छाश च नानायुध वीर्यवन्तः; समागताः पाण्डवार्थे निविष्टाः"
22,"पाण्ड्यश च राजामित इन्द्रकल्पॊ; युधि परवीरैर बहुभिः समेतः
समागतः पाण्डवार्थे महात्मा; लॊकप्रवीरॊ ऽपरतिवीर्य तेजाः"
23,"अस्त्रं दरॊणाद अर्जुनाद वासुदेवात; कृपाद भीष्माद येन कृतं शृणॊमि
यं तं कार्ष्णि परतिमं पराहुर एकं; स सात्यकिः पाण्डवार्थे निविष्टः"
24,"अपाश्रिताश चेदिकरूषकाश च; सर्वॊत्साहैर भूमिपालैः समेताः
तेषां मध्ये सूर्यम इवातपन्तं; शरिया वृतं चेदिपतिं जवलन्तम"
25,"अस्तम्भनीयं युधि मन्यमानं; जया कर्षतां शरेष्ठतमं पृथिव्याम
सर्वॊत्साहं कषत्रियाणां निहत्य; परसह्य कृष्णस तरसा ममर्द"
26,"यशॊ मानौ वर्धयन यादवानां; पुराभिनच छिशुपालं समीके
यस्य सर्वे वर्धयन्ति सम मानं; करूष राजप्रमुखा नरेन्द्राः"
27,"तम असह्यं केशवं तत्र मत्वा; सुग्रीव युक्तेन रथेन कृष्णम
संप्राद्रवंश चेदिपतिं विहाय; सिंहं दृष्ट्वा कषुद्रमृगा इवान्ये"
28,"यस तं परतीपस तरसा परत्युदीयाद; आशंसमानॊ दवैरथे वासुदेवम
सॊ ऽशेत कृष्णेन हतः परासुर; वातेनेवॊन्मथितः कर्णिकारः"
29,"पराक्रमं मे यद अवेदयन्त; तेषाम अर्थे संजय केशवस्य
अनुस्मरंस तस्य कर्माणि विष्णॊर; गावल्गणे नाधिगच्छामि शान्तिम"
30,"न जातु ताञ शत्रुर अन्यः सहेत; येषां स सयाद अग्रणीर वृष्णिसिंहः
परवेपते मे हृदयं भयेन; शरुत्वा कृष्णाव एकरथे समेतौ"
31,"नॊ चेद गच्छेत संगरं मन्दबुद्धिस; ताभ्यां सुतॊ मे विपरीतचेताः
नॊ चेत कुरून संजय निर्दहेताम; इन्द्रा विष्णू दैत्य सेनां यथैव
मतॊ हि मे शक्रसमॊ धनंजयः; सनातनॊ वृष्णिवीरश च विष्णुः"
32,"धर्मारामॊ हरीनिषेधस तरस्वी; कुन्तीपुत्रः पाण्डवॊ ऽजातशत्रुः
दुर्यॊधनेन निकृतॊ मनस्वी; नॊ चेत करुद्ध परदहेद धार्तराष्ट्रान"
33,"नाहं तथा हय अर्जुनाद वासुदेवाद; भीमाद वापि परदहेद धार्तराष्ट्रान
यथा राज्ञः करॊधदीप्तस्य सूत; मन्यॊर अहं भीततरः सदैव"
34,"अलं तपॊ बरह्मचर्येण युक्तः; संकल्पॊ ऽयं मानसस तस्य सिध्येत
तस्य करॊधं संजयाहं सिमीके; सथाने जानभृशम अस्म्य अद्य भीतः"
35,"स गच्छ शीघ्रं परहितॊ रथेन; पाञ्चालराजस्य चमूं परेत्य
अजातशत्रुं कुशलं सम पृच्छेः; पुनः पुनः परीतियुक्तं वदेस तवम"
36,"जनार्दनं चापि समेत्य तात; महामात्रं वीर्यवताम उदारम
अनामयं मद्वचनेन पृच्छेर; धृतराष्ट्रः पाण्डवैः शान्तिम ईप्सुः"
37,"न तस्य किं चिद वचनं न कुर्यात; कुन्तीपुत्रॊ वासुदेवस्य सूत
परियश चैषाम आत्मसमश च कृष्णॊ; विद्वांश चैषां कर्मणि नित्ययुक्तः"
38,"समानीय पाणवान सृञ्जयांश च; जनार्दनं युयुधानं विराटम
अनामयं मद्वचनेन पृच्छेः; सर्वांस तथा दरौपदेयांश च पञ्च"
39,"यद यत तत्र पराप्तकालं परेभ्यस; तवं मन्येथा भारतानां हितं च
तत तद भाषेथाः संजय राजमध्ये; न मूर्छयेद यन न भवेच च युद्धम"
